drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
18zVGfZE1aVLn-M5HfPCaiCboJSnKdJGY,1_story.mp4,CRIATIVOS/UPLOAD MANUAL/1_story.mp4,ROOT,video/mp4,mp4,VID,5005496,1080,1920,9:16,STORY,29999,72e9eb54a4a2459727c2cd1bb54b990b,2026-07-31T14:44:36.230Z,2026-07-31T14:20:58.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1CP3b8d8SWCZ9LLAMnu6xx8oxY4KDEyZK,2_carro #14.mp4,CRIATIVOS/UPLOAD MANUAL/2_carro #14.mp4,ROOT,video/mp4,mp4,VID,14784694,1080,1920,9:16,STORY,15066,e2817e4f0cdb76add2a2668d5b45eb66,2026-07-31T14:44:51.592Z,2026-07-31T14:20:59.000Z,CAR,medium,folder/name keyword,CAR/AUTO,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1vTMyejNIcn_WfYkrRwxVAdHKfr1-KFQC,3_carro #04.mp4,CRIATIVOS/UPLOAD MANUAL/3_carro #04.mp4,ROOT,video/mp4,mp4,VID,13683815,1080,1920,9:16,STORY,15066,2f75645da35486f90e1bfd8ebf478e63,2026-07-31T14:44:24.453Z,2026-07-31T14:20:58.000Z,CAR,medium,folder/name keyword,CAR/AUTO,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1gvGy395zs8qQTI7CDqhenIMyDoSpk8cS,4_carro #13.mp4,CRIATIVOS/UPLOAD MANUAL/4_carro #13.mp4,ROOT,video/mp4,mp4,VID,15631272,1080,1920,9:16,STORY,15066,e7195c012d97981eb600a2d7978c6951,2026-07-31T14:45:04.488Z,2026-07-31T14:20:59.000Z,CAR,medium,folder/name keyword,CAR/AUTO,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1OSkPWBI1azKoBrqWHllkpUg8iKyGCLr6,5_carro #11.mp4,CRIATIVOS/UPLOAD MANUAL/5_carro #11.mp4,ROOT,video/mp4,mp4,VID,22250515,1080,1920,9:16,STORY,15066,eb1e4b886e559c950e2c2433dd8772b9,2026-07-31T14:45:20.136Z,2026-07-31T14:20:58.000Z,CAR,medium,folder/name keyword,CAR/AUTO,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1u5mVPgY0Kr42DjewVCRVkx0OHBvX9pzs,6_carro #7.mp4,CRIATIVOS/UPLOAD MANUAL/6_carro #7.mp4,ROOT,video/mp4,mp4,VID,15095599,1080,1920,9:16,STORY,15066,b16f05ea64d6ce9e35d135ac5b406c5a,2026-07-31T14:43:22.266Z,2026-07-31T14:20:58.000Z,CAR,medium,folder/name keyword,CAR/AUTO,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1i9zMJlh8bsrJs0OqdlPuzTHZqemSgbzo,7_feed fiat qdd.mp4,CRIATIVOS/UPLOAD MANUAL/7_feed fiat qdd.mp4,ROOT,video/mp4,mp4,VID,1223841,1080,1080,1:1,FEED,16199,9527c479f05085cc9332b1da0ec958b3,2026-07-31T14:44:09.029Z,2026-07-31T14:20:58.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
13wIoGdbLum1x6p09DZNMLIE7PsFFlA4t,8_carro #8.mp4,CRIATIVOS/UPLOAD MANUAL/8_carro #8.mp4,ROOT,video/mp4,mp4,VID,21404535,1080,1920,9:16,STORY,15066,4673ec63085090975b35e5ea629f607b,2026-07-31T14:44:04.234Z,2026-07-31T14:20:58.000Z,CAR,medium,folder/name keyword,CAR/AUTO,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1JV281oFKA7VOn0ETYhUY5Zu1HAjVM7kv,9_carro 007.mp4,CRIATIVOS/UPLOAD MANUAL/9_carro 007.mp4,ROOT,video/mp4,mp4,VID,9972062,1080,1920,9:16,STORY,15066,a1592c619141427c73e22ae58356bc40,2026-07-31T14:45:35.035Z,2026-07-31T14:20:58.000Z,CAR,medium,folder/name keyword,CAR/AUTO,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
11PY7CCub8hKH6oceq3oPY6yWUwIptfz-,10_carro #10.mp4,CRIATIVOS/UPLOAD MANUAL/10_carro #10.mp4,ROOT,video/mp4,mp4,VID,15242199,1080,1920,9:16,STORY,15066,4316f907c97663bcfcd29580bd7e6495,2026-07-31T14:43:38.793Z,2026-07-31T14:20:59.000Z,CAR,medium,folder/name keyword,CAR/AUTO,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
