drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1Oi_FO5troyeM4wQtoDyZ94_AYlIM4SO0,1_143 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/1_143 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,13021125,1080,1920,9:16,STORY,15066,773da1e863cc4f88e36fa402a3230b6c,2026-08-03T23:32:10.897Z,2026-08-03T22:58:55.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1n965HUYhDbayaCl1AZO3SVrH-4x0qFPD,2_135 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/2_135 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,11809929,1080,1920,9:16,STORY,15066,d0c975929656bf52ffb236e23b6a5f82,2026-08-03T23:32:34.445Z,2026-08-03T22:58:55.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1RqdNboQFZLJXJ86TE-YL55djGxCBBtQx,3_137 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/3_137 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,13566923,1080,1920,9:16,STORY,15066,dee50ad64f03eb6c9f22150b1de3d607,2026-08-03T23:33:04.850Z,2026-08-03T22:58:55.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
18lW5yC3W0R1Xgb2JJ0MehlGYcMof7Lb2,4_148 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/4_148 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,13134419,1080,1920,9:16,STORY,15066,cda1e2f2bf91f98b9ceb15b3c4f5fc25,2026-08-03T23:34:52.673Z,2026-08-03T22:58:55.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1pRn7eBTGqm2kiaVU4AImy_mTMLVsZMOU,5_141 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/5_141 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,11804987,1080,1920,9:16,STORY,15066,caac4875a9ced9fb69a43bb4029704f3,2026-08-03T23:36:33.645Z,2026-08-03T22:58:55.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
16q1k1PRihdON2c5Y66zJhRV6x0CU-Z_X,6_147 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/6_147 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,13550249,1080,1920,9:16,STORY,15066,82ba57cc2bf7c22152ea235006bc9429,2026-08-03T23:33:42.161Z,2026-08-03T22:58:55.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1EFS46Zr_FmWy9WbuBu7ffw5SNPCcCjOj,7_138 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/7_138 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,10375453,1080,1920,9:16,STORY,15066,c85cbe1e6c1623b2aa7d4123749f7ec1,2026-08-03T23:34:05.476Z,2026-08-03T22:58:55.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1qnTvKlO3DRgrBSLr6n6GA3Qgh16L5uYA,8_136 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/8_136 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,14002662,1080,1920,9:16,STORY,15066,35592f9e0a5b5c236f8adec42129efb1,2026-08-03T23:35:21.062Z,2026-08-03T22:58:55.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
16j0IVLt_GP1YEBIlUwQRmwssAUIRGxEo,9_144 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/9_144 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,13407197,1080,1920,9:16,STORY,15066,fc7d0a558f0ac197a7ebc16d885e3efc,2026-08-03T23:35:45.285Z,2026-08-03T22:58:55.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1ma6npGPB0vGv0wmp93vc1tI85CuvERtH,10_145 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/10_145 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,13315974,1080,1920,9:16,STORY,15066,09d01a761c0ced907f3f65d65fdc1b08,2026-08-03T23:36:07.665Z,2026-08-03T22:58:55.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1wop1of8q6spHVJ_eT5YVyVnnauOw51Ym,11_142 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/11_142 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,11804987,1080,1920,9:16,STORY,15066,b9e2930f0760a4372e1462de68427bdc,2026-08-03T23:36:49.134Z,2026-08-03T22:58:55.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1n3J3dHvmrnsLdwwSQwQmQjbHSqzL7weH,12_146 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/12_146 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,13122591,1080,1920,9:16,STORY,15066,42c40b6f0e7aee0249a174238c7bd374,2026-08-03T23:37:23.755Z,2026-08-03T22:58:55.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1XXCce1F5zaKetEpV9BfqWXbzR2ntxgnG,13_140 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/13_140 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,12772285,1080,1920,9:16,STORY,15066,4a87cc91652745903b0820981da9884f,2026-08-03T23:38:15.412Z,2026-08-03T22:58:55.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1AOkUO7nc_ZtxXSPayY24MAOlM4BWHfE7,14_142 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/14_142 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,12980309,1080,1920,9:16,STORY,15066,06f07a9788569e1d00440041df931cb7,2026-08-03T23:37:43.193Z,2026-08-03T22:58:55.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1xVsMTwk3WwuBPVYfCqAgMfyvBQyZzQpX,15_139 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/15_139 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,13593770,1080,1920,9:16,STORY,15066,c6ae532bf4a7ec15e9b661f442878c27,2026-08-03T23:38:39.338Z,2026-08-03T22:58:55.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
