drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1e9qBPQTNJDu4hj1HKiUDCw6iuFZeMUdj,1_196 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/1_196 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,7156425,1080,1920,9:16,STORY,9999,467da5d503d80150cdb0911b0f2b0298,2026-08-19T18:54:33.717Z,2026-08-19T18:52:26.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1jie8owkMCQqFsZhgH3D2-ItxSBb-TCgR,1_200 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/1_200 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,8718559,1080,1920,9:16,STORY,9999,1873f5d29de15afe6faf853f97367e61,2026-08-19T18:58:23.478Z,2026-08-19T18:54:36.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1Q1Ix6fsfmErZGFpYqy5yEMarT_9DisNp,2_191 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/2_191 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,8162521,1080,1920,9:16,STORY,9999,d7d2263f28f7728835e48a12d8d33950,2026-08-19T18:54:48.678Z,2026-08-19T18:52:26.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1KwYtvwk3B1jJmGV2lKxOpKmUnlVXzx8M,2_202 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/2_202 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,8333872,1080,1920,9:16,STORY,9199,179537a6d4f45a2ca6d2829230f19aba,2026-08-19T18:58:16.049Z,2026-08-19T18:54:36.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1Yiu3um2thoXAwuur582_W3nZxf3YrLsp,3_189 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/3_189 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,6549862,1080,1920,9:16,STORY,9999,da1e15d88bf16dba141cc9365655f7b8,2026-08-19T18:53:58.717Z,2026-08-19T18:52:26.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1DAVmNE3RaCVOHk9TV9ARynmBU0rE5aRf,3_206 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/3_206 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,7836023,1080,1920,9:16,STORY,9699,4aed2d7c6e252ee2b884f3ce8ecb6db3,2026-08-19T18:58:30.389Z,2026-08-19T18:54:36.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1U9whxigkug0N6iFoNoOnKDQz08BqlWsO,4_198 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/4_198 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,9326164,1080,1920,9:16,STORY,9999,7cbfccaa67a9d2ecea43ac70c4f10bfb,2026-08-19T18:53:48.377Z,2026-08-19T18:52:26.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1b4KnDAVVUEcM1CS50KQXa-NKExYBU4XO,4_207 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/4_207 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,7977224,1080,1920,9:16,STORY,9999,738142b2f19193de2c1778a4f15f53a8,2026-08-19T18:57:31.917Z,2026-08-19T18:54:36.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1abjAk1mX-21f5MisNGLI_9MYBBKLhMIC,5_188 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/5_188 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,8370560,1080,1920,9:16,STORY,9999,9da43308673f5dc6d129c0770e43ddfb,2026-08-19T18:55:02.281Z,2026-08-19T18:52:26.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1r5eOMc74OUoAuMXfKt4ftEGSilRuOCAo,5_201 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/5_201 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,9092976,1080,1920,9:16,STORY,9999,a9b4ffbeddd9f744fbf0d5816af7fb99,2026-08-19T18:58:09.824Z,2026-08-19T18:54:36.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
15q4z_sSftYrHaWJ3naq1mojR8cIxuhA1,6_184 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/6_184 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,7045093,1080,1920,9:16,STORY,9999,498a34073d34eb49a3a5d3a0e59a5545,2026-08-19T18:54:20.002Z,2026-08-19T18:52:26.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1ioU6XYjZP30TTA3WhWsf2eNtbLXONKsA,6_205 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/6_205 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,7665087,1080,1920,9:16,STORY,9366,cdae77a115d038e80b2b32ef96b16a93,2026-08-19T18:57:42.938Z,2026-08-19T18:54:36.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1XLpDQHW4XWGc8EP2h_22eq8hca7MWpA0,7_192 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/7_192 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,8515311,1080,1920,9:16,STORY,9999,1e87b0c5eb99911580e522da406d32d9,2026-08-19T18:54:41.195Z,2026-08-19T18:52:26.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
16L29hbS9bB-VZG3J8kRkylZ4UkCrlz9b,7_209 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/7_209 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,8520788,1080,1920,9:16,STORY,9999,765d20fe0312effb27d11f491d7c392d,2026-08-19T18:57:50.032Z,2026-08-19T18:54:36.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1gpfla2XBNS1o17PcsHSWjRSZ6op4c74b,8_194 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/8_194 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,6804951,1080,1920,9:16,STORY,9999,c64d1b30a8e2476ccdc21073c2fb103c,2026-08-19T18:54:07.378Z,2026-08-19T18:52:26.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1x-U8As46YcfFrwnvmkK2XF6JpXj83hDn,8_208 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/8_208 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,8819840,1080,1920,9:16,STORY,9999,77de35ac23cc4b5013ad449b27e56bde,2026-08-19T18:57:56.252Z,2026-08-19T18:54:36.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1o2V3t5mpiIAKUh8a6B_9F3G86WLTwUDf,9_197 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/9_197 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,6367576,1080,1920,9:16,STORY,9999,4b6c160ab6d23b01916af64e73801e61,2026-08-19T18:54:27.156Z,2026-08-19T18:52:26.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
