original_label,domain,guessed_domain,sitemap_index,sitemap_status,sitemap_error,sitemaps_read,urls_found,pages_fetched,duration_sec
autocreditadx.com,autocreditadx.com,0,https://autocreditadx.com/sitemap_index.xml,404,HTTP 404,0,0,0,1.87
finanzas.conectageral.com,finanzas.conectageral.com,0,https://finanzas.conectageral.com/sitemap_index.xml,200,,2,8,6,3.79
autolendpro.com,autolendpro.com,0,https://autolendpro.com/sitemap_index.xml,200,,5,14,6,4.09
DicasFinancas,dicasfinancas.com,1,https://dicasfinancas.com/sitemap_index.xml,404,HTTP 404,0,0,0,11.3
cliquet.com,cliquet.com,0,https://cliquet.com/sitemap_index.xml,200,,6,311,80,20.57
carcreditad.com,carcreditad.com,0,https://carcreditad.com/sitemap_index.xml,200,,6,167,80,25.29
conectageral.com,conectageral.com,0,https://conectageral.com/sitemap_index.xml,200,,6,232,80,33.38
emploio.seuprimeiroempregoam.com,emploio.seuprimeiroempregoam.com,0,https://emploio.seuprimeiroempregoam.com/sitemap_index.xml,,URLError: <urlopen error [Errno -2] Name or service not known>,0,0,0,0.08
ducapes.com,ducapes.com,0,https://ducapes.com/sitemap_index.xml,200,,6,380,80,30.84
creditoparaveiculo.com,creditoparaveiculo.com,0,https://creditoparaveiculo.com/sitemap_index.xml,200,,6,160,53,33.69
Cephyric,cephyric.com,1,https://cephyric.com/sitemap_index.xml,200,,6,570,80,36.88
eggbev.com,eggbev.com,0,https://eggbev.com/sitemap_index.xml,200,,6,478,80,23.86
financiarveiculo.com,financiarveiculo.com,0,https://financiarveiculo.com/sitemap_index.xml,200,,6,44,28,12.45
fincgriffin.com,fincgriffin.com,0,https://fincgriffin.com/sitemap_index.xml,200,,1,0,0,1.04
seuprimeiroempregoam.com,seuprimeiroempregoam.com,0,https://seuprimeiroempregoam.com/sitemap_index.xml,200,,6,610,80,16.8
financeadx.com,financeadx.com,0,https://financeadx.com/sitemap_index.xml,200,,7,2001,80,12.18
finanzas.cliquet.com,finanzas.cliquet.com,0,https://finanzas.cliquet.com/sitemap_index.xml,200,,6,409,80,57.21
financiamentoautoadx.com,financiamentoautoadx.com,0,https://financiamentoautoadx.com/sitemap_index.xml,200,,6,224,66,29.99
gamingadx.com,gamingadx.com,0,https://gamingadx.com/sitemap_index.xml,200,,6,316,80,25.86
helixenit.net,helixenit.net,0,https://helixenit.net/sitemap_index.xml,200,,6,856,80,18.71
Escalatepower,escalatepower.com,1,https://escalatepower.com/sitemap_index.xml,200,,6,468,80,50.86
gamezonead.com,gamezonead.com,0,https://gamezonead.com/sitemap_index.xml,200,,6,266,80,36.03
gamehubad.com,gamehubad.com,0,https://gamehubad.com/sitemap_index.xml,200,,6,260,80,37.34
finance.ducapes.com,finance.ducapes.com,0,https://finance.ducapes.com/sitemap_index.xml,200,,6,292,80,71.36
Growpowerhub,growpowerhub.com,1,https://growpowerhub.com/sitemap_index.xml,200,,6,506,80,31.19
finanzas.eggbev.com,finanzas.eggbev.com,0,https://finanzas.eggbev.com/sitemap_index.xml,200,,6,430,80,63.23
infinitynexx.com,infinitynexx.com,0,https://infinitynexx.com/sitemap_index.xml,200,,6,750,80,7.64
finanzas.lyzmo.com,finanzas.lyzmo.com,0,https://finanzas.lyzmo.com/sitemap_index.xml,200,,6,436,80,35.64
newsoun.com,newsoun.com,0,https://newsoun.com/sitemap_index.xml,200,,6,328,80,33.83
finanzas.newsoun.com,finanzas.newsoun.com,0,https://finanzas.newsoun.com/sitemap_index.xml,200,,6,332,80,37.4
de.newsoun.com,de.newsoun.com,0,https://de.newsoun.com/sitemap_index.xml,200,,6,208,80,39.29
Jobscana,jobscana.com,1,https://jobscana.com/sitemap_index.xml,200,,6,743,80,43.56
marevelx.com,marevelx.com,0,https://marevelx.com/sitemap_index.xml,200,,6,1026,80,42.91
Mavroa,mavroa.com,1,https://mavroa.com/sitemap_index.xml,200,,6,548,80,43.6
openzed.com,openzed.com,0,https://openzed.com/sitemap_index.xml,200,,6,325,80,9.27
lyzmo.com,lyzmo.com,0,https://lyzmo.com/sitemap_index.xml,200,,6,435,80,46.44
finanzas.portalrelevante.com,finanzas.portalrelevante.com,0,https://finanzas.portalrelevante.com/sitemap_index.xml,200,,2,7,4,10.08
finanzas.openzed.com,finanzas.openzed.com,0,https://finanzas.openzed.com/sitemap_index.xml,200,,6,425,80,32.3
finance.topfeed.fun,finance.topfeed.fun,0,https://finance.topfeed.fun/sitemap_index.xml,200,,6,303,80,26.41
portalrelevante.com,portalrelevante.com,0,https://portalrelevante.com/sitemap_index.xml,200,,6,328,80,41.48
wantabrand.com,wantabrand.com,0,https://wantabrand.com/sitemap_index.xml,200,,6,369,80,40.23
finanzas.topfeed.fun,finanzas.topfeed.fun,0,https://finanzas.topfeed.fun/sitemap_index.xml,200,,6,702,80,42.68
topfeed.fun,topfeed.fun,0,https://topfeed.fun/sitemap_index.xml,200,,5,256,80,43.75
finanzas.wavesbee.com,finanzas.wavesbee.com,0,https://finanzas.wavesbee.com/sitemap_index.xml,200,,6,431,80,17.29
finance.wantabrand.com,finance.wantabrand.com,0,https://finance.wantabrand.com/sitemap_index.xml,200,,6,116,53,35.38
wavesbee.com,wavesbee.com,0,https://wavesbee.com/sitemap_index.xml,200,,6,718,80,19.99
xyvlov.com,xyvlov.com,0,https://xyvlov.com/sitemap_index.xml,200,,6,1007,80,24.57
zytiva.com,zytiva.com,0,https://zytiva.com/sitemap_index.xml,200,,6,349,80,27.17
zuout.com,zuout.com,0,https://zuout.com/sitemap_index.xml,200,,6,365,80,28.7
vizioid.com,vizioid.com,0,https://vizioid.com/sitemap_index.xml,200,,6,802,80,70.55
finanzas.zytiva.com,finanzas.zytiva.com,0,https://finanzas.zytiva.com/sitemap_index.xml,200,,6,480,80,27.34
Yolokfx,yolokfx.com,1,https://yolokfx.com/sitemap_index.xml,200,,6,567,80,29.88
Zyclor,zyclor.com,1,https://zyclor.com/sitemap_index.xml,200,,7,722,80,33.64
Boostingecon,boostingecon.com,1,https://boostingecon.com/sitemap_index.xml,200,,6,520,80,15.4
finanzas.zuout.com,finanzas.zuout.com,0,https://finanzas.zuout.com/sitemap_index.xml,200,,6,448,80,43.91
utua.com.br,utua.com.br,0,https://utua.com.br/sitemap_index.xml,200,,10,12343,80,78.06
