domain,article_type,source_domain_stage,country,vertical,product_guess,product_slug,pair_key,slug,url,reference_rec_url,reference_p1_url,reference_p1_slug,reference_pair_status,lastmod,image_urls,source_sitemap
utua.ae,REC,UTUA_P1,cc,ab,Etihad Guest Platinum,etihad-guest-platinum,cc-ab-etihad-guest-platinum,cc-ab-etihad-guest-platinum-p1,https://utua.ae/cc-ab-etihad-guest-platinum-p1/,https://utua.ae/cc-ab-etihad-guest-platinum-p1/,https://utua.ae/cc-ab-etihad-guest-platinum-p2/,cc-ab-etihad-guest-platinum-p2,REC+P1,2025-06-03T17:27:19+00:00,,https://utua.ae/post-sitemap2.xml
utua.ae,REC,UTUA_P1,cc,adcb,Talabat,talabat,cc-adcb-talabat,cc-adcb-talabat-p1,https://utua.ae/cc-adcb-talabat-p1/,https://utua.ae/cc-adcb-talabat-p1/,https://utua.ae/cc-adcb-talabat-p2/,cc-adcb-talabat-p2,REC+P1,2025-06-16T17:46:01+00:00,,https://utua.ae/post-sitemap1.xml
utua.ae,REC,UTUA_P1,cc,adcb,Touchpoints Platinum,touchpoints-platinum,cc-adcb-touchpoints-platinum,cc-adcb-touchpoints-platinum-p1,https://utua.ae/cc-adcb-touchpoints-platinum-p1/,https://utua.ae/cc-adcb-touchpoints-platinum-p1/,https://utua.ae/cc-adcb-touchpoints-platinum-p2/,cc-adcb-touchpoints-platinum-p2,REC+P1,2026-06-25T20:51:44+00:00,,https://utua.ae/post-sitemap1.xml
utua.ae,REC,UTUA_P1,cc,adcb,Traveller,traveller,cc-adcb-traveller,cc-adcb-traveller-p1,https://utua.ae/cc-adcb-traveller-p1/,https://utua.ae/cc-adcb-traveller-p1/,https://utua.ae/cc-adcb-traveller-p2/,cc-adcb-traveller-p2,REC+P1,2025-07-23T18:44:14+00:00,,https://utua.ae/post-sitemap1.xml
utua.ae,REC,UTUA_P1,cc,american,Express Platinum,express-platinum,cc-american-express-platinum,cc-american-express-platinum-p1,https://utua.ae/cc-american-express-platinum-p1/,https://utua.ae/cc-american-express-platinum-p1/,https://utua.ae/cc-american-express-platinum-p2/,cc-american-express-platinum-p2,REC+P1,2025-08-18T15:55:35+00:00,,https://utua.ae/post-sitemap1.xml
utua.ae,REC,UTUA_P1,cc,amex,Blue Card,blue-card,cc-amex-blue-card,cc-amex-blue-card-p1,https://utua.ae/cc-amex-blue-card-p1/,https://utua.ae/cc-amex-blue-card-p1/,https://utua.ae/cc-amex-blue-card-p2/,cc-amex-blue-card-p2,REC+P1,2025-07-23T18:50:23+00:00,,https://utua.ae/post-sitemap1.xml
utua.ae,REC,UTUA_P1,cc,amex,Gold Card,gold-card,cc-amex-gold-card,cc-amex-gold-card-p1,https://utua.ae/cc-amex-gold-card-p1/,https://utua.ae/cc-amex-gold-card-p1/,https://utua.ae/cc-amex-gold-card-p2/,cc-amex-gold-card-p2,REC+P1,2025-05-21T20:14:03+00:00,,https://utua.ae/post-sitemap2.xml
utua.ae,REC,UTUA_P1,cc,amex,Platinum,platinum,cc-amex-platinum,cc-amex-platinum-p1,https://utua.ae/cc-amex-platinum-p1/,https://utua.ae/cc-amex-platinum-p1/,https://utua.ae/cc-amex-platinum-p2/,cc-amex-platinum-p2,REC+P1,2025-07-23T18:05:30+00:00,,https://utua.ae/post-sitemap1.xml
utua.ae,REC,UTUA_P1,cc,bank,Fab Cashback Credit Card,fab-cashback-credit-card,cc-bank-fab-cashback-credit-card,cc-bank-fab-cashback-credit-card-p1,https://utua.ae/cc-bank-fab-cashback-credit-card-p1/,https://utua.ae/cc-bank-fab-cashback-credit-card-p1/,https://utua.ae/cc-bank-fab-cashback-credit-card-p2/,cc-bank-fab-cashback-credit-card-p2,REC+P1,2025-05-21T20:21:32+00:00,,https://utua.ae/post-sitemap2.xml
utua.ae,REC,UTUA_P1,cc,bank,Fab Du Titanium,fab-du-titanium,cc-bank-fab-du-titanium,cc-bank-fab-du-titanium-p1,https://utua.ae/cc-bank-fab-du-titanium-p1/,https://utua.ae/cc-bank-fab-du-titanium-p1/,https://utua.ae/cc-bank-fab-du-titanium-p2/,cc-bank-fab-du-titanium-p2,REC+P1,2025-08-18T18:57:07+00:00,,https://utua.ae/post-sitemap1.xml
utua.ae,REC,UTUA_P1,cc,bank,Fab Low Rate,fab-low-rate,cc-bank-fab-low-rate,cc-bank-fab-low-rate-p1,https://utua.ae/cc-bank-fab-low-rate-p1/,https://utua.ae/cc-bank-fab-low-rate-p1/,https://utua.ae/cc-bank-fab-low-rate-p2/,cc-bank-fab-low-rate-p2,REC+P1,2025-06-16T17:56:12+00:00,,https://utua.ae/post-sitemap1.xml
utua.ae,REC,UTUA_P1,cc,citi,Premier,premier,cc-citi-premier,cc-citi-premier-p1,https://utua.ae/cc-citi-premier-p1/,https://utua.ae/cc-citi-premier-p1/,https://utua.ae/cc-citi-premier-p2/,cc-citi-premier-p2,REC+P1,2025-06-16T17:37:00+00:00,,https://utua.ae/post-sitemap1.xml
utua.ae,REC,UTUA_P1,cc,citi,Premier Credit Card,premier-credit-card,cc-citi-premier-credit-card,cc-citi-premier-credit-card-p1,https://utua.ae/cc-citi-premier-credit-card-p1/,https://utua.ae/cc-citi-premier-credit-card-p1/,https://utua.ae/cc-citi-premier-credit-card-p2/,cc-citi-premier-credit-card-p2,REC+P1,2026-06-25T20:49:40+00:00,,https://utua.ae/post-sitemap1.xml
utua.ae,REC,UTUA_P1,cc,citi,Prestige,prestige,cc-citi-prestige,cc-citi-prestige-p1,https://utua.ae/cc-citi-prestige-p1/,https://utua.ae/cc-citi-prestige-p1/,https://utua.ae/cc-citi-prestige-p2/,cc-citi-prestige-p2,REC+P1,2025-08-18T18:00:45+00:00,,https://utua.ae/post-sitemap1.xml
utua.ae,REC,UTUA_P1,cc,citi,Ready Credit,ready-credit,cc-citi-ready-credit,cc-citi-ready-credit-p1,https://utua.ae/cc-citi-ready-credit-p1/,https://utua.ae/cc-citi-ready-credit-p1/,https://utua.ae/cc-citi-ready-credit-p2/,cc-citi-ready-credit-p2,REC+P1,2025-08-18T19:04:44+00:00,,https://utua.ae/post-sitemap1.xml
utua.ae,REC,UTUA_P1,cc,citi,Simplicity No Annual Fee,simplicity-no-annual-fee,cc-citi-simplicity-no-annual-fee,cc-citi-simplicity-no-annual-fee-p1,https://utua.ae/cc-citi-simplicity-no-annual-fee-p1/,https://utua.ae/cc-citi-simplicity-no-annual-fee-p1/,https://utua.ae/cc-citi-simplicity-no-annual-fee-p2/,cc-citi-simplicity-no-annual-fee-p2,REC+P1,2025-05-09T19:24:10+00:00,,https://utua.ae/post-sitemap2.xml
utua.ae,REC,UTUA_P1,cc,dib,Prime Gold,prime-gold,cc-dib-prime-gold,cc-dib-prime-gold-p1,https://utua.ae/cc-dib-prime-gold-p1/,https://utua.ae/cc-dib-prime-gold-p1/,https://utua.ae/cc-dib-prime-gold-p2/,cc-dib-prime-gold-p2,REC+P1,2025-07-23T19:01:18+00:00,,https://utua.ae/post-sitemap1.xml
utua.ae,REC,UTUA_P1,cc,dib,Prime Platinum,prime-platinum,cc-dib-prime-platinum,cc-dib-prime-platinum-p1,https://utua.ae/cc-dib-prime-platinum-p1/,https://utua.ae/cc-dib-prime-platinum-p1/,https://utua.ae/cc-dib-prime-platinum-p2/,cc-dib-prime-platinum-p2,REC+P1,2025-05-16T21:59:09+00:00,,https://utua.ae/post-sitemap2.xml
utua.ae,REC,UTUA_P1,cc,dib,Prime Platinum Card,prime-platinum-card,cc-dib-prime-platinum-card,cc-dib-prime-platinum-card-p1,https://utua.ae/cc-dib-prime-platinum-card-p1/,https://utua.ae/cc-dib-prime-platinum-card-p1/,https://utua.ae/cc-dib-prime-platinum-card-p2/,cc-dib-prime-platinum-card-p2,REC+P1,2026-06-25T20:49:09+00:00,,https://utua.ae/post-sitemap1.xml
utua.ae,REC,UTUA_P1,cc,emirates,Nbd Lulu 247 Titanium,nbd-lulu-247-titanium,cc-emirates-nbd-lulu-247-titanium,cc-emirates-nbd-lulu-247-titanium-p1,https://utua.ae/cc-emirates-nbd-lulu-247-titanium-p1/,https://utua.ae/cc-emirates-nbd-lulu-247-titanium-p1/,https://utua.ae/cc-emirates-nbd-lulu-247-titanium-p2/,cc-emirates-nbd-lulu-247-titanium-p2,REC+P1,2026-06-25T20:56:09+00:00,,https://utua.ae/post-sitemap1.xml
utua.ae,REC,UTUA_P1,cc,emirates,Nbd Noon One Visa,nbd-noon-one-visa,cc-emirates-nbd-noon-one-visa,cc-emirates-nbd-noon-one-visa-p1,https://utua.ae/cc-emirates-nbd-noon-one-visa-p1/,https://utua.ae/cc-emirates-nbd-noon-one-visa-p1/,https://utua.ae/cc-emirates-nbd-noon-one-visa-p2/,cc-emirates-nbd-noon-one-visa-p2,REC+P1,2026-06-25T20:50:36+00:00,,https://utua.ae/post-sitemap1.xml
utua.ae,REC,UTUA_P1,cc,emirates,Nbd Visa Infinite,nbd-visa-infinite,cc-emirates-nbd-visa-infinite,cc-emirates-nbd-visa-infinite-p1,https://utua.ae/cc-emirates-nbd-visa-infinite-p1/,https://utua.ae/cc-emirates-nbd-visa-infinite-p1/,https://utua.ae/cc-emirates-nbd-visa-infinite-p2/,cc-emirates-nbd-visa-infinite-p2,REC+P1,2025-07-23T15:21:02+00:00,,https://utua.ae/post-sitemap1.xml
utua.ae,REC,UTUA_P1,cc,emirates,Ndb Skyward Infinite,ndb-skyward-infinite,cc-emirates-ndb-skyward-infinite,cc-emirates-ndb-skyward-infinite-p1,https://utua.ae/cc-emirates-ndb-skyward-infinite-p1/,https://utua.ae/cc-emirates-ndb-skyward-infinite-p1/,https://utua.ae/cc-emirates-ndb-skyward-infinite-p2/,cc-emirates-ndb-skyward-infinite-p2,REC+P1,2025-06-18T01:20:47+00:00,,https://utua.ae/post-sitemap1.xml
utua.ae,REC,UTUA_P1,cc,emirates,Skywards Dib,skywards-dib,cc-emirates-skywards-dib,cc-emirates-skywards-dib-p1,https://utua.ae/cc-emirates-skywards-dib-p1/,https://utua.ae/cc-emirates-skywards-dib-p1/,https://utua.ae/cc-emirates-skywards-dib-p2/,cc-emirates-skywards-dib-p2,REC+P1,2025-06-03T17:10:45+00:00,,https://utua.ae/post-sitemap2.xml
utua.ae,REC,UTUA_P1,cc,fab,Cashback,cashback,cc-fab-cashback,cc-fab-cashback-p1,https://utua.ae/cc-fab-cashback-p1/,https://utua.ae/cc-fab-cashback-p1/,https://utua.ae/cc-fab-cashback-p2/,cc-fab-cashback-p2,REC+P1,2025-08-18T17:37:04+00:00,,https://utua.ae/post-sitemap1.xml
utua.ae,REC,UTUA_P1,cc,fab,Cashback Credit Card,cashback-credit-card,cc-fab-cashback-credit-card,cc-fab-cashback-credit-card-p1,https://utua.ae/cc-fab-cashback-credit-card-p1/,https://utua.ae/cc-fab-cashback-credit-card-p1/,https://utua.ae/cc-fab-cashback-credit-card-p2/,cc-fab-cashback-credit-card-p2,REC+P1,2025-08-18T17:04:21+00:00,,https://utua.ae/post-sitemap1.xml
utua.ae,REC,UTUA_P1,cc,fab,Du Titanium Mastercard,du-titanium-mastercard,cc-fab-du-titanium-mastercard,cc-fab-du-titanium-mastercard-p1,https://utua.ae/cc-fab-du-titanium-mastercard-p1/,https://utua.ae/cc-fab-du-titanium-mastercard-p1/,https://utua.ae/cc-fab-du-titanium-mastercard-p2/,cc-fab-du-titanium-mastercard-p2,REC+P1,2025-08-18T16:05:41+00:00,,https://utua.ae/post-sitemap1.xml
utua.ae,REC,UTUA_P1,cc,fab,Etihad Guest Platinum,etihad-guest-platinum,cc-fab-etihad-guest-platinum,cc-fab-etihad-guest-platinum-p1,https://utua.ae/cc-fab-etihad-guest-platinum-p1/,https://utua.ae/cc-fab-etihad-guest-platinum-p1/,https://utua.ae/cc-fab-etihad-guest-platinum-p2/,cc-fab-etihad-guest-platinum-p2,REC+P1,2025-06-19T10:27:30+00:00,,https://utua.ae/post-sitemap1.xml
utua.ae,REC,UTUA_P1,cc,fab,Gems World,gems-world,cc-fab-gems-world,cc-fab-gems-world-p1,https://utua.ae/cc-fab-gems-world-p1/,https://utua.ae/cc-fab-gems-world-p1/,https://utua.ae/cc-fab-gems-world-p2/,cc-fab-gems-world-p2,REC+P1,2025-07-23T17:46:46+00:00,,https://utua.ae/post-sitemap1.xml
utua.ae,REC,UTUA_P1,cc,fab,Low Rate Credit Card,low-rate-credit-card,cc-fab-low-rate-credit-card,cc-fab-low-rate-credit-card-p1,https://utua.ae/cc-fab-low-rate-credit-card-p1/,https://utua.ae/cc-fab-low-rate-credit-card-p1/,https://utua.ae/cc-fab-low-rate-credit-card-p2/,cc-fab-low-rate-credit-card-p2,REC+P1,2025-06-03T20:27:50+00:00,,https://utua.ae/post-sitemap2.xml
utua.ae,REC,UTUA_P1,cc,fab,Low Rate Visa,low-rate-visa,cc-fab-low-rate-visa,cc-fab-low-rate-visa-p1,https://utua.ae/cc-fab-low-rate-visa-p1/,https://utua.ae/cc-fab-low-rate-visa-p1/,https://utua.ae/cc-fab-low-rate-visa-p2/,cc-fab-low-rate-visa-p2,REC+P1,2025-08-18T17:44:43+00:00,,https://utua.ae/post-sitemap1.xml
