domain,article_type,source_domain_stage,country,vertical,product_guess,product_slug,pair_key,slug,url,reference_rec_url,reference_p1_url,reference_p1_slug,reference_pair_status,lastmod,image_urls,source_sitemap
utua.ar,REC,UTUA_P1,cc,american,Corporate Card,corporate-card,cc-american-corporate-card,cc-american-corporate-card-p1,https://utua.ar/cc-american-corporate-card-p1/,https://utua.ar/cc-american-corporate-card-p1/,https://utua.ar/cc-american-corporate-card-p2/,cc-american-corporate-card-p2,REC+P1,2024-05-06T19:44:17+00:00,,https://utua.ar/post-sitemap.xml
utua.ar,REC,UTUA_P1,cc,american,Express Hsbc,express-hsbc,cc-american-express-hsbc,cc-american-express-hsbc-p1,https://utua.ar/cc-american-express-hsbc-p1/,https://utua.ar/cc-american-express-hsbc-p1/,https://utua.ar/cc-american-express-hsbc-p2/,cc-american-express-hsbc-p2,REC+P1,2024-05-06T18:29:45+00:00,,https://utua.ar/post-sitemap.xml
utua.ar,REC,UTUA_P1,cc,american,Express Icon Hsbc,express-icon-hsbc,cc-american-express-icon-hsbc,cc-american-express-icon-hsbc-p1,https://utua.ar/cc-american-express-icon-hsbc-p1/,https://utua.ar/cc-american-express-icon-hsbc-p1/,https://utua.ar/cc-american-express-icon-hsbc-p2/,cc-american-express-icon-hsbc-p2,REC+P1,2024-05-06T18:24:41+00:00,,https://utua.ar/post-sitemap.xml
utua.ar,REC,UTUA_P1,cc,american,Express Platinum,express-platinum,cc-american-express-platinum,cc-american-express-platinum-p1,https://utua.ar/cc-american-express-platinum-p1/,https://utua.ar/cc-american-express-platinum-p1/,https://utua.ar/cc-american-express-platinum-p2/,cc-american-express-platinum-p2,REC+P1,2024-05-06T19:40:22+00:00,,https://utua.ar/post-sitemap.xml
utua.ar,REC,UTUA_P1,cc,bbva,Master Black,master-black,cc-bbva-master-black,cc-bbva-master-black-p1,https://utua.ar/cc-bbva-master-black-p1/,https://utua.ar/cc-bbva-master-black-p1/,https://utua.ar/cc-bbva-master-black-p2/,cc-bbva-master-black-p2,REC+P1,2024-05-06T19:11:22+00:00,,https://utua.ar/post-sitemap.xml
utua.ar,REC,UTUA_P1,cc,bbva,Master Platinum,master-platinum,cc-bbva-master-platinum,cc-bbva-master-platinum-p1,https://utua.ar/cc-bbva-master-platinum-p1/,https://utua.ar/cc-bbva-master-platinum-p1/,https://utua.ar/cc-bbva-master-platinum-p2/,cc-bbva-master-platinum-p2,REC+P1,2024-05-06T15:24:23+00:00,,https://utua.ar/post-sitemap.xml
utua.ar,REC,UTUA_P1,cc,bbva,Visa Business,visa-business,cc-bbva-visa-business,cc-bbva-visa-business-p1,https://utua.ar/cc-bbva-visa-business-p1/,https://utua.ar/cc-bbva-visa-business-p1/,https://utua.ar/cc-bbva-visa-business-p2/,cc-bbva-visa-business-p2,REC+P1,2024-05-06T15:38:59+00:00,,https://utua.ar/post-sitemap.xml
utua.ar,REC,UTUA_P1,cc,bbva,Visa Internacional,visa-internacional,cc-bbva-visa-internacional,cc-bbva-visa-internacional-p1,https://utua.ar/cc-bbva-visa-internacional-p1/,https://utua.ar/cc-bbva-visa-internacional-p1/,https://utua.ar/cc-bbva-visa-internacional-p2/,cc-bbva-visa-internacional-p2,REC+P1,2024-05-06T15:14:46+00:00,,https://utua.ar/post-sitemap.xml
utua.ar,REC,UTUA_P1,cc,bna,Visa Classic,visa-classic,cc-bna-visa-classic,cc-bna-visa-classic-p1,https://utua.ar/cc-bna-visa-classic-p1/,https://utua.ar/cc-bna-visa-classic-p1/,https://utua.ar/cc-bna-visa-classic-p2/,cc-bna-visa-classic-p2,REC+P1,2024-05-06T18:39:29+00:00,,https://utua.ar/post-sitemap.xml
utua.ar,REC,UTUA_P1,cc,galicia,Visa Gold,visa-gold,cc-galicia-visa-gold,cc-galicia-visa-gold-p1,https://utua.ar/cc-galicia-visa-gold-p1/,https://utua.ar/cc-galicia-visa-gold-p1/,https://utua.ar/cc-galicia-visa-gold-p2/,cc-galicia-visa-gold-p2,REC+P1,2024-05-06T18:42:34+00:00,,https://utua.ar/post-sitemap.xml
