domain,article_type,source_domain_stage,country,vertical,product_guess,product_slug,pair_key,slug,url,reference_rec_url,reference_p1_url,reference_p1_slug,reference_pair_status,lastmod,image_urls,source_sitemap
utua.co,REC,UTUA_P1,cc,banco,Bogota Visa Digital,bogota-visa-digital,cc-banco-bogota-visa-digital,cc-banco-bogota-visa-digital-p1,https://utua.co/cc-banco-bogota-visa-digital-p1/,https://utua.co/cc-banco-bogota-visa-digital-p1/,https://utua.co/cc-banco-bogota-visa-digital-p2/,cc-banco-bogota-visa-digital-p2,REC+P1,2024-05-02T21:50:42+00:00,,https://utua.co/post-sitemap.xml
utua.co,REC,UTUA_P1,cc,banco,Popular Black,popular-black,cc-banco-popular-black,cc-banco-popular-black-p1,https://utua.co/cc-banco-popular-black-p1/,https://utua.co/cc-banco-popular-black-p1/,https://utua.co/cc-banco-popular-black-p2/,cc-banco-popular-black-p2,REC+P1,2024-05-02T22:15:39+00:00,,https://utua.co/post-sitemap.xml
utua.co,REC,UTUA_P1,cc,banco,Popular Clasica Visa,popular-clasica-visa,cc-banco-popular-clasica-visa,cc-banco-popular-clasica-visa-p1,https://utua.co/cc-banco-popular-clasica-visa-p1/,https://utua.co/cc-banco-popular-clasica-visa-p1/,https://utua.co/cc-banco-popular-clasica-visa-p2/,cc-banco-popular-clasica-visa-p2,REC+P1,2024-05-02T22:57:57+00:00,,https://utua.co/post-sitemap.xml
utua.co,REC,UTUA_P1,cc,banco,Popular Diamante,popular-diamante,cc-banco-popular-diamante,cc-banco-popular-diamante-p1,https://utua.co/cc-banco-popular-diamante-p1/,https://utua.co/cc-banco-popular-diamante-p1/,https://utua.co/cc-banco-popular-diamante-p2/,cc-banco-popular-diamante-p2,REC+P1,2024-05-03T14:07:43+00:00,,https://utua.co/post-sitemap.xml
utua.co,REC,UTUA_P1,cc,bancolombia,Mastercard Ideal,mastercard-ideal,cc-bancolombia-mastercard-ideal,cc-bancolombia-mastercard-ideal-p1,https://utua.co/cc-bancolombia-mastercard-ideal-p1/,https://utua.co/cc-bancolombia-mastercard-ideal-p1/,https://utua.co/cc-bancolombia-mastercard-ideal-p2/,cc-bancolombia-mastercard-ideal-p2,REC+P1,2024-05-03T14:51:33+00:00,,https://utua.co/post-sitemap.xml
utua.co,REC,UTUA_P1,cc,bbva,Infinite Visa,infinite-visa,cc-bbva-infinite-visa,cc-bbva-infinite-visa-p1,https://utua.co/cc-bbva-infinite-visa-p1/,https://utua.co/cc-bbva-infinite-visa-p1/,https://utua.co/cc-bbva-infinite-visa-p2/,cc-bbva-infinite-visa-p2,REC+P1,2024-05-02T22:27:15+00:00,,https://utua.co/post-sitemap.xml
utua.co,REC,UTUA_P1,cc,bbva,Mastercard Black,mastercard-black,cc-bbva-mastercard-black,cc-bbva-mastercard-black-p1,https://utua.co/cc-bbva-mastercard-black-p1/,https://utua.co/cc-bbva-mastercard-black-p1/,https://utua.co/cc-bbva-mastercard-black-p2/,cc-bbva-mastercard-black-p2,REC+P1,2024-05-02T21:32:23+00:00,,https://utua.co/post-sitemap.xml
utua.co,REC,UTUA_P1,cc,bbva,Mastercard Heroes,mastercard-heroes,cc-bbva-mastercard-heroes,cc-bbva-mastercard-heroes-p1,https://utua.co/cc-bbva-mastercard-heroes-p1/,https://utua.co/cc-bbva-mastercard-heroes-p1/,https://utua.co/cc-bbva-mastercard-heroes-p2/,cc-bbva-mastercard-heroes-p2,REC+P1,2024-05-03T13:58:17+00:00,,https://utua.co/post-sitemap.xml
utua.co,REC,UTUA_P1,cc,bbva,Mastercard Standard,mastercard-standard,cc-bbva-mastercard-standard,cc-bbva-mastercard-standard-p1,https://utua.co/cc-bbva-mastercard-standard-p1/,https://utua.co/cc-bbva-mastercard-standard-p1/,https://utua.co/cc-bbva-mastercard-standard-p2/,cc-bbva-mastercard-standard-p2,REC+P1,2024-05-02T22:35:54+00:00,,https://utua.co/post-sitemap.xml
utua.co,REC,UTUA_P1,cc,bbva,Mastercard Vision Mundial,mastercard-vision-mundial,cc-bbva-mastercard-vision-mundial,cc-bbva-mastercard-vision-mundial-p1,https://utua.co/cc-bbva-mastercard-vision-mundial-p1/,https://utua.co/cc-bbva-mastercard-vision-mundial-p1/,https://utua.co/cc-bbva-mastercard-vision-mundial-p2/,cc-bbva-mastercard-vision-mundial-p2,REC+P1,2024-05-03T15:31:31+00:00,,https://utua.co/post-sitemap.xml
