domain,article_type,source_domain_stage,country,vertical,product_guess,product_slug,pair_key,slug,url,reference_rec_url,reference_p1_url,reference_p1_slug,reference_pair_status,lastmod,image_urls,source_sitemap
utua.de,REC,UTUA_P1,cc,1822,Direkt Visa Classic,direkt-visa-classic,cc-1822-direkt-visa-classic,cc-1822-direkt-visa-classic-p1,https://utua.de/cc-1822-direkt-visa-classic-p1/,https://utua.de/cc-1822-direkt-visa-classic-p1/,https://utua.de/cc-1822-direkt-visa-classic-p2/,cc-1822-direkt-visa-classic-p2,REC+P1,2024-03-28T18:35:26+00:00,,https://utua.de/post-sitemap2.xml
utua.de,REC,UTUA_P1,cc,1822,Direkt Visa Gold,direkt-visa-gold,cc-1822-direkt-visa-gold,cc-1822-direkt-visa-gold-p1,https://utua.de/cc-1822-direkt-visa-gold-p1/,https://utua.de/cc-1822-direkt-visa-gold-p1/,https://utua.de/cc-1822-direkt-visa-gold-p2/,cc-1822-direkt-visa-gold-p2,REC+P1,2024-03-28T17:05:02+00:00,,https://utua.de/post-sitemap2.xml
utua.de,REC,UTUA_P1,cc,adac,Kreditkarten,kreditkarten,cc-adac-kreditkarten,cc-adac-kreditkarten-p1,https://utua.de/cc-adac-kreditkarten-p1/,https://utua.de/cc-adac-kreditkarten-p1/,https://utua.de/cc-adac-kreditkarten-p2/,cc-adac-kreditkarten-p2,REC+P1,2025-07-21T12:32:19+00:00,,https://utua.de/post-sitemap1.xml
utua.de,REC,UTUA_P1,cc,advanzia,Mastercard Gold,mastercard-gold,cc-advanzia-mastercard-gold,cc-advanzia-mastercard-gold-p1,https://utua.de/cc-advanzia-mastercard-gold-p1/,https://utua.de/cc-advanzia-mastercard-gold-p1/,https://utua.de/cc-advanzia-mastercard-gold-p2/,cc-advanzia-mastercard-gold-p2,REC+P1,2024-03-24T15:32:47+00:00,,https://utua.de/post-sitemap2.xml
utua.de,REC,UTUA_P1,cc,amazon,Visa,visa,cc-amazon-visa,cc-amazon-visa-p1,https://utua.de/cc-amazon-visa-p1/,https://utua.de/cc-amazon-visa-p1/,https://utua.de/cc-amazon-visa-p2/,cc-amazon-visa-p2,REC+P1,2024-08-29T13:54:33+00:00,,https://utua.de/post-sitemap1.xml
utua.de,REC,UTUA_P1,cc,american,Express Blue,express-blue,cc-american-express-blue,cc-american-express-blue-p1,https://utua.de/cc-american-express-blue-p1/,https://utua.de/cc-american-express-blue-p1/,https://utua.de/cc-american-express-blue-p2/,cc-american-express-blue-p2,REC+P1,2024-06-05T17:45:05+00:00,,https://utua.de/post-sitemap1.xml
utua.de,REC,UTUA_P1,cc,american,Express Platinum Card,express-platinum-card,cc-american-express-platinum-card,cc-american-express-platinum-card-p1,https://utua.de/cc-american-express-platinum-card-p1/,https://utua.de/cc-american-express-platinum-card-p1/,https://utua.de/cc-american-express-platinum-card-p2/,cc-american-express-platinum-card-p2,REC+P1,2024-03-21T18:13:42+00:00,,https://utua.de/post-sitemap2.xml
utua.de,REC,UTUA_P1,cc,awa7,Kreditkarte Visa,kreditkarte-visa,cc-awa7-kreditkarte-visa,cc-awa7-kreditkarte-visa-p1,https://utua.de/cc-awa7-kreditkarte-visa-p1/,https://utua.de/cc-awa7-kreditkarte-visa-p1/,https://utua.de/cc-awa7-kreditkarte-visa-p2/,cc-awa7-kreditkarte-visa-p2,REC+P1,2024-03-19T22:16:52+00:00,,https://utua.de/post-sitemap2.xml
utua.de,REC,UTUA_P1,cc,awa7,Visa Kreditkarte,visa-kreditkarte,cc-awa7-visa-kreditkarte,cc-awa7-visa-kreditkarte-p1,https://utua.de/cc-awa7-visa-kreditkarte-p1/,https://utua.de/cc-awa7-visa-kreditkarte-p1/,https://utua.de/cc-awa7-visa-kreditkarte-p2/,cc-awa7-visa-kreditkarte-p2,REC+P1,2024-04-16T20:52:51+00:00,,https://utua.de/post-sitemap2.xml
utua.de,REC,UTUA_P1,cc,awa7,Visa Kreditkarte Away,visa-kreditkarte-away,cc-awa7-visa-kreditkarte-away,cc-awa7-visa-kreditkarte-away-p1,https://utua.de/cc-awa7-visa-kreditkarte-away-p1/,https://utua.de/cc-awa7-visa-kreditkarte-away-p1/,https://utua.de/cc-awa7-visa-kreditkarte-away-p2/,cc-awa7-visa-kreditkarte-away-p2,REC+P1,2024-09-29T23:26:43+00:00,,https://utua.de/post-sitemap1.xml
utua.de,REC,UTUA_P1,cc,barclays,Gold Visa Kreditkarte,gold-visa-kreditkarte,cc-barclays-gold-visa-kreditkarte,cc-barclays-gold-visa-kreditkarte-p1,https://utua.de/cc-barclays-gold-visa-kreditkarte-p1/,https://utua.de/cc-barclays-gold-visa-kreditkarte-p1/,https://utua.de/cc-barclays-gold-visa-kreditkarte-p2/,cc-barclays-gold-visa-kreditkarte-p2,REC+P1,2024-07-11T18:43:21+00:00,,https://utua.de/post-sitemap1.xml
utua.de,REC,UTUA_P1,cc,barclays,Kreditkarte Visa,kreditkarte-visa,cc-barclays-kreditkarte-visa,cc-barclays-kreditkarte-visa-p1,https://utua.de/cc-barclays-kreditkarte-visa-p1/,https://utua.de/cc-barclays-kreditkarte-visa-p1/,https://utua.de/cc-barclays-kreditkarte-visa-p2/,cc-barclays-kreditkarte-visa-p2,REC+P1,2025-05-15T19:10:52+00:00,,https://utua.de/post-sitemap1.xml
utua.de,REC,UTUA_P1,cc,barclays,Platinum Double,platinum-double,cc-barclays-platinum-double,cc-barclays-platinum-double-p1,https://utua.de/cc-barclays-platinum-double-p1/,https://utua.de/cc-barclays-platinum-double-p1/,https://utua.de/cc-barclays-platinum-double-p2/,cc-barclays-platinum-double-p2,REC+P1,2024-07-11T18:42:34+00:00,,https://utua.de/post-sitemap1.xml
utua.de,REC,UTUA_P1,cc,barclays,Visa,visa,cc-barclays-visa,cc-barclays-visa-p1,https://utua.de/cc-barclays-visa-p1/,https://utua.de/cc-barclays-visa-p1/,https://utua.de/cc-barclays-visa-p2/,cc-barclays-visa-p2,REC+P1,2024-07-11T18:41:38+00:00,,https://utua.de/post-sitemap1.xml
utua.de,REC,UTUA_P1,cc,barclays,Visa Card,visa-card,cc-barclays-visa-card,cc-barclays-visa-card-p1,https://utua.de/cc-barclays-visa-card-p1/,https://utua.de/cc-barclays-visa-card-p1/,https://utua.de/cc-barclays-visa-card-p2/,cc-barclays-visa-card-p2,REC+P1,2024-07-11T18:43:48+00:00,,https://utua.de/post-sitemap1.xml
utua.de,REC,UTUA_P1,cc,barclays,Visa Kreditkarte,visa-kreditkarte,cc-barclays-visa-kreditkarte,cc-barclays-visa-kreditkarte-p1,https://utua.de/cc-barclays-visa-kreditkarte-p1/,https://utua.de/cc-barclays-visa-kreditkarte-p1/,https://utua.de/cc-barclays-visa-kreditkarte-p2/,cc-barclays-visa-kreditkarte-p2,REC+P1,2024-10-01T18:56:19+00:00,,https://utua.de/post-sitemap1.xml
utua.de,REC,UTUA_P1,cc,beobank,Brussels Airlines,brussels-airlines,cc-beobank-brussels-airlines,cc-beobank-brussels-airlines-p1,https://utua.de/cc-beobank-brussels-airlines-p1/,https://utua.de/cc-beobank-brussels-airlines-p1/,https://utua.de/cc-beobank-brussels-airlines-p2/,cc-beobank-brussels-airlines-p2,REC+P1,2025-10-22T17:38:57+00:00,,https://utua.de/post-sitemap1.xml
utua.de,REC,UTUA_P1,cc,bunq,Easy Card Kredit,easy-card-kredit,cc-bunq-easy-card-kredit,cc-bunq-easy-card-kredit-p1,https://utua.de/cc-bunq-easy-card-kredit-p1/,https://utua.de/cc-bunq-easy-card-kredit-p1/,https://utua.de/cc-bunq-easy-card-kredit-p2/,cc-bunq-easy-card-kredit-p2,REC+P1,2024-10-25T16:48:08+00:00,,https://utua.de/post-sitemap1.xml
utua.de,REC,UTUA_P1,cc,bunq,Kreditkarte,kreditkarte,cc-bunq-kreditkarte,cc-bunq-kreditkarte-p1,https://utua.de/cc-bunq-kreditkarte-p1/,https://utua.de/cc-bunq-kreditkarte-p1/,https://utua.de/cc-bunq-kreditkarte-p2/,cc-bunq-kreditkarte-p2,REC+P1,2024-06-05T18:10:28+00:00,,https://utua.de/post-sitemap1.xml
utua.de,REC,UTUA_P1,cc,bw,Bank Credit Card,bank-credit-card,cc-bw-bank-credit-card,cc-bw-bank-credit-card-p1,https://utua.de/cc-bw-bank-credit-card-p1/,https://utua.de/cc-bw-bank-credit-card-p1/,https://utua.de/cc-bw-bank-credit-card-p2/,cc-bw-bank-credit-card-p2,REC+P1,2024-08-29T14:18:57+00:00,,https://utua.de/post-sitemap1.xml
utua.de,REC,UTUA_P1,cc,comdirect,Visa Kreditkarte,visa-kreditkarte,cc-comdirect-visa-kreditkarte,cc-comdirect-visa-kreditkarte-p1,https://utua.de/cc-comdirect-visa-kreditkarte-p1/,https://utua.de/cc-comdirect-visa-kreditkarte-p1/,https://utua.de/cc-comdirect-visa-kreditkarte-p2/,cc-comdirect-visa-kreditkarte-p2,REC+P1,2024-04-19T00:04:50+00:00,,https://utua.de/post-sitemap2.xml
utua.de,REC,UTUA_P1,cc,commerzbank,American Platinum,american-platinum,cc-commerzbank-american-platinum,cc-commerzbank-american-platinum-p1,https://utua.de/cc-commerzbank-american-platinum-p1/,https://utua.de/cc-commerzbank-american-platinum-p1/,https://utua.de/cc-commerzbank-american-platinum-p2/,cc-commerzbank-american-platinum-p2,REC+P1,2024-04-17T13:03:25+00:00,,https://utua.de/post-sitemap2.xml
utua.de,REC,UTUA_P1,cc,commerzbank,Business Card,business-card,cc-commerzbank-business-card,cc-commerzbank-business-card-p1,https://utua.de/cc-commerzbank-business-card-p1/,https://utua.de/cc-commerzbank-business-card-p1/,https://utua.de/cc-commerzbank-business-card-p2/,cc-commerzbank-business-card-p2,REC+P1,2024-04-18T14:23:26+00:00,,https://utua.de/post-sitemap2.xml
utua.de,REC,UTUA_P1,cc,commerzbank,Classic,classic,cc-commerzbank-classic,cc-commerzbank-classic-p1,https://utua.de/cc-commerzbank-classic-p1/,https://utua.de/cc-commerzbank-classic-p1/,https://utua.de/cc-commerzbank-classic-p2/,cc-commerzbank-classic-p2,REC+P1,2024-04-17T21:43:28+00:00,,https://utua.de/post-sitemap2.xml
utua.de,REC,UTUA_P1,cc,commerzbank,Classic Karte,classic-karte,cc-commerzbank-classic-karte,cc-commerzbank-classic-karte-p1,https://utua.de/cc-commerzbank-classic-karte-p1/,https://utua.de/cc-commerzbank-classic-karte-p1/,https://utua.de/cc-commerzbank-classic-karte-p2/,cc-commerzbank-classic-karte-p2,REC+P1,2024-03-22T21:33:27+00:00,,https://utua.de/post-sitemap2.xml
