domain,article_type,source_domain_stage,country,vertical,product_guess,product_slug,pair_key,slug,url,reference_rec_url,reference_p1_url,reference_p1_slug,reference_pair_status,lastmod,image_urls,source_sitemap
utua.es,REC,UTUA_P1,cc,abanca,Tarjeta Oro,tarjeta-oro,cc-abanca-tarjeta-oro,cc-abanca-tarjeta-oro-p1,https://utua.es/cc-abanca-tarjeta-oro-p1/,https://utua.es/cc-abanca-tarjeta-oro-p1/,https://utua.es/cc-abanca-tarjeta-oro-p2/,cc-abanca-tarjeta-oro-p2,REC+P1,2024-11-13T13:00:03+00:00,,https://utua.es/post-sitemap2.xml
utua.es,REC,UTUA_P1,cc,abanca,Tarjeta Tu,tarjeta-tu,cc-abanca-tarjeta-tu,cc-abanca-tarjeta-tu-p1,https://utua.es/cc-abanca-tarjeta-tu-p1/,https://utua.es/cc-abanca-tarjeta-tu-p1/,https://utua.es/cc-abanca-tarjeta-tu-p2/,cc-abanca-tarjeta-tu-p2,REC+P1,2025-01-23T02:40:35+00:00,,https://utua.es/post-sitemap1.xml
utua.es,REC,UTUA_P1,cc,abanca,Visa Clip,visa-clip,cc-abanca-visa-clip,cc-abanca-visa-clip-p1,https://utua.es/cc-abanca-visa-clip-p1/,https://utua.es/cc-abanca-visa-clip-p1/,https://utua.es/cc-abanca-visa-clip-p2/,cc-abanca-visa-clip-p2,REC+P1,2025-01-23T02:41:36+00:00,,https://utua.es/post-sitemap1.xml
utua.es,REC,UTUA_P1,cc,abanca,Visa Proyecta,visa-proyecta,cc-abanca-visa-proyecta,cc-abanca-visa-proyecta-p1,https://utua.es/cc-abanca-visa-proyecta-p1/,https://utua.es/cc-abanca-visa-proyecta-p1/,https://utua.es/cc-abanca-visa-proyecta-p2/,cc-abanca-visa-proyecta-p2,REC+P1,2024-05-16T15:34:23+00:00,,https://utua.es/post-sitemap2.xml
utua.es,REC,UTUA_P1,cc,abrir,Cuenta Bbva,cuenta-bbva,cc-abrir-cuenta-bbva,cc-abrir-cuenta-bbva-p1,https://utua.es/cc-abrir-cuenta-bbva-p1/,https://utua.es/cc-abrir-cuenta-bbva-p1/,https://utua.es/cc-abrir-cuenta-bbva-p2/,cc-abrir-cuenta-bbva-p2,REC+P1,2024-06-07T15:42:16+00:00,,https://utua.es/post-sitemap2.xml
utua.es,REC,UTUA_P1,cc,american,Express Gold Card,express-gold-card,cc-american-express-gold-card,cc-american-express-gold-card-p1,https://utua.es/cc-american-express-gold-card-p1/,https://utua.es/cc-american-express-gold-card-p1/,https://utua.es/cc-american-express-gold-card-p2/,cc-american-express-gold-card-p2,REC+P1,2024-05-09T02:28:54+00:00,,https://utua.es/post-sitemap2.xml
utua.es,REC,UTUA_P1,cc,american,Express Platinum,express-platinum,cc-american-express-platinum,cc-american-express-platinum-p1,https://utua.es/cc-american-express-platinum-p1/,https://utua.es/cc-american-express-platinum-p1/,https://utua.es/cc-american-express-platinum-p2/,cc-american-express-platinum-p2,REC+P1,2025-10-08T17:11:06+00:00,,https://utua.es/post-sitemap1.xml
utua.es,REC,UTUA_P1,cc,american,Express Renfe,express-renfe,cc-american-express-renfe,cc-american-express-renfe-p1,https://utua.es/cc-american-express-renfe-p1/,https://utua.es/cc-american-express-renfe-p1/,https://utua.es/cc-american-express-renfe-p2/,cc-american-express-renfe-p2,REC+P1,2024-05-09T13:38:30+00:00,,https://utua.es/post-sitemap2.xml
utua.es,REC,UTUA_P1,cc,amex,Meliarewards Gold,meliarewards-gold,cc-amex-meliarewards-gold,cc-amex-meliarewards-gold-p1,https://utua.es/cc-amex-meliarewards-gold-p1/,https://utua.es/cc-amex-meliarewards-gold-p1/,https://utua.es/cc-amex-meliarewards-gold-p2/,cc-amex-meliarewards-gold-p2,REC+P1,2024-05-09T13:39:51+00:00,,https://utua.es/post-sitemap2.xml
utua.es,REC,UTUA_P1,cc,aplazame,,,cc-aplazame,cc-aplazame-p1,https://utua.es/cc-aplazame-p1/,https://utua.es/cc-aplazame-p1/,https://utua.es/cc-aplazame-p2/,cc-aplazame-p2,REC+P1,2025-11-05T18:19:03+00:00,,https://utua.es/post-sitemap1.xml
utua.es,REC,UTUA_P1,cc,b100,Pay To Save,pay-to-save,cc-b100-pay-to-save,cc-b100-pay-to-save-p1,https://utua.es/cc-b100-pay-to-save-p1/,https://utua.es/cc-b100-pay-to-save-p1/,https://utua.es/cc-b100-pay-to-save-p2/,cc-b100-pay-to-save-p2,REC+P1,2024-11-14T10:53:05+00:00,,https://utua.es/post-sitemap2.xml
utua.es,REC,UTUA_P1,cc,b100,Tarjeta Pay To Save,tarjeta-pay-to-save,cc-b100-tarjeta-pay-to-save,cc-b100-tarjeta-pay-to-save-p1,https://utua.es/cc-b100-tarjeta-pay-to-save-p1/,https://utua.es/cc-b100-tarjeta-pay-to-save-p1/,https://utua.es/cc-b100-tarjeta-pay-to-save-p2/,cc-b100-tarjeta-pay-to-save-p2,REC+P1,2025-05-13T17:29:13+00:00,,https://utua.es/post-sitemap1.xml
utua.es,REC,UTUA_P1,cc,bankinter,Duo Credito,duo-credito,cc-bankinter-duo-credito,cc-bankinter-duo-credito-p1,https://utua.es/cc-bankinter-duo-credito-p1/,https://utua.es/cc-bankinter-duo-credito-p1/,https://utua.es/cc-bankinter-duo-credito-p2/,cc-bankinter-duo-credito-p2,REC+P1,2025-01-30T21:01:33+00:00,,https://utua.es/post-sitemap1.xml
utua.es,REC,UTUA_P1,cc,bankinter,Quiero Card,quiero-card,cc-bankinter-quiero-card,cc-bankinter-quiero-card-p1,https://utua.es/cc-bankinter-quiero-card-p1/,https://utua.es/cc-bankinter-quiero-card-p1/,https://utua.es/cc-bankinter-quiero-card-p2/,cc-bankinter-quiero-card-p2,REC+P1,2024-03-12T21:38:36+00:00,,https://utua.es/post-sitemap2.xml
utua.es,REC,UTUA_P1,cc,bbva,Despues,despues,cc-bbva-despues,cc-bbva-despues-p1,https://utua.es/cc-bbva-despues-p1/,https://utua.es/cc-bbva-despues-p1/,https://utua.es/cc-bbva-despues-p2/,cc-bbva-despues-p2,REC+P1,2024-05-07T17:53:17+00:00,,https://utua.es/post-sitemap2.xml
utua.es,REC,UTUA_P1,cc,bbva,Dorada Renfe,dorada-renfe,cc-bbva-dorada-renfe,cc-bbva-dorada-renfe-p1,https://utua.es/cc-bbva-dorada-renfe-p1/,https://utua.es/cc-bbva-dorada-renfe-p1/,https://utua.es/cc-bbva-dorada-renfe-p2/,cc-bbva-dorada-renfe-p2,REC+P1,2024-07-31T22:12:02+00:00,,https://utua.es/post-sitemap2.xml
utua.es,REC,UTUA_P1,cc,bbva,Iberia Classic,iberia-classic,cc-bbva-iberia-classic,cc-bbva-iberia-classic-p1,https://utua.es/cc-bbva-iberia-classic-p1/,https://utua.es/cc-bbva-iberia-classic-p1/,https://utua.es/cc-bbva-iberia-classic-p2/,cc-bbva-iberia-classic-p2,REC+P1,2024-03-12T21:14:45+00:00,,https://utua.es/post-sitemap2.xml
utua.es,REC,UTUA_P1,cc,bbva,Tarjeta Aqua Mas,tarjeta-aqua-mas,cc-bbva-tarjeta-aqua-mas,cc-bbva-tarjeta-aqua-mas-p1,https://utua.es/cc-bbva-tarjeta-aqua-mas-p1/,https://utua.es/cc-bbva-tarjeta-aqua-mas-p1/,https://utua.es/cc-bbva-tarjeta-aqua-mas-p2/,cc-bbva-tarjeta-aqua-mas-p2,REC+P1,2024-03-12T18:45:32+00:00,,https://utua.es/post-sitemap2.xml
utua.es,REC,UTUA_P1,cc,bbva,Tarjeta Aqua Maxima,tarjeta-aqua-maxima,cc-bbva-tarjeta-aqua-maxima,cc-bbva-tarjeta-aqua-maxima-p1,https://utua.es/cc-bbva-tarjeta-aqua-maxima-p1/,https://utua.es/cc-bbva-tarjeta-aqua-maxima-p1/,https://utua.es/cc-bbva-tarjeta-aqua-maxima-p2/,cc-bbva-tarjeta-aqua-maxima-p2,REC+P1,2024-10-02T13:44:16+00:00,,https://utua.es/post-sitemap2.xml
utua.es,REC,UTUA_P1,cc,bbva,Tu Ritmo,tu-ritmo,cc-bbva-tu-ritmo,cc-bbva-tu-ritmo-p1,https://utua.es/cc-bbva-tu-ritmo-p1/,https://utua.es/cc-bbva-tu-ritmo-p1/,https://utua.es/cc-bbva-tu-ritmo-p2/,cc-bbva-tu-ritmo-p2,REC+P1,2024-05-07T18:00:20+00:00,,https://utua.es/post-sitemap2.xml
utua.es,REC,UTUA_P1,cc,bbva,Viajes,viajes,cc-bbva-viajes,cc-bbva-viajes-p1,https://utua.es/cc-bbva-viajes-p1/,https://utua.es/cc-bbva-viajes-p1/,https://utua.es/cc-bbva-viajes-p2/,cc-bbva-viajes-p2,REC+P1,2024-03-12T21:12:49+00:00,,https://utua.es/post-sitemap2.xml
utua.es,REC,UTUA_P1,cc,bbva,Visa Infinite,visa-infinite,cc-bbva-visa-infinite,cc-bbva-visa-infinite-p1,https://utua.es/cc-bbva-visa-infinite-p1/,https://utua.es/cc-bbva-visa-infinite-p1/,https://utua.es/cc-bbva-visa-infinite-p2/,cc-bbva-visa-infinite-p2,REC+P1,2024-08-26T13:25:35+00:00,,https://utua.es/post-sitemap2.xml
