domain,article_type,source_domain_stage,country,vertical,product_guess,product_slug,pair_key,slug,url,reference_rec_url,reference_p1_url,reference_p1_slug,reference_pair_status,lastmod,image_urls,source_sitemap
utua.id,REC,UTUA_P1,cc,bank,Sinarmas Visa Platinum,sinarmas-visa-platinum,cc-bank-sinarmas-visa-platinum,cc-bank-sinarmas-visa-platinum-p1,https://utua.id/cc-bank-sinarmas-visa-platinum-p1/,https://utua.id/cc-bank-sinarmas-visa-platinum-p1/,https://utua.id/cc-bank-sinarmas-visa-platinum-p2/,cc-bank-sinarmas-visa-platinum-p2,REC+P1,2026-05-27T15:58:56+00:00,,https://utua.id/post-sitemap1.xml
utua.id,REC,UTUA_P1,cc,bca,Everyday Card,everyday-card,cc-bca-everyday-card,cc-bca-everyday-card-p1,https://utua.id/cc-bca-everyday-card-p1/,https://utua.id/cc-bca-everyday-card-p1/,https://utua.id/cc-bca-everyday-card-p2/,cc-bca-everyday-card-p2,REC+P1,2025-07-14T16:07:42+00:00,,https://utua.id/post-sitemap1.xml
utua.id,REC,UTUA_P1,cc,bluvirtual,Card,card,cc-bluvirtual-card,cc-bluvirtual-card-p1,https://utua.id/cc-bluvirtual-card-p1/,https://utua.id/cc-bluvirtual-card-p1/,https://utua.id/cc-bluvirtual-card-p2/,cc-bluvirtual-card-p2,REC+P1,2026-05-27T15:57:36+00:00,,https://utua.id/post-sitemap1.xml
utua.id,REC,UTUA_P1,cc,bni,Gold,gold,cc-bni-gold,cc-bni-gold-p1,https://utua.id/cc-bni-gold-p1/,https://utua.id/cc-bni-gold-p1/,https://utua.id/cc-bni-gold-p2/,cc-bni-gold-p2,REC+P1,2026-03-29T22:47:27+00:00,,https://utua.id/post-sitemap1.xml
utua.id,REC,UTUA_P1,cc,bni,Jcb Gold Card,jcb-gold-card,cc-bni-jcb-gold-card,cc-bni-jcb-gold-card-p1,https://utua.id/cc-bni-jcb-gold-card-p1/,https://utua.id/cc-bni-jcb-gold-card-p1/,https://utua.id/cc-bni-jcb-gold-card-p2/,cc-bni-jcb-gold-card-p2,REC+P1,2026-03-09T13:19:41+00:00,,https://utua.id/post-sitemap1.xml
utua.id,REC,UTUA_P1,cc,bni,Titanium,titanium,cc-bni-titanium,cc-bni-titanium-p1,https://utua.id/cc-bni-titanium-p1/,https://utua.id/cc-bni-titanium-p1/,https://utua.id/cc-bni-titanium-p2/,cc-bni-titanium-p2,REC+P1,2026-05-28T11:00:17+00:00,,https://utua.id/post-sitemap1.xml
utua.id,REC,UTUA_P1,cc,bri,Easy Card,easy-card,cc-bri-easy-card,cc-bri-easy-card-p1,https://utua.id/cc-bri-easy-card-p1/,https://utua.id/cc-bri-easy-card-p1/,,,REC_only,2025-05-26T13:17:44+00:00,,https://utua.id/post-sitemap1.xml
utua.id,REC,UTUA_P1,cc,bri,Visa Touch,visa-touch,cc-bri-visa-touch,cc-bri-visa-touch-p1,https://utua.id/cc-bri-visa-touch-p1/,https://utua.id/cc-bri-visa-touch-p1/,https://utua.id/cc-bri-visa-touch-p2/,cc-bri-visa-touch-p2,REC+P1,2026-03-30T01:46:25+00:00,,https://utua.id/post-sitemap1.xml
utua.id,REC,UTUA_P1,cc,cimb,Niaga Gold Card,niaga-gold-card,cc-cimb-niaga-gold-card,cc-cimb-niaga-gold-card-p1,https://utua.id/cc-cimb-niaga-gold-card-p1/,https://utua.id/cc-cimb-niaga-gold-card-p1/,https://utua.id/cc-cimb-niaga-gold-card-p2/,cc-cimb-niaga-gold-card-p2,REC+P1,2025-05-29T00:40:11+00:00,,https://utua.id/post-sitemap1.xml
utua.id,REC,UTUA_P1,cc,cimb,Niaga Visa Gold,niaga-visa-gold,cc-cimb-niaga-visa-gold,cc-cimb-niaga-visa-gold-p1,https://utua.id/cc-cimb-niaga-visa-gold-p1/,https://utua.id/cc-cimb-niaga-visa-gold-p1/,,,REC_only,2025-05-26T13:32:10+00:00,,https://utua.id/post-sitemap1.xml
