domain,article_type,source_domain_stage,country,vertical,product_guess,product_slug,pair_key,slug,url,reference_rec_url,reference_p1_url,reference_p1_slug,reference_pair_status,lastmod,image_urls,source_sitemap
utua.in,REC,UTUA_P1,cc,axis,Flipkart,flipkart,cc-axis-flipkart,cc-axis-flipkart-p1,https://utua.in/cc-axis-flipkart-p1/,https://utua.in/cc-axis-flipkart-p1/,https://utua.in/cc-axis-flipkart-p2/,cc-axis-flipkart-p2,REC+P1,2024-10-24T16:32:39+00:00,,https://utua.in/post-sitemap.xml
utua.in,REC,UTUA_P1,cc,axis,Insta Easy,insta-easy,cc-axis-insta-easy,cc-axis-insta-easy-p1,https://utua.in/cc-axis-insta-easy-p1/,https://utua.in/cc-axis-insta-easy-p1/,https://utua.in/cc-axis-insta-easy-p2/,cc-axis-insta-easy-p2,REC+P1,2024-10-24T14:20:59+00:00,,https://utua.in/post-sitemap.xml
utua.in,REC,UTUA_P1,cc,flipkart,Pay Later,pay-later,cc-flipkart-pay-later,cc-flipkart-pay-later-p1,https://utua.in/cc-flipkart-pay-later-p1/,https://utua.in/cc-flipkart-pay-later-p1/,,,REC_only,2023-12-02T13:06:51+00:00,,https://utua.in/post-sitemap.xml
utua.in,REC,UTUA_P1,cc,icici,Amazon,amazon,cc-icici-amazon,cc-icici-amazon-p1,https://utua.in/cc-icici-amazon-p1/,https://utua.in/cc-icici-amazon-p1/,https://utua.in/cc-icici-amazon-p2/,cc-icici-amazon-p2,REC+P1,2024-10-24T14:28:50+00:00,,https://utua.in/post-sitemap.xml
utua.in,REC,UTUA_P1,cc,intermiles,Coral Icici,coral-icici,cc-intermiles-coral-icici,cc-intermiles-coral-icici-p1,https://utua.in/cc-intermiles-coral-icici-p1/,https://utua.in/cc-intermiles-coral-icici-p1/,https://utua.in/cc-intermiles-coral-icici-p2/,cc-intermiles-coral-icici-p2,REC+P1,2024-10-24T16:47:04+00:00,,https://utua.in/post-sitemap.xml
utua.in,REC,UTUA_P1,cc,kotak,811,811,cc-kotak-811,cc-kotak-811-p1,https://utua.in/cc-kotak-811-p1/,https://utua.in/cc-kotak-811-p1/,https://utua.in/cc-kotak-811-p2/,cc-kotak-811-p2,REC+P1,2024-10-24T17:10:21+00:00,,https://utua.in/post-sitemap.xml
utua.in,REC,UTUA_P1,ft,credit,History,history,ft-credit-history,ft-credit-history-p1,https://utua.in/ft-credit-history-p1/,https://utua.in/ft-credit-history-p1/,,,REC_only,2023-11-16T22:06:21+00:00,https://assets.cloneswordpress.com/sites/utua.in/img/2023/11/Begrowth@2020-50.png,https://utua.in/post-sitemap.xml
utua.in,REC,UTUA_P1,ft,investor,Profile,profile,ft-investor-profile,ft-investor-profile-p1,https://utua.in/ft-investor-profile-p1/,https://utua.in/ft-investor-profile-p1/,,,REC_only,2023-11-16T21:52:59+00:00,https://assets.cloneswordpress.com/sites/utua.in/img/2023/11/Design-sem-nome-2.png|https://assets.cloneswordpress.com/sites/utua.in/img/2023/11/Design-sem-nome-3.png|https://assets.cloneswordpress.com/sites/utua.in/img/2023/11/Design-sem-nome-4.png|https://assets.cloneswordpress.com/sites/utua.in/img/2023/11/Design-sem-nome-5.png|https://assets.cloneswordpress.com/sites/utua.in/img/2023/11/Design-sem-nome-6.png,https://utua.in/post-sitemap.xml
utua.in,REC,UTUA_P1,ft,learn,To Invest,to-invest,ft-learn-to-invest,ft-learn-to-invest-p1,https://utua.in/ft-learn-to-invest-p1/,https://utua.in/ft-learn-to-invest-p1/,,,REC_only,2023-11-16T21:26:02+00:00,https://assets.cloneswordpress.com/sites/utua.in/img/2023/11/Begrowth@2020-57.png,https://utua.in/post-sitemap.xml
utua.in,REC,UTUA_P1,ft,loan,Repayment Upon Death,repayment-upon-death,ft-loan-repayment-upon-death,ft-loan-repayment-upon-death-p1,https://utua.in/ft-loan-repayment-upon-death-p1/,https://utua.in/ft-loan-repayment-upon-death-p1/,,,REC_only,2023-11-16T20:59:31+00:00,,https://utua.in/post-sitemap.xml
utua.in,REC,UTUA_P1,ft,vidya,Lakshmi,lakshmi,ft-vidya-lakshmi,ft-vidya-lakshmi-p1,https://utua.in/ft-vidya-lakshmi-p1/,https://utua.in/ft-vidya-lakshmi-p1/,,,REC_only,2023-11-16T22:04:14+00:00,,https://utua.in/post-sitemap.xml
