domain,article_type,source_domain_stage,country,vertical,product_guess,product_slug,pair_key,slug,url,reference_rec_url,reference_p1_url,reference_p1_slug,reference_pair_status,lastmod,image_urls,source_sitemap
utua.it,REC,UTUA_P1,cc,american,Express Gold Card,express-gold-card,cc-american-express-gold-card,cc-american-express-gold-card-p1,https://utua.it/cc-american-express-gold-card-p1/,https://utua.it/cc-american-express-gold-card-p1/,https://utua.it/cc-american-express-gold-card-p2/,cc-american-express-gold-card-p2,REC+P1,2024-03-21T17:57:00+00:00,,https://utua.it/post-sitemap1.xml
utua.it,REC,UTUA_P1,cc,american,Express Green Card,express-green-card,cc-american-express-green-card,cc-american-express-green-card-p1,https://utua.it/cc-american-express-green-card-p1/,https://utua.it/cc-american-express-green-card-p1/,https://utua.it/cc-american-express-green-card-p2/,cc-american-express-green-card-p2,REC+P1,2024-03-21T17:53:33+00:00,,https://utua.it/post-sitemap1.xml
utua.it,REC,UTUA_P1,cc,banco,Bpm Classic,bpm-classic,cc-banco-bpm-classic,cc-banco-bpm-classic-p1,https://utua.it/cc-banco-bpm-classic-p1/,https://utua.it/cc-banco-bpm-classic-p1/,https://utua.it/cc-banco-bpm-classic-p2/,cc-banco-bpm-classic-p2,REC+P1,2024-03-29T17:44:06+00:00,,https://utua.it/post-sitemap1.xml
utua.it,REC,UTUA_P1,cc,banco,Bpm Nexi Prestige,bpm-nexi-prestige,cc-banco-bpm-nexi-prestige,cc-banco-bpm-nexi-prestige-p1,https://utua.it/cc-banco-bpm-nexi-prestige-p1/,https://utua.it/cc-banco-bpm-nexi-prestige-p1/,https://utua.it/cc-banco-bpm-nexi-prestige-p2/,cc-banco-bpm-nexi-prestige-p2,REC+P1,2024-03-29T17:45:27+00:00,,https://utua.it/post-sitemap1.xml
utua.it,REC,UTUA_P1,cc,banco,Classic Bpm,classic-bpm,cc-banco-classic-bpm,cc-banco-classic-bpm-p1,https://utua.it/cc-banco-classic-bpm-p1/,https://utua.it/cc-banco-classic-bpm-p1/,,,REC_only,2024-11-18T20:09:51+00:00,,https://utua.it/post-sitemap1.xml
utua.it,REC,UTUA_P1,cc,bancocard,Basic Intesa,basic-intesa,cc-bancocard-basic-intesa,cc-bancocard-basic-intesa-p1,https://utua.it/cc-bancocard-basic-intesa-p1/,https://utua.it/cc-bancocard-basic-intesa-p1/,https://utua.it/cc-bancocard-basic-intesa-p2/,cc-bancocard-basic-intesa-p2,REC+P1,2024-06-04T18:02:58+00:00,,https://utua.it/post-sitemap1.xml
utua.it,REC,UTUA_P1,cc,bancocard,Intesa Basic,intesa-basic,cc-bancocard-intesa-basic,cc-bancocard-intesa-basic-p1,https://utua.it/cc-bancocard-intesa-basic-p1/,https://utua.it/cc-bancocard-intesa-basic-p1/,,,REC_only,2024-07-30T21:00:47+00:00,,https://utua.it/post-sitemap1.xml
utua.it,REC,UTUA_P1,cc,blu,American Express,american-express,cc-blu-american-express,cc-blu-american-express-p1,https://utua.it/cc-blu-american-express-p1/,https://utua.it/cc-blu-american-express-p1/,https://utua.it/cc-blu-american-express-p2/,cc-blu-american-express-p2,REC+P1,2024-03-19T19:53:32+00:00,,https://utua.it/post-sitemap1.xml
utua.it,REC,UTUA_P1,cc,bnl,Gold World,gold-world,cc-bnl-gold-world,cc-bnl-gold-world-p1,https://utua.it/cc-bnl-gold-world-p1/,https://utua.it/cc-bnl-gold-world-p1/,https://utua.it/cc-bnl-gold-world-p2/,cc-bnl-gold-world-p2,REC+P1,2024-03-27T09:18:04+00:00,,https://utua.it/post-sitemap1.xml
utua.it,REC,UTUA_P1,cc,bnl,Priority World,priority-world,cc-bnl-priority-world,cc-bnl-priority-world-p1,https://utua.it/cc-bnl-priority-world-p1/,https://utua.it/cc-bnl-priority-world-p1/,https://utua.it/cc-bnl-priority-world-p2/,cc-bnl-priority-world-p2,REC+P1,2024-03-27T10:31:46+00:00,,https://utua.it/post-sitemap1.xml
