domain,article_type,source_domain_stage,country,vertical,product_guess,product_slug,pair_key,slug,url,reference_rec_url,reference_p1_url,reference_p1_slug,reference_pair_status,lastmod,image_urls,source_sitemap
utua.lv,REC,UTUA_P1,al,emp,Bkt Eco Loan,bkt-eco-loan,al-emp-bkt-eco-loan,al-emp-bkt-eco-loan-p1,https://utua.lv/al-emp-bkt-eco-loan-p1/,https://utua.lv/al-emp-bkt-eco-loan-p1/,https://utua.lv/al-emp-bkt-eco-loan-p2/,al-emp-bkt-eco-loan-p2,REC+P1,2025-06-10T15:23:37+00:00,,https://utua.lv/post-sitemap2.xml
utua.lv,REC,UTUA_P1,al,emp,Bkt Emigrant Loan,bkt-emigrant-loan,al-emp-bkt-emigrant-loan,al-emp-bkt-emigrant-loan-p1,https://utua.lv/al-emp-bkt-emigrant-loan-p1/,https://utua.lv/al-emp-bkt-emigrant-loan-p1/,https://utua.lv/al-emp-bkt-emigrant-loan-p2/,al-emp-bkt-emigrant-loan-p2,REC+P1,2025-06-10T17:24:26+00:00,,https://utua.lv/post-sitemap2.xml
utua.lv,REC,UTUA_P1,al,emp,Bkt Home Equity Loan,bkt-home-equity-loan,al-emp-bkt-home-equity-loan,al-emp-bkt-home-equity-loan-p1,https://utua.lv/al-emp-bkt-home-equity-loan-p1/,https://utua.lv/al-emp-bkt-home-equity-loan-p1/,https://utua.lv/al-emp-bkt-home-equity-loan-p2/,al-emp-bkt-home-equity-loan-p2,REC+P1,2025-05-02T12:57:39+00:00,,https://utua.lv/post-sitemap3.xml
utua.lv,REC,UTUA_P1,al,emp,Bkt Overdraft,bkt-overdraft,al-emp-bkt-overdraft,al-emp-bkt-overdraft-p1,https://utua.lv/al-emp-bkt-overdraft-p1/,https://utua.lv/al-emp-bkt-overdraft-p1/,https://utua.lv/al-emp-bkt-overdraft-p2/,al-emp-bkt-overdraft-p2,REC+P1,2025-06-18T18:34:03+00:00,,https://utua.lv/post-sitemap1.xml
utua.lv,REC,UTUA_P1,al,emp,Bkt Pensioner Loan,bkt-pensioner-loan,al-emp-bkt-pensioner-loan,al-emp-bkt-pensioner-loan-p1,https://utua.lv/al-emp-bkt-pensioner-loan-p1/,https://utua.lv/al-emp-bkt-pensioner-loan-p1/,https://utua.lv/al-emp-bkt-pensioner-loan-p2/,al-emp-bkt-pensioner-loan-p2,REC+P1,2025-05-02T12:56:58+00:00,,https://utua.lv/post-sitemap3.xml
utua.lv,REC,UTUA_P1,al,emp,Bkt Super Loan,bkt-super-loan,al-emp-bkt-super-loan,al-emp-bkt-super-loan-p1,https://utua.lv/al-emp-bkt-super-loan-p1/,https://utua.lv/al-emp-bkt-super-loan-p1/,https://utua.lv/al-emp-bkt-super-loan-p2/,al-emp-bkt-super-loan-p2,REC+P1,2025-04-09T20:06:59+00:00,,https://utua.lv/post-sitemap4.xml
utua.lv,REC,UTUA_P1,al,emp,Credins Bank Consumer Loan,credins-bank-consumer-loan,al-emp-credins-bank-consumer-loan,al-emp-credins-bank-consumer-loan-p1,https://utua.lv/al-emp-credins-bank-consumer-loan-p1/,https://utua.lv/al-emp-credins-bank-consumer-loan-p1/,https://utua.lv/al-emp-credins-bank-consumer-loan-p2/,al-emp-credins-bank-consumer-loan-p2,REC+P1,2025-04-09T19:38:44+00:00,,https://utua.lv/post-sitemap4.xml
utua.lv,REC,UTUA_P1,al,emp,Credins Bank Leasing,credins-bank-leasing,al-emp-credins-bank-leasing,al-emp-credins-bank-leasing-p1,https://utua.lv/al-emp-credins-bank-leasing-p1/,https://utua.lv/al-emp-credins-bank-leasing-p1/,https://utua.lv/al-emp-credins-bank-leasing-p2/,al-emp-credins-bank-leasing-p2,REC+P1,2025-05-15T18:40:29+00:00,,https://utua.lv/post-sitemap3.xml
utua.lv,REC,UTUA_P1,al,emp,Credins Bank Mortgage Loan,credins-bank-mortgage-loan,al-emp-credins-bank-mortgage-loan,al-emp-credins-bank-mortgage-loan-p1,https://utua.lv/al-emp-credins-bank-mortgage-loan-p1/,https://utua.lv/al-emp-credins-bank-mortgage-loan-p1/,https://utua.lv/al-emp-credins-bank-mortgage-loan-p2/,al-emp-credins-bank-mortgage-loan-p2,REC+P1,2025-05-15T18:03:26+00:00,,https://utua.lv/post-sitemap3.xml
utua.lv,REC,UTUA_P1,al,emp,Credins Bank Overdraft,credins-bank-overdraft,al-emp-credins-bank-overdraft,al-emp-credins-bank-overdraft-p1,https://utua.lv/al-emp-credins-bank-overdraft-p1/,https://utua.lv/al-emp-credins-bank-overdraft-p1/,https://utua.lv/al-emp-credins-bank-overdraft-p2/,al-emp-credins-bank-overdraft-p2,REC+P1,2025-05-15T18:24:26+00:00,,https://utua.lv/post-sitemap3.xml
utua.lv,REC,UTUA_P1,al,emp,Intesa Auto Leasing,intesa-auto-leasing,al-emp-intesa-auto-leasing,al-emp-intesa-auto-leasing-p1,https://utua.lv/al-emp-intesa-auto-leasing-p1/,https://utua.lv/al-emp-intesa-auto-leasing-p1/,https://utua.lv/al-emp-intesa-auto-leasing-p2/,al-emp-intesa-auto-leasing-p2,REC+P1,2025-06-10T18:36:48+00:00,,https://utua.lv/post-sitemap2.xml
utua.lv,REC,UTUA_P1,al,emp,Intesa Fast Personal Loan,intesa-fast-personal-loan,al-emp-intesa-fast-personal-loan,al-emp-intesa-fast-personal-loan-p1,https://utua.lv/al-emp-intesa-fast-personal-loan-p1/,https://utua.lv/al-emp-intesa-fast-personal-loan-p1/,https://utua.lv/al-emp-intesa-fast-personal-loan-p2/,al-emp-intesa-fast-personal-loan-p2,REC+P1,2025-04-19T14:36:14+00:00,,https://utua.lv/post-sitemap4.xml
utua.lv,REC,UTUA_P1,al,emp,Intesa Overdraft,intesa-overdraft,al-emp-intesa-overdraft,al-emp-intesa-overdraft-p1,https://utua.lv/al-emp-intesa-overdraft-p1/,https://utua.lv/al-emp-intesa-overdraft-p1/,https://utua.lv/al-emp-intesa-overdraft-p2/,al-emp-intesa-overdraft-p2,REC+P1,2025-06-10T19:02:57+00:00,,https://utua.lv/post-sitemap2.xml
utua.lv,REC,UTUA_P1,al,emp,Intesa Sanpaolo Bank Car Loan,intesa-sanpaolo-bank-car-loan,al-emp-intesa-sanpaolo-bank-car-loan,al-emp-intesa-sanpaolo-bank-car-loan-p1,https://utua.lv/al-emp-intesa-sanpaolo-bank-car-loan-p1/,https://utua.lv/al-emp-intesa-sanpaolo-bank-car-loan-p1/,https://utua.lv/al-emp-intesa-sanpaolo-bank-car-loan-p2/,al-emp-intesa-sanpaolo-bank-car-loan-p2,REC+P1,2025-05-02T12:36:26+00:00,,https://utua.lv/post-sitemap3.xml
utua.lv,REC,UTUA_P1,al,emp,Intesa Student Loan,intesa-student-loan,al-emp-intesa-student-loan,al-emp-intesa-student-loan-p1,https://utua.lv/al-emp-intesa-student-loan-p1/,https://utua.lv/al-emp-intesa-student-loan-p1/,https://utua.lv/al-emp-intesa-student-loan-p2/,al-emp-intesa-student-loan-p2,REC+P1,2025-06-10T17:46:36+00:00,,https://utua.lv/post-sitemap2.xml
utua.lv,REC,UTUA_P1,al,emp,Iute Kredi Konsumatore,iute-kredi-konsumatore,al-emp-iute-kredi-konsumatore,al-emp-iute-kredi-konsumatore-p1,https://utua.lv/al-emp-iute-kredi-konsumatore-p1/,https://utua.lv/al-emp-iute-kredi-konsumatore-p1/,https://utua.lv/al-emp-iute-kredi-konsumatore-p2/,al-emp-iute-kredi-konsumatore-p2,REC+P1,2025-05-21T17:45:30+00:00,,https://utua.lv/post-sitemap3.xml
