domain,article_type,source_domain_stage,country,vertical,product_guess,product_slug,pair_key,slug,url,reference_rec_url,reference_p1_url,reference_p1_slug,reference_pair_status,lastmod,image_urls,source_sitemap
utua.pe,REC,UTUA_P1,cc,banbif,Visa Signature,visa-signature,cc-banbif-visa-signature,cc-banbif-visa-signature-p1,https://utua.pe/cc-banbif-visa-signature-p1/,https://utua.pe/cc-banbif-visa-signature-p1/,https://utua.pe/cc-banbif-visa-signature-p2/,cc-banbif-visa-signature-p2,REC+P1,2024-05-08T13:44:43+00:00,,https://utua.pe/post-sitemap.xml
utua.pe,REC,UTUA_P1,cc,bancom,Visa Clasica,visa-clasica,cc-bancom-visa-clasica,cc-bancom-visa-clasica-p1,https://utua.pe/cc-bancom-visa-clasica-p1/,https://utua.pe/cc-bancom-visa-clasica-p1/,https://utua.pe/cc-bancom-visa-clasica-p2/,cc-bancom-visa-clasica-p2,REC+P1,2024-05-07T22:01:50+00:00,,https://utua.pe/post-sitemap.xml
utua.pe,REC,UTUA_P1,cc,bbva,Mastercard Black,mastercard-black,cc-bbva-mastercard-black,cc-bbva-mastercard-black-p1,https://utua.pe/cc-bbva-mastercard-black-p1/,https://utua.pe/cc-bbva-mastercard-black-p1/,https://utua.pe/cc-bbva-mastercard-black-p2/,cc-bbva-mastercard-black-p2,REC+P1,2024-05-07T21:03:06+00:00,,https://utua.pe/post-sitemap.xml
utua.pe,REC,UTUA_P1,cc,bbva,Visa Bfree,visa-bfree,cc-bbva-visa-bfree,cc-bbva-visa-bfree-p1,https://utua.pe/cc-bbva-visa-bfree-p1/,https://utua.pe/cc-bbva-visa-bfree-p1/,https://utua.pe/cc-bbva-visa-bfree-p2/,cc-bbva-visa-bfree-p2,REC+P1,2024-05-07T21:10:46+00:00,,https://utua.pe/post-sitemap.xml
utua.pe,REC,UTUA_P1,cc,bbva,Visa Cero,visa-cero,cc-bbva-visa-cero,cc-bbva-visa-cero-p1,https://utua.pe/cc-bbva-visa-cero-p1/,https://utua.pe/cc-bbva-visa-cero-p1/,https://utua.pe/cc-bbva-visa-cero-p2/,cc-bbva-visa-cero-p2,REC+P1,2024-05-07T20:48:34+00:00,,https://utua.pe/post-sitemap.xml
utua.pe,REC,UTUA_P1,cc,bbva,Visa Infinite,visa-infinite,cc-bbva-visa-infinite,cc-bbva-visa-infinite-p1,https://utua.pe/cc-bbva-visa-infinite-p1/,https://utua.pe/cc-bbva-visa-infinite-p1/,https://utua.pe/cc-bbva-visa-infinite-p2/,cc-bbva-visa-infinite-p2,REC+P1,2024-05-07T21:17:27+00:00,,https://utua.pe/post-sitemap.xml
utua.pe,REC,UTUA_P1,cc,bbva,Visa Platinum,visa-platinum,cc-bbva-visa-platinum,cc-bbva-visa-platinum-p1,https://utua.pe/cc-bbva-visa-platinum-p1/,https://utua.pe/cc-bbva-visa-platinum-p1/,https://utua.pe/cc-bbva-visa-platinum-p2/,cc-bbva-visa-platinum-p2,REC+P1,2024-05-08T13:01:49+00:00,,https://utua.pe/post-sitemap.xml
utua.pe,REC,UTUA_P1,cc,bbva,Visa Signature,visa-signature,cc-bbva-visa-signature,cc-bbva-visa-signature-p1,https://utua.pe/cc-bbva-visa-signature-p1/,https://utua.pe/cc-bbva-visa-signature-p1/,https://utua.pe/cc-bbva-visa-signature-p2/,cc-bbva-visa-signature-p2,REC+P1,2024-05-07T20:50:42+00:00,,https://utua.pe/post-sitemap.xml
utua.pe,REC,UTUA_P1,cc,bcp,Visa Clasica Latam,visa-clasica-latam,cc-bcp-visa-clasica-latam,cc-bcp-visa-clasica-latam-p1,https://utua.pe/cc-bcp-visa-clasica-latam-p1/,https://utua.pe/cc-bcp-visa-clasica-latam-p1/,https://utua.pe/cc-bcp-visa-clasica-latam-p2/,cc-bcp-visa-clasica-latam-p2,REC+P1,2024-05-08T13:49:04+00:00,,https://utua.pe/post-sitemap.xml
utua.pe,REC,UTUA_P1,cc,bcp,Visa Light,visa-light,cc-bcp-visa-light,cc-bcp-visa-light-p1,https://utua.pe/cc-bcp-visa-light-p1/,https://utua.pe/cc-bcp-visa-light-p1/,https://utua.pe/cc-bcp-visa-light-p2/,cc-bcp-visa-light-p2,REC+P1,2024-05-07T21:46:20+00:00,,https://utua.pe/post-sitemap.xml
utua.pe,REC,UTUA_P1,cc,cencosud,Scotiabank,scotiabank,cc-cencosud-scotiabank,cc-cencosud-scotiabank-p1,https://utua.pe/cc-cencosud-scotiabank-p1/,https://utua.pe/cc-cencosud-scotiabank-p1/,https://utua.pe/cc-cencosud-scotiabank-p2/,cc-cencosud-scotiabank-p2,REC+P1,2024-05-08T14:07:55+00:00,,https://utua.pe/post-sitemap.xml
utua.pe,REC,UTUA_P1,cc,cmr,Visa Basica,visa-basica,cc-cmr-visa-basica,cc-cmr-visa-basica-p1,https://utua.pe/cc-cmr-visa-basica-p1/,https://utua.pe/cc-cmr-visa-basica-p1/,https://utua.pe/cc-cmr-visa-basica-p2/,cc-cmr-visa-basica-p2,REC+P1,2024-05-08T14:15:52+00:00,,https://utua.pe/post-sitemap.xml
