domain,article_type,source_domain_stage,country,vertical,product_guess,product_slug,pair_key,slug,url,reference_rec_url,reference_p1_url,reference_p1_slug,reference_pair_status,lastmod,image_urls,source_sitemap
utua.pk,REC,UTUA_P1,cc,alfalah,Mastercard Optimus,mastercard-optimus,cc-alfalah-mastercard-optimus,cc-alfalah-mastercard-optimus-p1,https://utua.pk/cc-alfalah-mastercard-optimus-p1/,https://utua.pk/cc-alfalah-mastercard-optimus-p1/,https://utua.pk/cc-alfalah-mastercard-optimus-p2/,cc-alfalah-mastercard-optimus-p2,REC+P1,2024-05-07T16:37:58+00:00,,https://utua.pk/post-sitemap.xml
utua.pk,REC,UTUA_P1,cc,alfalah,Visa Classic,visa-classic,cc-alfalah-visa-classic,cc-alfalah-visa-classic-p1,https://utua.pk/cc-alfalah-visa-classic-p1/,https://utua.pk/cc-alfalah-visa-classic-p1/,https://utua.pk/cc-alfalah-visa-classic-p2/,cc-alfalah-visa-classic-p2,REC+P1,2024-05-07T16:28:01+00:00,,https://utua.pk/post-sitemap.xml
utua.pk,REC,UTUA_P1,cc,alfalah,Visa Platinum,visa-platinum,cc-alfalah-visa-platinum,cc-alfalah-visa-platinum-p1,https://utua.pk/cc-alfalah-visa-platinum-p1/,https://utua.pk/cc-alfalah-visa-platinum-p1/,https://utua.pk/cc-alfalah-visa-platinum-p2/,cc-alfalah-visa-platinum-p2,REC+P1,2024-05-07T16:36:47+00:00,,https://utua.pk/post-sitemap.xml
utua.pk,REC,UTUA_P1,cc,sc,Easy Credit,easy-credit,cc-sc-easy-credit,cc-sc-easy-credit-p1,https://utua.pk/cc-sc-easy-credit-p1/,https://utua.pk/cc-sc-easy-credit-p1/,https://utua.pk/cc-sc-easy-credit-p2/,cc-sc-easy-credit-p2,REC+P1,2024-05-07T16:24:34+00:00,,https://utua.pk/post-sitemap.xml
utua.pk,REC,UTUA_P1,cc,sc,Mastercard Platinum Credit,mastercard-platinum-credit,cc-sc-mastercard-platinum-credit,cc-sc-mastercard-platinum-credit-p1,https://utua.pk/cc-sc-mastercard-platinum-credit-p1/,https://utua.pk/cc-sc-mastercard-platinum-credit-p1/,https://utua.pk/cc-sc-mastercard-platinum-credit-p2/,cc-sc-mastercard-platinum-credit-p2,REC+P1,2024-05-07T16:04:31+00:00,,https://utua.pk/post-sitemap.xml
utua.pk,REC,UTUA_P1,cc,sc,Mastercard World Credit,mastercard-world-credit,cc-sc-mastercard-world-credit,cc-sc-mastercard-world-credit-p1,https://utua.pk/cc-sc-mastercard-world-credit-p1/,https://utua.pk/cc-sc-mastercard-world-credit-p1/,https://utua.pk/cc-sc-mastercard-world-credit-p2/,cc-sc-mastercard-world-credit-p2,REC+P1,2024-05-07T16:26:05+00:00,,https://utua.pk/post-sitemap.xml
utua.pk,REC,UTUA_P1,cc,sc,Saadiq Platinum Credit,saadiq-platinum-credit,cc-sc-saadiq-platinum-credit,cc-sc-saadiq-platinum-credit-p1,https://utua.pk/cc-sc-saadiq-platinum-credit-p1/,https://utua.pk/cc-sc-saadiq-platinum-credit-p1/,https://utua.pk/cc-sc-saadiq-platinum-credit-p2/,cc-sc-saadiq-platinum-credit-p2,REC+P1,2024-05-07T16:01:06+00:00,,https://utua.pk/post-sitemap.xml
utua.pk,REC,UTUA_P1,emp,advans,Gold Loan,gold-loan,emp-advans-gold-loan,emp-advans-gold-loan-p1,https://utua.pk/emp-advans-gold-loan-p1/,https://utua.pk/emp-advans-gold-loan-p1/,https://utua.pk/emp-advans-gold-loan-p2/,emp-advans-gold-loan-p2,REC+P1,2024-05-13T13:24:49+00:00,,https://utua.pk/post-sitemap.xml
utua.pk,REC,UTUA_P1,emp,al,Habib Housing Finance,habib-housing-finance,emp-al-habib-housing-finance,emp-al-habib-housing-finance-p1,https://utua.pk/emp-al-habib-housing-finance-p1/,https://utua.pk/emp-al-habib-housing-finance-p1/,https://utua.pk/emp-al-habib-housing-finance-p2/,emp-al-habib-housing-finance-p2,REC+P1,2024-02-19T22:29:09+00:00,,https://utua.pk/post-sitemap.xml
utua.pk,REC,UTUA_P1,emp,al,Habib Low Cost,habib-low-cost,emp-al-habib-low-cost,emp-al-habib-low-cost-p1,https://utua.pk/emp-al-habib-low-cost-p1/,https://utua.pk/emp-al-habib-low-cost-p1/,https://utua.pk/emp-al-habib-low-cost-p2/,emp-al-habib-low-cost-p2,REC+P1,2024-02-01T22:03:44+00:00,,https://utua.pk/post-sitemap.xml
utua.pk,REC,UTUA_P1,emp,allied,Bank Car,bank-car,emp-allied-bank-car,emp-allied-bank-car-p1,https://utua.pk/emp-allied-bank-car-p1/,https://utua.pk/emp-allied-bank-car-p1/,https://utua.pk/emp-allied-bank-car-p2/,emp-allied-bank-car-p2,REC+P1,2024-05-13T12:44:36+00:00,,https://utua.pk/post-sitemap.xml
utua.pk,REC,UTUA_P1,emp,allied,Personal Loan,personal-loan,emp-allied-personal-loan,emp-allied-personal-loan-p1,https://utua.pk/emp-allied-personal-loan-p1/,https://utua.pk/emp-allied-personal-loan-p1/,https://utua.pk/emp-allied-personal-loan-p2/,emp-allied-personal-loan-p2,REC+P1,2024-05-13T12:39:47+00:00,,https://utua.pk/post-sitemap.xml
utua.pk,REC,UTUA_P1,emp,ask,4 Car Loan,4-car-loan,emp-ask-4-car-loan,emp-ask-4-car-loan-p1,https://utua.pk/emp-ask-4-car-loan-p1/,https://utua.pk/emp-ask-4-car-loan-p1/,https://utua.pk/emp-ask-4-car-loan-p2/,emp-ask-4-car-loan-p2,REC+P1,2024-02-23T22:05:17+00:00,,https://utua.pk/post-sitemap.xml
utua.pk,REC,UTUA_P1,emp,askari,Education Loan,education-loan,emp-askari-education-loan,emp-askari-education-loan-p1,https://utua.pk/emp-askari-education-loan-p1/,https://utua.pk/emp-askari-education-loan-p1/,https://utua.pk/emp-askari-education-loan-p2/,emp-askari-education-loan-p2,REC+P1,2024-02-23T21:34:56+00:00,,https://utua.pk/post-sitemap.xml
utua.pk,REC,UTUA_P1,emp,askari,Personal Finance,personal-finance,emp-askari-personal-finance,emp-askari-personal-finance-p1,https://utua.pk/emp-askari-personal-finance-p1/,https://utua.pk/emp-askari-personal-finance-p1/,https://utua.pk/emp-askari-personal-finance-p2/,emp-askari-personal-finance-p2,REC+P1,2024-02-23T20:51:43+00:00,,https://utua.pk/post-sitemap.xml
utua.pk,REC,UTUA_P1,emp,bankalfalah,Auto Loan,auto-loan,emp-bankalfalah-auto-loan,emp-bankalfalah-auto-loan-p1,https://utua.pk/emp-bankalfalah-auto-loan-p1/,https://utua.pk/emp-bankalfalah-auto-loan-p1/,https://utua.pk/emp-bankalfalah-auto-loan-p2/,emp-bankalfalah-auto-loan-p2,REC+P1,2024-05-13T13:05:03+00:00,,https://utua.pk/post-sitemap.xml
utua.pk,REC,UTUA_P1,emp,finca,House Loan,house-loan,emp-finca-house-loan,emp-finca-house-loan-p1,https://utua.pk/emp-finca-house-loan-p1/,https://utua.pk/emp-finca-house-loan-p1/,https://utua.pk/emp-finca-house-loan-p2/,emp-finca-house-loan-p2,REC+P1,2024-05-13T13:29:02+00:00,,https://utua.pk/post-sitemap.xml
utua.pk,REC,UTUA_P1,emp,habib,Metro Car,metro-car,emp-habib-metro-car,emp-habib-metro-car-p1,https://utua.pk/emp-habib-metro-car-p1/,https://utua.pk/emp-habib-metro-car-p1/,https://utua.pk/emp-habib-metro-car-p2/,emp-habib-metro-car-p2,REC+P1,2024-02-01T21:20:02+00:00,,https://utua.pk/post-sitemap.xml
utua.pk,REC,UTUA_P1,emp,hbl,Car Loan,car-loan,emp-hbl-car-loan,emp-hbl-car-loan-p1,https://utua.pk/emp-hbl-car-loan-p1/,https://utua.pk/emp-hbl-car-loan-p1/,https://utua.pk/emp-hbl-car-loan-p2/,emp-hbl-car-loan-p2,REC+P1,2024-02-01T21:50:07+00:00,,https://utua.pk/post-sitemap.xml
utua.pk,REC,UTUA_P1,emp,hbl,Personal Loan,personal-loan,emp-hbl-personal-loan,emp-hbl-personal-loan-p1,https://utua.pk/emp-hbl-personal-loan-p1/,https://utua.pk/emp-hbl-personal-loan-p1/,https://utua.pk/emp-hbl-personal-loan-p2/,emp-hbl-personal-loan-p2,REC+P1,2024-05-13T14:00:55+00:00,,https://utua.pk/post-sitemap.xml
utua.pk,REC,UTUA_P1,emp,mcb,Business Loan,business-loan,emp-mcb-business-loan,emp-mcb-business-loan-p1,https://utua.pk/emp-mcb-business-loan-p1/,https://utua.pk/emp-mcb-business-loan-p1/,https://utua.pk/emp-mcb-business-loan-p2/,emp-mcb-business-loan-p2,REC+P1,2024-02-01T21:25:37+00:00,,https://utua.pk/post-sitemap.xml
utua.pk,REC,UTUA_P1,emp,mcb,Cash 4 Cash,cash-4-cash,emp-mcb-cash-4-cash,emp-mcb-cash-4-cash-p1,https://utua.pk/emp-mcb-cash-4-cash-p1/,https://utua.pk/emp-mcb-cash-4-cash-p1/,https://utua.pk/emp-mcb-cash-4-cash-p2/,emp-mcb-cash-4-cash-p2,REC+P1,2024-05-13T13:59:32+00:00,,https://utua.pk/post-sitemap.xml
