domain,article_type,source_domain_stage,country,vertical,product_guess,product_slug,pair_key,slug,url,reference_rec_url,reference_p1_url,reference_p1_slug,reference_pair_status,lastmod,image_urls,source_sitemap
utua.pl,REC,UTUA_P1,cc,alior,Bank Mastercard Ok,bank-mastercard-ok,cc-alior-bank-mastercard-ok,cc-alior-bank-mastercard-ok-p1,https://utua.pl/cc-alior-bank-mastercard-ok-p1/,https://utua.pl/cc-alior-bank-mastercard-ok-p1/,,,REC_only,2026-05-04T19:37:26+00:00,,https://utua.pl/post-sitemap1.xml
utua.pl,REC,UTUA_P1,cc,alior,Bank Mastercard Tu I Tam,bank-mastercard-tu-i-tam,cc-alior-bank-mastercard-tu-i-tam,cc-alior-bank-mastercard-tu-i-tam-p1,https://utua.pl/cc-alior-bank-mastercard-tu-i-tam-p1/,https://utua.pl/cc-alior-bank-mastercard-tu-i-tam-p1/,,,REC_only,2026-05-04T17:57:20+00:00,,https://utua.pl/post-sitemap1.xml
utua.pl,REC,UTUA_P1,cc,bnp,Mastercard Gold,mastercard-gold,cc-bnp-mastercard-gold,cc-bnp-mastercard-gold-p1,https://utua.pl/cc-bnp-mastercard-gold-p1/,https://utua.pl/cc-bnp-mastercard-gold-p1/,https://utua.pl/cc-bnp-mastercard-gold-p2/,cc-bnp-mastercard-gold-p2,REC+P1,2024-04-30T17:45:20+00:00,,https://utua.pl/post-sitemap2.xml
utua.pl,REC,UTUA_P1,cc,bnp,Mastercard Standard Card,mastercard-standard-card,cc-bnp-mastercard-standard-card,cc-bnp-mastercard-standard-card-p1,https://utua.pl/cc-bnp-mastercard-standard-card-p1/,https://utua.pl/cc-bnp-mastercard-standard-card-p1/,https://utua.pl/cc-bnp-mastercard-standard-card-p2/,cc-bnp-mastercard-standard-card-p2,REC+P1,2024-04-30T16:51:48+00:00,,https://utua.pl/post-sitemap2.xml
utua.pl,REC,UTUA_P1,cc,bnp,Visa Platinum,visa-platinum,cc-bnp-visa-platinum,cc-bnp-visa-platinum-p1,https://utua.pl/cc-bnp-visa-platinum-p1/,https://utua.pl/cc-bnp-visa-platinum-p1/,https://utua.pl/cc-bnp-visa-platinum-p2/,cc-bnp-visa-platinum-p2,REC+P1,2024-04-29T19:45:06+00:00,,https://utua.pl/post-sitemap2.xml
utua.pl,REC,UTUA_P1,cc,bnp,Visa Tennis Card,visa-tennis-card,cc-bnp-visa-tennis-card,cc-bnp-visa-tennis-card-p1,https://utua.pl/cc-bnp-visa-tennis-card-p1/,https://utua.pl/cc-bnp-visa-tennis-card-p1/,https://utua.pl/cc-bnp-visa-tennis-card-p2/,cc-bnp-visa-tennis-card-p2,REC+P1,2024-04-29T19:05:46+00:00,,https://utua.pl/post-sitemap2.xml
utua.pl,REC,UTUA_P1,cc,citi,Simplicity Citibank,simplicity-citibank,cc-citi-simplicity-citibank,cc-citi-simplicity-citibank-p1,https://utua.pl/cc-citi-simplicity-citibank-p1/,https://utua.pl/cc-citi-simplicity-citibank-p1/,,,REC_only,2026-05-03T14:41:30+00:00,,https://utua.pl/post-sitemap1.xml
utua.pl,REC,UTUA_P1,cc,citibank,World Mastercard,world-mastercard,cc-citibank-world-mastercard,cc-citibank-world-mastercard-p1,https://utua.pl/cc-citibank-world-mastercard-p1/,https://utua.pl/cc-citibank-world-mastercard-p1/,,,REC_only,2026-05-04T17:02:18+00:00,,https://utua.pl/post-sitemap1.xml
utua.pl,REC,UTUA_P1,cc,curve,Fintech,fintech,cc-curve-fintech,cc-curve-fintech-p1,https://utua.pl/cc-curve-fintech-p1/,https://utua.pl/cc-curve-fintech-p1/,https://utua.pl/cc-curve-fintech-p2/,cc-curve-fintech-p2,REC+P1,2024-07-09T20:44:15+00:00,,https://utua.pl/post-sitemap2.xml
utua.pl,REC,UTUA_P1,cc,fairfx,Mastercard,mastercard,cc-fairfx-mastercard,cc-fairfx-mastercard-p1,https://utua.pl/cc-fairfx-mastercard-p1/,https://utua.pl/cc-fairfx-mastercard-p1/,,,REC_only,2026-05-04T14:01:35+00:00,,https://utua.pl/post-sitemap1.xml
utua.pl,REC,UTUA_P1,cc,ing,Contactless Visa Debit Card,contactless-visa-debit-card,cc-ing-contactless-visa-debit-card,cc-ing-contactless-visa-debit-card-p1,https://utua.pl/cc-ing-contactless-visa-debit-card-p1/,https://utua.pl/cc-ing-contactless-visa-debit-card-p1/,,,REC_only,2026-04-28T19:07:42+00:00,,https://utua.pl/post-sitemap1.xml
utua.pl,REC,UTUA_P1,cc,ing,Mastercard,mastercard,cc-ing-mastercard,cc-ing-mastercard-p1,https://utua.pl/cc-ing-mastercard-p1/,https://utua.pl/cc-ing-mastercard-p1/,https://utua.pl/cc-ing-mastercard-p2/,cc-ing-mastercard-p2,REC+P1,2024-04-18T20:04:55+00:00,,https://utua.pl/post-sitemap2.xml
utua.pl,REC,UTUA_P1,cc,ing,Prepaid Mastercard,prepaid-mastercard,cc-ing-prepaid-mastercard,cc-ing-prepaid-mastercard-p1,https://utua.pl/cc-ing-prepaid-mastercard-p1/,https://utua.pl/cc-ing-prepaid-mastercard-p1/,https://utua.pl/cc-ing-prepaid-mastercard-p2/,cc-ing-prepaid-mastercard-p2,REC+P1,2026-05-12T21:23:59+00:00,,https://utua.pl/post-sitemap1.xml
utua.pl,REC,UTUA_P1,cc,ing,Visa,visa,cc-ing-visa,cc-ing-visa-p1,https://utua.pl/cc-ing-visa-p1/,https://utua.pl/cc-ing-visa-p1/,https://utua.pl/cc-ing-visa-p2/,cc-ing-visa-p2,REC+P1,2024-06-06T22:26:59+00:00,,https://utua.pl/post-sitemap2.xml
utua.pl,REC,UTUA_P1,cc,ing,Visa Gold,visa-gold,cc-ing-visa-gold,cc-ing-visa-gold-p1,https://utua.pl/cc-ing-visa-gold-p1/,https://utua.pl/cc-ing-visa-gold-p1/,,,REC_only,2026-04-30T19:07:54+00:00,,https://utua.pl/post-sitemap1.xml
utua.pl,REC,UTUA_P1,cc,karta,Debetowa Erste,debetowa-erste,cc-karta-debetowa-erste,cc-karta-debetowa-erste-p1,https://utua.pl/cc-karta-debetowa-erste-p1/,https://utua.pl/cc-karta-debetowa-erste-p1/,,,REC_only,2026-05-12T19:32:53+00:00,,https://utua.pl/post-sitemap1.xml
utua.pl,REC,UTUA_P1,cc,karta,Kredytowa Axi,kredytowa-axi,cc-karta-kredytowa-axi,cc-karta-kredytowa-axi-p1,https://utua.pl/cc-karta-kredytowa-axi-p1/,https://utua.pl/cc-karta-kredytowa-axi-p1/,https://utua.pl/cc-karta-kredytowa-axi-p2/,cc-karta-kredytowa-axi-p2,REC+P1,2026-05-04T16:19:03+00:00,,https://utua.pl/post-sitemap1.xml
utua.pl,REC,UTUA_P1,cc,karta,Kredytowa Mastercard,kredytowa-mastercard,cc-karta-kredytowa-mastercard,cc-karta-kredytowa-mastercard-p1,https://utua.pl/cc-karta-kredytowa-mastercard-p1/,https://utua.pl/cc-karta-kredytowa-mastercard-p1/,,,REC_only,2026-04-30T20:15:40+00:00,,https://utua.pl/post-sitemap1.xml
utua.pl,REC,UTUA_P1,cc,karta,Kredytowa Silver Erste,kredytowa-silver-erste,cc-karta-kredytowa-silver-erste,cc-karta-kredytowa-silver-erste-p1,https://utua.pl/cc-karta-kredytowa-silver-erste-p1/,https://utua.pl/cc-karta-kredytowa-silver-erste-p1/,,,REC_only,2026-05-12T19:29:41+00:00,,https://utua.pl/post-sitemap1.xml
utua.pl,REC,UTUA_P1,cc,karta,Kredytowa Visa Ing,kredytowa-visa-ing,cc-karta-kredytowa-visa-ing,cc-karta-kredytowa-visa-ing-p1,https://utua.pl/cc-karta-kredytowa-visa-ing-p1/,https://utua.pl/cc-karta-kredytowa-visa-ing-p1/,,,REC_only,2026-04-28T19:09:39+00:00,,https://utua.pl/post-sitemap1.xml
utua.pl,REC,UTUA_P1,cc,karta,Millennium Wwf,millennium-wwf,cc-karta-millennium-wwf,cc-karta-millennium-wwf-p1,https://utua.pl/cc-karta-millennium-wwf-p1/,https://utua.pl/cc-karta-millennium-wwf-p1/,,,REC_only,2026-05-05T19:18:55+00:00,,https://utua.pl/post-sitemap1.xml
utua.pl,REC,UTUA_P1,cc,karta,Visa Comfort,visa-comfort,cc-karta-visa-comfort,cc-karta-visa-comfort-p1,https://utua.pl/cc-karta-visa-comfort-p1/,https://utua.pl/cc-karta-visa-comfort-p1/,https://utua.pl/cc-karta-visa-comfort-p2/,cc-karta-visa-comfort-p2,REC+P1,2024-04-16T01:24:36+00:00,,https://utua.pl/post-sitemap2.xml
utua.pl,REC,UTUA_P1,cc,karta,World Mastercard Erste,world-mastercard-erste,cc-karta-world-mastercard-erste,cc-karta-world-mastercard-erste-p1,https://utua.pl/cc-karta-world-mastercard-erste-p1/,https://utua.pl/cc-karta-world-mastercard-erste-p1/,,,REC_only,2026-05-12T19:29:02+00:00,,https://utua.pl/post-sitemap1.xml
utua.pl,REC,UTUA_P1,cc,klarna,Pay 30 Days,pay-30-days,cc-klarna-pay-30-days,cc-klarna-pay-30-days-p1,https://utua.pl/cc-klarna-pay-30-days-p1/,https://utua.pl/cc-klarna-pay-30-days-p1/,,,REC_only,2026-05-04T18:47:46+00:00,,https://utua.pl/post-sitemap1.xml
utua.pl,REC,UTUA_P1,cc,mastercard,Impresja,impresja,cc-mastercard-impresja,cc-mastercard-impresja-p1,https://utua.pl/cc-mastercard-impresja-p1/,https://utua.pl/cc-mastercard-impresja-p1/,,,REC_only,2026-05-04T20:05:08+00:00,,https://utua.pl/post-sitemap1.xml
utua.pl,REC,UTUA_P1,cc,mbank,Basic Credit Card,basic-credit-card,cc-mbank-basic-credit-card,cc-mbank-basic-credit-card-p1,https://utua.pl/cc-mbank-basic-credit-card-p1/,https://utua.pl/cc-mbank-basic-credit-card-p1/,https://utua.pl/cc-mbank-basic-credit-card-p2/,cc-mbank-basic-credit-card-p2,REC+P1,2025-06-05T14:03:20+00:00,,https://utua.pl/post-sitemap1.xml
utua.pl,REC,UTUA_P1,cc,mbank,Debit Card,debit-card,cc-mbank-debit-card,cc-mbank-debit-card-p1,https://utua.pl/cc-mbank-debit-card-p1/,https://utua.pl/cc-mbank-debit-card-p1/,https://utua.pl/cc-mbank-debit-card-p2/,cc-mbank-debit-card-p2,REC+P1,2024-05-21T19:28:19+00:00,,https://utua.pl/post-sitemap2.xml
utua.pl,REC,UTUA_P1,cc,mbank,Ekonta,ekonta,cc-mbank-ekonta,cc-mbank-ekonta-p1,https://utua.pl/cc-mbank-ekonta-p1/,https://utua.pl/cc-mbank-ekonta-p1/,https://utua.pl/cc-mbank-ekonta-p2/,cc-mbank-ekonta-p2,REC+P1,2026-01-22T19:38:02+00:00,,https://utua.pl/post-sitemap1.xml
utua.pl,REC,UTUA_P1,cc,mbank,Visa Premium,visa-premium,cc-mbank-visa-premium,cc-mbank-visa-premium-p1,https://utua.pl/cc-mbank-visa-premium-p1/,https://utua.pl/cc-mbank-visa-premium-p1/,https://utua.pl/cc-mbank-visa-premium-p2/,cc-mbank-visa-premium-p2,REC+P1,2025-06-05T14:38:51+00:00,,https://utua.pl/post-sitemap1.xml
utua.pl,REC,UTUA_P1,cc,mbank,World Mastercard,world-mastercard,cc-mbank-world-mastercard,cc-mbank-world-mastercard-p1,https://utua.pl/cc-mbank-world-mastercard-p1/,https://utua.pl/cc-mbank-world-mastercard-p1/,https://utua.pl/cc-mbank-world-mastercard-p2/,cc-mbank-world-mastercard-p2,REC+P1,2026-01-07T22:12:56+00:00,,https://utua.pl/post-sitemap1.xml
utua.pl,REC,UTUA_P1,cc,millennium,360,360,cc-millennium-360,cc-millennium-360-p1,https://utua.pl/cc-millennium-360-p1/,https://utua.pl/cc-millennium-360-p1/,https://utua.pl/cc-millennium-360-p2/,cc-millennium-360-p2,REC+P1,2024-07-12T19:24:33+00:00,,https://utua.pl/post-sitemap2.xml
utua.pl,REC,UTUA_P1,cc,millennium,Debit Card 360,debit-card-360,cc-millennium-debit-card-360,cc-millennium-debit-card-360-p1,https://utua.pl/cc-millennium-debit-card-360-p1/,https://utua.pl/cc-millennium-debit-card-360-p1/,https://utua.pl/cc-millennium-debit-card-360-p2/,cc-millennium-debit-card-360-p2,REC+P1,2024-05-23T02:38:04+00:00,,https://utua.pl/post-sitemap2.xml
utua.pl,REC,UTUA_P1,cc,millennium,Mastercard Prepaid,mastercard-prepaid,cc-millennium-mastercard-prepaid,cc-millennium-mastercard-prepaid-p1,https://utua.pl/cc-millennium-mastercard-prepaid-p1/,https://utua.pl/cc-millennium-mastercard-prepaid-p1/,,,REC_only,2026-05-04T17:40:48+00:00,,https://utua.pl/post-sitemap1.xml
utua.pl,REC,UTUA_P1,cc,millennium,Mastercard Voyager,mastercard-voyager,cc-millennium-mastercard-voyager,cc-millennium-mastercard-voyager-p1,https://utua.pl/cc-millennium-mastercard-voyager-p1/,https://utua.pl/cc-millennium-mastercard-voyager-p1/,https://utua.pl/cc-millennium-mastercard-voyager-p2/,cc-millennium-mastercard-voyager-p2,REC+P1,2024-05-23T02:46:55+00:00,,https://utua.pl/post-sitemap2.xml
utua.pl,REC,UTUA_P1,cc,millennium,Visa Impresja,visa-impresja,cc-millennium-visa-impresja,cc-millennium-visa-impresja-p1,https://utua.pl/cc-millennium-visa-impresja-p1/,https://utua.pl/cc-millennium-visa-impresja-p1/,https://utua.pl/cc-millennium-visa-impresja-p2/,cc-millennium-visa-impresja-p2,REC+P1,2024-04-17T10:21:47+00:00,,https://utua.pl/post-sitemap2.xml
utua.pl,REC,UTUA_P1,cc,millennium,Visa Konto,visa-konto,cc-millennium-visa-konto,cc-millennium-visa-konto-p1,https://utua.pl/cc-millennium-visa-konto-p1/,https://utua.pl/cc-millennium-visa-konto-p1/,,,REC_only,2026-05-02T14:30:15+00:00,,https://utua.pl/post-sitemap1.xml
utua.pl,REC,UTUA_P1,cc,monzo,Fintech,fintech,cc-monzo-fintech,cc-monzo-fintech-p1,https://utua.pl/cc-monzo-fintech-p1/,https://utua.pl/cc-monzo-fintech-p1/,https://utua.pl/cc-monzo-fintech-p2/,cc-monzo-fintech-p2,REC+P1,2024-07-09T20:28:35+00:00,,https://utua.pl/post-sitemap2.xml
utua.pl,REC,UTUA_P1,cc,n26,Fintech,fintech,cc-n26-fintech,cc-n26-fintech-p1,https://utua.pl/cc-n26-fintech-p1/,https://utua.pl/cc-n26-fintech-p1/,https://utua.pl/cc-n26-fintech-p2/,cc-n26-fintech-p2,REC+P1,2024-07-09T20:55:10+00:00,,https://utua.pl/post-sitemap2.xml
utua.pl,REC,UTUA_P1,cc,pekao,Zubr Gold,zubr-gold,cc-pekao-zubr-gold,cc-pekao-zubr-gold-p1,https://utua.pl/cc-pekao-zubr-gold-p1/,https://utua.pl/cc-pekao-zubr-gold-p1/,https://utua.pl/cc-pekao-zubr-gold-p2/,cc-pekao-zubr-gold-p2,REC+P1,2025-02-21T14:08:55+00:00,,https://utua.pl/post-sitemap2.xml
utua.pl,REC,UTUA_P1,cc,pko,Visa Debit,visa-debit,cc-pko-visa-debit,cc-pko-visa-debit-p1,https://utua.pl/cc-pko-visa-debit-p1/,https://utua.pl/cc-pko-visa-debit-p1/,https://utua.pl/cc-pko-visa-debit-p2/,cc-pko-visa-debit-p2,REC+P1,2024-05-21T20:59:59+00:00,,https://utua.pl/post-sitemap2.xml
