domain,article_type,source_domain_stage,country,vertical,product_guess,product_slug,pair_key,slug,url,reference_rec_url,reference_p1_url,reference_p1_slug,reference_pair_status,lastmod,image_urls,source_sitemap
utua.uk,REC,UTUA_P1,cc,amex,Cashback Everyday,cashback-everyday,cc-amex-cashback-everyday,cc-amex-cashback-everyday-p1,https://utua.uk/cc-amex-cashback-everyday-p1/,https://utua.uk/cc-amex-cashback-everyday-p1/,https://utua.uk/cc-amex-cashback-everyday-p2/,cc-amex-cashback-everyday-p2,REC+P1,2025-05-05T19:25:23+00:00,,https://utua.uk/post-sitemap.xml
utua.uk,REC,UTUA_P1,cc,amex,Gold Card,gold-card,cc-amex-gold-card,cc-amex-gold-card-p1,https://utua.uk/cc-amex-gold-card-p1/,https://utua.uk/cc-amex-gold-card-p1/,https://utua.uk/cc-amex-gold-card-p2/,cc-amex-gold-card-p2,REC+P1,2025-06-19T21:13:17+00:00,,https://utua.uk/post-sitemap.xml
utua.uk,REC,UTUA_P1,cc,amex,Nectar Card,nectar-card,cc-amex-nectar-card,cc-amex-nectar-card-p1,https://utua.uk/cc-amex-nectar-card-p1/,https://utua.uk/cc-amex-nectar-card-p1/,https://utua.uk/cc-amex-nectar-card-p2/,cc-amex-nectar-card-p2,REC+P1,2025-06-19T21:19:34+00:00,,https://utua.uk/post-sitemap.xml
utua.uk,REC,UTUA_P1,cc,aqua,Classic,classic,cc-aqua-classic,cc-aqua-classic-p1,https://utua.uk/cc-aqua-classic-p1/,https://utua.uk/cc-aqua-classic-p1/,https://utua.uk/cc-aqua-classic-p2/,cc-aqua-classic-p2,REC+P1,2025-05-02T13:10:14+00:00,,https://utua.uk/post-sitemap.xml
utua.uk,REC,UTUA_P1,cc,aqua,Classic Bad Credit,classic-bad-credit,cc-aqua-classic-bad-credit,cc-aqua-classic-bad-credit-p1,https://utua.uk/cc-aqua-classic-bad-credit-p1/,https://utua.uk/cc-aqua-classic-bad-credit-p1/,https://utua.uk/cc-aqua-classic-bad-credit-p2/,cc-aqua-classic-bad-credit-p2,REC+P1,2025-05-02T13:01:38+00:00,,https://utua.uk/post-sitemap.xml
utua.uk,REC,UTUA_P1,cc,asda,Money Credit,money-credit,cc-asda-money-credit,cc-asda-money-credit-p1,https://utua.uk/cc-asda-money-credit-p1/,https://utua.uk/cc-asda-money-credit-p1/,https://utua.uk/cc-asda-money-credit-p2/,cc-asda-money-credit-p2,REC+P1,2025-06-19T21:25:41+00:00,,https://utua.uk/post-sitemap.xml
utua.uk,REC,UTUA_P1,cc,barclaycard,Avios,avios,cc-barclaycard-avios,cc-barclaycard-avios-p1,https://utua.uk/cc-barclaycard-avios-p1/,https://utua.uk/cc-barclaycard-avios-p1/,https://utua.uk/cc-barclaycard-avios-p2/,cc-barclaycard-avios-p2,REC+P1,2025-08-28T23:53:55+00:00,,https://utua.uk/post-sitemap.xml
utua.uk,REC,UTUA_P1,cc,barclaycard,Avios Plus,avios-plus,cc-barclaycard-avios-plus,cc-barclaycard-avios-plus-p1,https://utua.uk/cc-barclaycard-avios-plus-p1/,https://utua.uk/cc-barclaycard-avios-plus-p1/,https://utua.uk/cc-barclaycard-avios-plus-p2/,cc-barclaycard-avios-plus-p2,REC+P1,2025-05-01T17:42:48+00:00,,https://utua.uk/post-sitemap.xml
utua.uk,REC,UTUA_P1,cc,barclaycard,Platinum,platinum,cc-barclaycard-platinum,cc-barclaycard-platinum-p1,https://utua.uk/cc-barclaycard-platinum-p1/,https://utua.uk/cc-barclaycard-platinum-p1/,https://utua.uk/cc-barclaycard-platinum-p2/,cc-barclaycard-platinum-p2,REC+P1,2025-05-06T00:31:01+00:00,,https://utua.uk/post-sitemap.xml
utua.uk,REC,UTUA_P1,cc,barclaycard,Rewards,rewards,cc-barclaycard-rewards,cc-barclaycard-rewards-p1,https://utua.uk/cc-barclaycard-rewards-p1/,https://utua.uk/cc-barclaycard-rewards-p1/,https://utua.uk/cc-barclaycard-rewards-p2/,cc-barclaycard-rewards-p2,REC+P1,2025-05-01T17:25:51+00:00,,https://utua.uk/post-sitemap.xml
utua.uk,REC,UTUA_P1,cc,capital,One Balance Transfer,one-balance-transfer,cc-capital-one-balance-transfer,cc-capital-one-balance-transfer-p1,https://utua.uk/cc-capital-one-balance-transfer-p1/,https://utua.uk/cc-capital-one-balance-transfer-p1/,https://utua.uk/cc-capital-one-balance-transfer-p2/,cc-capital-one-balance-transfer-p2,REC+P1,2025-12-10T12:51:55+00:00,,https://utua.uk/post-sitemap.xml
utua.uk,REC,UTUA_P1,cc,capital,One Classic,one-classic,cc-capital-one-classic,cc-capital-one-classic-p1,https://utua.uk/cc-capital-one-classic-p1/,https://utua.uk/cc-capital-one-classic-p1/,https://utua.uk/cc-capital-one-classic-p2/,cc-capital-one-classic-p2,REC+P1,2025-12-10T12:50:01+00:00,,https://utua.uk/post-sitemap.xml
utua.uk,REC,UTUA_P1,cc,chase,Credit,credit,cc-chase-credit,cc-chase-credit-p1,https://utua.uk/cc-chase-credit-p1/,https://utua.uk/cc-chase-credit-p1/,https://utua.uk/cc-chase-credit-p2/,cc-chase-credit-p2,REC+P1,2025-12-12T13:39:16+00:00,,https://utua.uk/post-sitemap.xml
utua.uk,REC,UTUA_P1,cc,halifax,Clarity Credit Card,clarity-credit-card,cc-halifax-clarity-credit-card,cc-halifax-clarity-credit-card-p1,https://utua.uk/cc-halifax-clarity-credit-card-p1/,https://utua.uk/cc-halifax-clarity-credit-card-p1/,https://utua.uk/cc-halifax-clarity-credit-card-p2/,cc-halifax-clarity-credit-card-p2,REC+P1,2025-05-05T19:57:13+00:00,,https://utua.uk/post-sitemap.xml
utua.uk,REC,UTUA_P1,cc,halifax,World Elite,world-elite,cc-halifax-world-elite,cc-halifax-world-elite-p1,https://utua.uk/cc-halifax-world-elite-p1/,https://utua.uk/cc-halifax-world-elite-p1/,https://utua.uk/cc-halifax-world-elite-p2/,cc-halifax-world-elite-p2,REC+P1,2025-05-02T14:40:48+00:00,,https://utua.uk/post-sitemap.xml
utua.uk,REC,UTUA_P1,cc,hsbc,Classic Credit,classic-credit,cc-hsbc-classic-credit,cc-hsbc-classic-credit-p1,https://utua.uk/cc-hsbc-classic-credit-p1/,https://utua.uk/cc-hsbc-classic-credit-p1/,https://utua.uk/cc-hsbc-classic-credit-p2/,cc-hsbc-classic-credit-p2,REC+P1,2025-05-01T17:58:58+00:00,,https://utua.uk/post-sitemap.xml
utua.uk,REC,UTUA_P1,cc,hsbc,Debit Card,debit-card,cc-hsbc-debit-card,cc-hsbc-debit-card-p1,https://utua.uk/cc-hsbc-debit-card-p1/,https://utua.uk/cc-hsbc-debit-card-p1/,https://utua.uk/cc-hsbc-debit-card-p2/,cc-hsbc-debit-card-p2,REC+P1,2024-03-11T21:31:04+00:00,,https://utua.uk/post-sitemap.xml
utua.uk,REC,UTUA_P1,cc,hsbc,Premier World Elite,premier-world-elite,cc-hsbc-premier-world-elite,cc-hsbc-premier-world-elite-p1,https://utua.uk/cc-hsbc-premier-world-elite-p1/,https://utua.uk/cc-hsbc-premier-world-elite-p1/,https://utua.uk/cc-hsbc-premier-world-elite-p2/,cc-hsbc-premier-world-elite-p2,REC+P1,2025-05-05T18:21:25+00:00,,https://utua.uk/post-sitemap.xml
utua.uk,REC,UTUA_P1,cc,hsbc,Rewards,rewards,cc-hsbc-rewards,cc-hsbc-rewards-p1,https://utua.uk/cc-hsbc-rewards-p1/,https://utua.uk/cc-hsbc-rewards-p1/,https://utua.uk/cc-hsbc-rewards-p2/,cc-hsbc-rewards-p2,REC+P1,2025-05-01T18:03:59+00:00,,https://utua.uk/post-sitemap.xml
