domain,article_type,source_domain_stage,country,vertical,product_guess,product_slug,pair_key,slug,url,reference_rec_url,reference_p1_url,reference_p1_slug,reference_pair_status,lastmod,image_urls,source_sitemap
utua.fr,REC,UTUA_P1,cc,bforbasic,Bforbank,bforbank,cc-bforbasic-bforbank,cc-bforbasic-bforbank-p1,https://utua.fr/cc-bforbasic-bforbank-p1/,https://utua.fr/cc-bforbasic-bforbank-p1/,https://utua.fr/cc-bforbasic-bforbank-p2/,cc-bforbasic-bforbank-p2,REC+P1,2024-11-28T19:17:01+00:00,,https://utua.fr/post-sitemap.xml
utua.fr,REC,UTUA_P1,cc,carte,De Credit Bunq,de-credit-bunq,cc-carte-de-credit-bunq,cc-carte-de-credit-bunq-p1,https://utua.fr/cc-carte-de-credit-bunq-p1/,https://utua.fr/cc-carte-de-credit-bunq-p1/,https://utua.fr/cc-carte-de-credit-bunq-p2/,cc-carte-de-credit-bunq-p2,REC+P1,2024-11-28T19:14:57+00:00,,https://utua.fr/post-sitemap.xml
utua.fr,REC,UTUA_P1,cc,carte,Gold Floa,gold-floa,cc-carte-gold-floa,cc-carte-gold-floa-p1,https://utua.fr/cc-carte-gold-floa-p1/,https://utua.fr/cc-carte-gold-floa-p1/,https://utua.fr/cc-carte-gold-floa-p2/,cc-carte-gold-floa-p2,REC+P1,2024-11-28T19:10:46+00:00,,https://utua.fr/post-sitemap.xml
utua.fr,REC,UTUA_P1,cc,carte,Inventive Mastercard Lcl,inventive-mastercard-lcl,cc-carte-inventive-mastercard-lcl,cc-carte-inventive-mastercard-lcl-p1,https://utua.fr/cc-carte-inventive-mastercard-lcl-p1/,https://utua.fr/cc-carte-inventive-mastercard-lcl-p1/,https://utua.fr/cc-carte-inventive-mastercard-lcl-p2/,cc-carte-inventive-mastercard-lcl-p2,REC+P1,2026-06-09T14:16:02+00:00,,https://utua.fr/post-sitemap.xml
utua.fr,REC,UTUA_P1,cc,carte,Mastercard Autorisation,mastercard-autorisation,cc-carte-mastercard-autorisation,cc-carte-mastercard-autorisation-p1,https://utua.fr/cc-carte-mastercard-autorisation-p1/,https://utua.fr/cc-carte-mastercard-autorisation-p1/,https://utua.fr/cc-carte-mastercard-autorisation-p2/,cc-carte-mastercard-autorisation-p2,REC+P1,2024-11-28T19:12:08+00:00,,https://utua.fr/post-sitemap.xml
utua.fr,REC,UTUA_P1,cc,carte,Nickel Metal,nickel-metal,cc-carte-nickel-metal,cc-carte-nickel-metal-p1,https://utua.fr/cc-carte-nickel-metal-p1/,https://utua.fr/cc-carte-nickel-metal-p1/,https://utua.fr/cc-carte-nickel-metal-p2/,cc-carte-nickel-metal-p2,REC+P1,2024-11-12T16:59:11+00:00,,https://utua.fr/post-sitemap.xml
utua.fr,REC,UTUA_P1,cc,carte,Qonto Plus,qonto-plus,cc-carte-qonto-plus,cc-carte-qonto-plus-p1,https://utua.fr/cc-carte-qonto-plus-p1/,https://utua.fr/cc-carte-qonto-plus-p1/,https://utua.fr/cc-carte-qonto-plus-p2/,cc-carte-qonto-plus-p2,REC+P1,2024-11-28T19:15:19+00:00,,https://utua.fr/post-sitemap.xml
utua.fr,REC,UTUA_P1,cc,carte,Ultim De Boursobank,ultim-de-boursobank,cc-carte-ultim-de-boursobank,cc-carte-ultim-de-boursobank-p1,https://utua.fr/cc-carte-ultim-de-boursobank-p1/,https://utua.fr/cc-carte-ultim-de-boursobank-p1/,https://utua.fr/cc-carte-ultim-de-boursobank-p2/,cc-carte-ultim-de-boursobank-p2,REC+P1,2024-11-28T19:11:41+00:00,,https://utua.fr/post-sitemap.xml
utua.fr,REC,UTUA_P1,cc,carte,Veritas Mastercard,veritas-mastercard,cc-carte-veritas-mastercard,cc-carte-veritas-mastercard-p1,https://utua.fr/cc-carte-veritas-mastercard-p1/,https://utua.fr/cc-carte-veritas-mastercard-p1/,https://utua.fr/cc-carte-veritas-mastercard-p2/,cc-carte-veritas-mastercard-p2,REC+P1,2024-11-12T16:28:46+00:00,,https://utua.fr/post-sitemap.xml
utua.fr,REC,UTUA_P1,cc,carte,Visa Infinite Lcl,visa-infinite-lcl,cc-carte-visa-infinite-lcl,cc-carte-visa-infinite-lcl-p1,https://utua.fr/cc-carte-visa-infinite-lcl-p1/,https://utua.fr/cc-carte-visa-infinite-lcl-p1/,https://utua.fr/cc-carte-visa-infinite-lcl-p2/,cc-carte-visa-infinite-lcl-p2,REC+P1,2026-06-09T14:14:43+00:00,,https://utua.fr/post-sitemap.xml
utua.fr,REC,UTUA_P1,cc,carte,Visa Premier Lcl,visa-premier-lcl,cc-carte-visa-premier-lcl,cc-carte-visa-premier-lcl-p1,https://utua.fr/cc-carte-visa-premier-lcl-p1/,https://utua.fr/cc-carte-visa-premier-lcl-p1/,https://utua.fr/cc-carte-visa-premier-lcl-p2/,cc-carte-visa-premier-lcl-p2,REC+P1,2026-06-09T14:12:43+00:00,,https://utua.fr/post-sitemap.xml
utua.fr,REC,UTUA_P1,cc,cb,Visa,visa,cc-cb-visa,cc-cb-visa-p1,https://utua.fr/cc-cb-visa-p1/,https://utua.fr/cc-cb-visa-p1/,https://utua.fr/cc-cb-visa-p2/,cc-cb-visa-p2,REC+P1,2026-06-08T20:35:49+00:00,,https://utua.fr/post-sitemap.xml
