ts_utc,status,source_drive_id,source_filename,destination_filename,destination_folder,dest_drive_id,dest_webViewLink,bytes_clean,source_sha256,clean_sha256,clean,harmful_tags_before,harmful_tags_after,operation,country,language,vertical,format,placement_fit,angle,p_orient,created_by,requested_by,source,used_by,campaign_owner,notes,error
2026-07-07T15:52:47.197697+00:00,SKIPPED_EXISTS,1qfQd_tfztuQ9Y901iJbeZMVPKRtWgcB0,1_02  - IA - Story Financiamento(Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_001.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1eA0ozY9H2frfF-WXbiltHrodVFT-Z73k,https://drive.google.com/file/d/1eA0ozY9H2frfF-WXbiltHrodVFT-Z73k/view?usp=drivesdk,11564877,,,,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-07T15:52:47.197721+00:00,SKIPPED_EXISTS,1jKQIJNmHbXrZyjtaBdr7lijR3vy8OFy1,2_19 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_002.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1yWtKop0B3zTnXJR7yAEroiacTZiH-yBm,https://drive.google.com/file/d/1yWtKop0B3zTnXJR7yAEroiacTZiH-yBm/view?usp=drivesdk,9432735,,,,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-07T15:52:47.197727+00:00,SKIPPED_EXISTS,1ANGvu3Z6uUTinZE3nH1spDresC-1-MQV,3_13 - IA - KELLY - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_003.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1jLoVcJntX2b2xa12XmEipXHyJqEH3hSc,https://drive.google.com/file/d/1jLoVcJntX2b2xa12XmEipXHyJqEH3hSc/view?usp=drivesdk,10970265,,,,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,KELLY,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-07T15:52:47.197731+00:00,SKIPPED_EXISTS,1Lng2_SA6z2DBCRpsjanUC4zQV73tu91d,4_05 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_004.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1aJDVxn_clrx8m2lfMWePUFft1JTAyUYi,https://drive.google.com/file/d/1aJDVxn_clrx8m2lfMWePUFft1JTAyUYi/view?usp=drivesdk,12699762,,,,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-07T15:52:47.197735+00:00,SKIPPED_EXISTS,1o-GPmyNR93fKTPSiShBMoz6lyUB2AW7C,5_10 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_005.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1K3SO33PRoL3FLdjcWNEc0b2ezyAwvCKP,https://drive.google.com/file/d/1K3SO33PRoL3FLdjcWNEc0b2ezyAwvCKP/view?usp=drivesdk,10445194,,,,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-07T15:52:47.197738+00:00,SKIPPED_EXISTS,18782BlHM1UwvkZd_WyK9CV0KlqIiYAMU,6_18 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_006.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1rOW8XTp6yW1wQSxhLulRYSHeIBnmP4NN,https://drive.google.com/file/d/1rOW8XTp6yW1wQSxhLulRYSHeIBnmP4NN/view?usp=drivesdk,13298095,,,,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-07T15:52:47.197742+00:00,SKIPPED_EXISTS,1RoQOr5kU4hoc6OMiPX0pSoHXHvX7te8_,7_16 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_007.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1srhvDvav0JqrKcfySbMqJyORt7rqH5X_,https://drive.google.com/file/d/1srhvDvav0JqrKcfySbMqJyORt7rqH5X_/view?usp=drivesdk,10325929,,,,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-07T15:52:47.197745+00:00,SKIPPED_EXISTS,1d2PHfO1u_kHOfTXWrvr8o1LEx9IO9mi-,8_15 - IA - KELLY - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_008.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1uQl86lspcgXfFrZ2UILRyf_WJt3H4AFc,https://drive.google.com/file/d/1uQl86lspcgXfFrZ2UILRyf_WJt3H4AFc/view?usp=drivesdk,13405539,,,,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,KELLY,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-07T15:52:47.197748+00:00,SKIPPED_EXISTS,1gYsM0HRutHm-6QVrSai-d7tfDXS3V2DX,9_20 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_009.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1o8KhJ9bOHHv9XZ8q5UnUO3P2yasAnP1A,https://drive.google.com/file/d/1o8KhJ9bOHHv9XZ8q5UnUO3P2yasAnP1A/view?usp=drivesdk,12132106,,,,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-07T15:52:47.197760+00:00,SKIPPED_EXISTS,1oq_--OP8B6LU8f4-eiCAlIiTZKD1XsVx,10_14 - IA - KELLY - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_010.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1sjnB3Y3sPP0gfGRmoCOEak76sTn825ut,https://drive.google.com/file/d/1sjnB3Y3sPP0gfGRmoCOEak76sTn825ut/view?usp=drivesdk,11005392,,,,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,KELLY,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-07T15:52:47.197764+00:00,SKIPPED_EXISTS,1-QArCDv2b2_Mh5psnUx67Ax5C4fQD_Gr,11_01  - IA - Story Financiamento(Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_011.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1UGew6tOMI8cQBsikSqMUt7n495sHuH-G,https://drive.google.com/file/d/1UGew6tOMI8cQBsikSqMUt7n495sHuH-G/view?usp=drivesdk,12505592,,,,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
