drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,language_guess
1qfQd_tfztuQ9Y901iJbeZMVPKRtWgcB0,1_02  - IA - Story Financiamento(Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/1_02  - IA - Story Financiamento(Brasil).mp4,UPLOAD MANUAL,video/mp4,mp4,VID,11568470,1080,1920,9:16,STORY,15066,1a8397cc0df480294755f5ed70fb3400,2026-07-02T16:08:34.522Z,2026-07-02T15:22:30.000Z,CAR,PT
1jKQIJNmHbXrZyjtaBdr7lijR3vy8OFy1,2_19 - IA - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/2_19 - IA - Story Financiamento (Brasil).mp4,UPLOAD MANUAL,video/mp4,mp4,VID,9436328,1080,1920,9:16,STORY,15066,b5b5da55ebb721ff7348921aea11640a,2026-07-02T16:09:00.268Z,2026-07-02T15:22:30.000Z,CAR,PT
1ANGvu3Z6uUTinZE3nH1spDresC-1-MQV,3_13 - IA - KELLY - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/3_13 - IA - KELLY - Story Financiamento (Brasil).mp4,UPLOAD MANUAL,video/mp4,mp4,VID,10973858,1080,1920,9:16,STORY,15066,75b9fb23a8e8c706cdd6f40e96d0a334,2026-07-02T16:09:15.947Z,2026-07-02T15:22:30.000Z,CAR,PT
1Lng2_SA6z2DBCRpsjanUC4zQV73tu91d,4_05 - IA - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/4_05 - IA - Story Financiamento (Brasil).mp4,UPLOAD MANUAL,video/mp4,mp4,VID,12703355,1080,1920,9:16,STORY,15066,1481e983156ca2ac6ab06746827ed9c8,2026-07-02T16:09:28.664Z,2026-07-02T15:22:30.000Z,CAR,PT
1o-GPmyNR93fKTPSiShBMoz6lyUB2AW7C,5_10 - IA - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/5_10 - IA - Story Financiamento (Brasil).mp4,UPLOAD MANUAL,video/mp4,mp4,VID,10448787,1080,1920,9:16,STORY,15066,93885a449e5b42e90d7652f56957bc3e,2026-07-02T16:09:40.211Z,2026-07-02T15:22:30.000Z,CAR,PT
18782BlHM1UwvkZd_WyK9CV0KlqIiYAMU,6_18 - IA - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/6_18 - IA - Story Financiamento (Brasil).mp4,UPLOAD MANUAL,video/mp4,mp4,VID,13301688,1080,1920,9:16,STORY,15066,ea0b16adefc178e1a1f129733ae97a43,2026-07-02T16:09:53.543Z,2026-07-02T15:22:30.000Z,CAR,PT
1RoQOr5kU4hoc6OMiPX0pSoHXHvX7te8_,7_16 - IA - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/7_16 - IA - Story Financiamento (Brasil).mp4,UPLOAD MANUAL,video/mp4,mp4,VID,10329522,1080,1920,9:16,STORY,15066,866b50c78df0aaeda5d7173bca53ec6d,2026-07-02T16:10:04.668Z,2026-07-02T15:22:30.000Z,CAR,PT
1d2PHfO1u_kHOfTXWrvr8o1LEx9IO9mi-,8_15 - IA - KELLY - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/8_15 - IA - KELLY - Story Financiamento (Brasil).mp4,UPLOAD MANUAL,video/mp4,mp4,VID,13409132,1080,1920,9:16,STORY,15066,40d23eb4196a09b4d1c837252606921d,2026-07-02T16:10:26.325Z,2026-07-02T15:22:30.000Z,CAR,PT
1gYsM0HRutHm-6QVrSai-d7tfDXS3V2DX,9_20 - IA - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/9_20 - IA - Story Financiamento (Brasil).mp4,UPLOAD MANUAL,video/mp4,mp4,VID,12135699,1080,1920,9:16,STORY,15066,0ed6471124be317a26dd42ab49891b64,2026-07-02T16:10:41.300Z,2026-07-02T15:22:30.000Z,CAR,PT
1oq_--OP8B6LU8f4-eiCAlIiTZKD1XsVx,10_14 - IA - KELLY - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/10_14 - IA - KELLY - Story Financiamento (Brasil).mp4,UPLOAD MANUAL,video/mp4,mp4,VID,11008985,1080,1920,9:16,STORY,15066,03ac9e190e21cfb77a24763fbcf5606c,2026-07-02T16:10:53.195Z,2026-07-02T15:22:30.000Z,CAR,PT
1-QArCDv2b2_Mh5psnUx67Ax5C4fQD_Gr,11_01  - IA - Story Financiamento(Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/11_01  - IA - Story Financiamento(Brasil).mp4,UPLOAD MANUAL,video/mp4,mp4,VID,12509185,1080,1920,9:16,STORY,15066,5a4ef0957dfd9eb08e6320754ba7f3fb,2026-07-02T16:11:04.276Z,2026-07-02T15:22:30.000Z,CAR,PT
1UFptUVBiojHXrURIpUV4WQMyry3qGcAl,12_23 - IA - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/12_23 - IA - Story Financiamento (Brasil).mp4,UPLOAD MANUAL,video/mp4,mp4,VID,12605929,1080,1920,9:16,STORY,15066,972ab34e9e8a7694fd7b08ac682e1980,2026-07-02T16:11:14.175Z,2026-07-02T15:22:30.000Z,CAR,PT
1LjDC-Jfg557dd1spPaC4LYyOiRhC3q9X,13_06 - IA - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/13_06 - IA - Story Financiamento (Brasil).mp4,UPLOAD MANUAL,video/mp4,mp4,VID,13620395,1080,1920,9:16,STORY,15066,155f84e8016e664be9feaf24f7791cdb,2026-07-02T16:11:22.540Z,2026-07-02T15:22:30.000Z,CAR,PT
1KiWGfcqenumHv7VTRzLxMpR5L3kuftWg,14_04  - IA - Story Financiamento(Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/14_04  - IA - Story Financiamento(Brasil).mp4,UPLOAD MANUAL,video/mp4,mp4,VID,11257106,1080,1920,9:16,STORY,15066,4fd4e24562060a6321ee38f212588e01,2026-07-02T16:11:30.468Z,2026-07-02T15:22:30.000Z,CAR,PT
