id,name,path,mimeType,size,md5Checksum,createdTime,modifiedTime,driveId,product_type,lineage_role,asset_id,source_manager,inventory_status,reservation_status,ares_eligible
1FD_Okm2rEsYOjQ7UJh70wRqrVOM8PUh1,SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_003.mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_003.mp4,video/mp4,8072286,d396ae925ca0ba8778f20fcd5b2d614b,2026-09-07T02:54:52.012Z,2026-09-07T02:54:52.012Z,0AEwt4Ye690ocUk9PVA,CAMPING_TENT,asset,asset_e3e34b7a39ef06f63bf5,KELLY,01_READY,RESERVADO_PELO_GESTOR,False
1DhIBU8FBUUF2fjfW80zChMSFLf0hbjgO,SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_004.mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_004.mp4,video/mp4,8419198,1822e7a5846979d6c322aa06b8408277,2026-09-07T02:54:59.355Z,2026-09-07T02:54:59.355Z,0AEwt4Ye690ocUk9PVA,CAMPING_TENT,asset,asset_0bdfab1e606b70e2f79f,KELLY,01_READY,RESERVADO_PELO_GESTOR,False
1KyOVvQ9pjWJSoZjtcsUwyr0IGFS17d9d,SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_005.mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_005.mp4,video/mp4,7880187,97784a90b93f60cce3aa6f0f0dfa6d23,2026-09-07T02:55:06.634Z,2026-09-07T02:55:06.634Z,0AEwt4Ye690ocUk9PVA,CAMPING_TENT,asset,asset_9562cab50dcd5605e95c,KELLY,01_READY,RESERVADO_PELO_GESTOR,False
1rbSFQPusx8ORMgf5ddROHz93Fkl-HPig,SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_006.mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_006.mp4,video/mp4,8756274,328403c239e22a4ad5a06f03b9165a54,2026-09-07T02:55:13.161Z,2026-09-07T02:55:13.161Z,0AEwt4Ye690ocUk9PVA,CAMPING_TENT,asset,asset_4f2dab5f43366f51ace9,KELLY,01_READY,RESERVADO_PELO_GESTOR,False
15jsX8aQUdrhvihQnQHC7MDHKzUYoQ814,SHEIN_US_EN_VID_FREE_CLOTHES_PRESSER_PV_001.mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_CLOTHES_PRESSER_PV_001.mp4,video/mp4,8941703,ad89678230ef4ed6405d487169302f2e,2026-09-04T14:38:42.298Z,2026-09-04T14:38:42.298Z,0AEwt4Ye690ocUk9PVA,HAIR_STYLER,asset,asset_85b9d3f66ff8e05f53eb,KELLY,01_READY,RESERVADO_PELO_GESTOR,False
1InO9KPHT622FFu263UPUNaDhurOQj8fR,SHEIN_US_EN_VID_FREE_CLOTHES_PRESSER_PV_004.mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_CLOTHES_PRESSER_PV_004.mp4,video/mp4,13483292,39267d2a34ba7572c0e86e7e1d50b682,2026-09-04T14:39:13.536Z,2026-09-04T14:39:13.536Z,0AEwt4Ye690ocUk9PVA,CLOTHES_PRESSER,asset,asset_efd868d169d7ca85193e,KELLY,01_READY,RESERVADO_PELO_GESTOR,False
18DAv3wWG6jhjcAemXoXevg9wJQplgmPN,SHEIN_US_EN_VID_FREE_CLOTHES_PRESSER_PV_005.mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_CLOTHES_PRESSER_PV_005.mp4,video/mp4,13453716,8325f8e8dfd63b76b7ef6239bd2a1d60,2026-09-04T14:39:25.404Z,2026-09-04T14:39:25.404Z,0AEwt4Ye690ocUk9PVA,CLOTHES_PRESSER,asset,asset_2f9bc132c31fe4685837,KELLY,01_READY,RESERVADO_PELO_GESTOR,False
1poUXXvW4n9l-9mr1WvLeHFtbHrTiv_kD,SHEIN_US_EN_VID_FREE_CLOTHES_PRESSER_PV_007.mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_CLOTHES_PRESSER_PV_007.mp4,video/mp4,15246944,0caf01c8c4caf0e770e4637c76ecc72e,2026-09-04T14:40:08.544Z,2026-09-04T14:40:08.544Z,0AEwt4Ye690ocUk9PVA,CLOTHES_PRESSER,asset,asset_7cc3bded4e06852ef508,KELLY,01_READY,RESERVADO_PELO_GESTOR,False
1R_LTGhikitihFJHQwZenxM4y6it7htF4,SHEIN_US_EN_VID_FREE_CLOTHES_PRESSER_PV_008.mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_CLOTHES_PRESSER_PV_008.mp4,video/mp4,13387398,a17c758a7855dafedc823c06d0ed8fd4,2026-09-04T14:40:26.722Z,2026-09-04T14:40:26.722Z,0AEwt4Ye690ocUk9PVA,CLOTHES_PRESSER,asset,asset_df5718033e0cfdac5c75,KELLY,01_READY,RESERVADO_PELO_GESTOR,False
1-3eiDaSIqM0mS1JbtuPzjFFwbDUG4JUk,SHEIN_US_EN_VID_FREE_CLOTHES_PRESSER_PV_010.mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_CLOTHES_PRESSER_PV_010.mp4,video/mp4,13393585,0fede75f42da349bd7338a738b9738a6,2026-09-04T14:40:52.568Z,2026-09-04T14:40:52.568Z,0AEwt4Ye690ocUk9PVA,CLOTHES_PRESSER,asset,asset_f220fce90d25c1b04ab7,KELLY,01_READY,RESERVADO_PELO_GESTOR,False
18iPcPzGOEmrKfH2YpsWNKepzoYq_C7r5,SHEIN_US_EN_VID_FREE_COLORING_BOOK_PV_004.mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_COLORING_BOOK_PV_004.mp4,video/mp4,7221071,aa6ebd5e256a7b2a42cc76186021625a,2026-09-09T14:38:25.126Z,2026-09-09T14:38:25.126Z,0AEwt4Ye690ocUk9PVA,COLORING_BOOK,asset,asset_3fe5833e7eb53bf9669e,KELLY,01_READY,RESERVADO_PELO_GESTOR,False
1ZV2Yc3vPzuC0C5xWb-EXlk06pUnYUzzN,SHEIN_US_EN_VID_FREE_DESK_LAMP_PV_002.mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_DESK_LAMP_PV_002.mp4,video/mp4,4561140,4e63fb0cd380843480e2730a27207514,2026-09-11T13:25:59.508Z,2026-09-11T13:25:59.508Z,0AEwt4Ye690ocUk9PVA,DESK_LAMP,asset,asset_d588d584f32448778c2d,KELLY,01_READY,RESERVADO_PELO_GESTOR,False
10XRdpaQAnjLGGY624UyQ0uRhrrmyS1KH,SHEIN_US_EN_VID_FREE_DESK_LAMP_PV_003.mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_DESK_LAMP_PV_003.mp4,video/mp4,4314658,3ec35f127de3b8144266faefd7625f5e,2026-09-11T13:26:13.910Z,2026-09-11T13:26:13.910Z,0AEwt4Ye690ocUk9PVA,DESK_LAMP,asset,asset_6622a061c125bfeb3850,KELLY,01_READY,RESERVADO_PELO_GESTOR,False
1ZivbZ5p1YmqLF--TZBMqRkpfDYrs3_VO,SHEIN_US_EN_VID_FREE_DESK_LAMP_PV_005.mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_DESK_LAMP_PV_005.mp4,video/mp4,4093882,00b33d521526c9a50a3139af505c80e3,2026-09-11T13:27:19.414Z,2026-09-11T13:27:19.414Z,0AEwt4Ye690ocUk9PVA,DESK_LAMP,asset,asset_533bc7405d5c53b358d5,KELLY,01_READY,RESERVADO_PELO_GESTOR,False
1FcpBm8cTzmhmad1vfiI_bDx7XoC0Ewz3,SHEIN_US_EN_VID_FREE_DESK_LAMP_PV_006.mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_DESK_LAMP_PV_006.mp4,video/mp4,4091724,0e7ffeeb454640e95e743a1456430c3a,2026-09-11T13:27:40.231Z,2026-09-11T13:27:40.231Z,0AEwt4Ye690ocUk9PVA,DESK_LAMP,asset,asset_103bd3e9f096cc2c62e0,KELLY,01_READY,RESERVADO_PELO_GESTOR,False
1K7dJS78bA9aSt2ynSuiKszk8ZjZ-ZX6X,SHEIN_US_EN_VID_FREE_DESK_LAMP_PV_007.mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_DESK_LAMP_PV_007.mp4,video/mp4,3581426,84e8043e865ba46a8f31de27bf0ab4e9,2026-09-11T13:27:49.192Z,2026-09-11T13:27:49.192Z,0AEwt4Ye690ocUk9PVA,DESK_LAMP,asset,asset_48ba00a219fb29c05849,KELLY,01_READY,RESERVADO_PELO_GESTOR,False
1t8frxcrbLCOi35mf4vFMBuyPkaqfIqya,SHEIN_US_EN_VID_FREE_DESK_LAMP_PV_008.mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_DESK_LAMP_PV_008.mp4,video/mp4,4555074,d36f73e7ea13951741ced402fe5a3834,2026-09-11T13:28:13.734Z,2026-09-11T13:28:13.734Z,0AEwt4Ye690ocUk9PVA,DESK_LAMP,asset,asset_2e1f8c52c8b240e4086d,KELLY,01_READY,RESERVADO_PELO_GESTOR,False
1SZGI7hnp3z5UXk0dctkHRq6nP07HZsMe,SHEIN_US_EN_VID_FREE_DRONE_NV_001.mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_DRONE_NV_001.mp4,video/mp4,5736626,7977f4731762af363e057ab8b7316c6f,2026-09-04T20:59:49.641Z,2026-09-04T20:59:49.641Z,0AEwt4Ye690ocUk9PVA,DRONE,asset,asset_2f3d2938fd65157ebc88,KELLY,01_READY,RESERVADO_PELO_GESTOR,False
1PH7lzgGfCDravxn_DxOhrNnaQ-QIowHx,SHEIN_US_EN_VID_FREE_DRONE_NV_002.mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_DRONE_NV_002.mp4,video/mp4,5375011,94c89666feb42911ed8fb7d496fc8745,2026-09-04T21:00:17.832Z,2026-09-04T21:00:17.832Z,0AEwt4Ye690ocUk9PVA,DRONE,asset,asset_aad7b913ca8f8ff9851a,KELLY,01_READY,RESERVADO_PELO_GESTOR,False
1ZDYFtXxo_xHN3LcT5sk1UryhlPomN2rn,SHEIN_US_EN_VID_FREE_DRONE_NV_004.mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_DRONE_NV_004.mp4,video/mp4,5489025,373db03f28363f5d9e568e70faed70b0,2026-09-04T21:01:49.614Z,2026-09-04T21:01:49.614Z,0AEwt4Ye690ocUk9PVA,DRONE,asset,asset_b86c459426b214302e70,KELLY,01_READY,RESERVADO_PELO_GESTOR,False
1Ywd423l-T4_IuYV7MpUmr2TDZc4aCbbg,SHEIN_US_EN_VID_FREE_DRONE_PV_001.mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_DRONE_PV_001.mp4,video/mp4,6009453,570638923dd2ae94f9140a7ca43d4cd3,2026-09-04T20:59:31.944Z,2026-09-04T20:59:31.944Z,0AEwt4Ye690ocUk9PVA,DRONE,asset,asset_6a30bdbe591fe53e3f85,KELLY,01_READY,RESERVADO_PELO_GESTOR,False
