drive_id,original_filename,relative_path,source_top_folder,format,language_guess,placement_fit,product_type,canonical_filename
1Xo6sTbyiu_5syAAuKPCkdXfPagNv1_Bh,1_31 US_SHEIN_EN_04-09  - ROUPAS - Story (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_EARRING_PV_001.mp4,SHEIN_US_EN,VID,EN,STORY,EARRING,SHEIN_US_EN_VID_FREE_EARRING_PV_001.mp4
15jsX8aQUdrhvihQnQHC7MDHKzUYoQ814,2_13 US_SHEIN_EN_03-09  - CARREGADOR - Story (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_CLOTHES_PRESSER_PV_001.mp4,SHEIN_US_EN,VID,EN,STORY,HAIR_STYLER,SHEIN_US_EN_VID_FREE_CLOTHES_PRESSER_PV_001.mp4
1cYWB_UlRRqxuZ0pBFcPN_CMVDCuP88TH,3_30 US_SHEIN_EN_04-09  - ROUPAS - Story (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_EARRING_PV_002.mp4,SHEIN_US_EN,VID,EN,STORY,EARRING,SHEIN_US_EN_VID_FREE_EARRING_PV_002.mp4
1gYID85A6-YgKn2zrI5zUZpRs5Tgbvy6c,4_23 US_SHEIN_EN_04-09  - ROUPAS - Story (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_SHEIN_FOR_FREE_PV_001.mp4,SHEIN_US_EN,VID,EN,STORY,CLOTHING,SHEIN_US_EN_VID_SHEIN_FOR_FREE_PV_001.mp4
1InO9KPHT622FFu263UPUNaDhurOQj8fR,7_08 US_SHEIN_EN_03-09  - CARREGADOR - Story (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_CLOTHES_PRESSER_PV_004.mp4,SHEIN_US_EN,VID,EN,STORY,CLOTHES_PRESSER,SHEIN_US_EN_VID_FREE_CLOTHES_PRESSER_PV_004.mp4
1T4u4BU2a0XFxZoNGgo2jca-Ukbdmq7Zv,8_25 US_SHEIN_EN_04-09  - ROUPAS - Story (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_SHEIN_FOR_FREE_PV_002.mp4,SHEIN_US_EN,VID,EN,STORY,CLOTHING,SHEIN_US_EN_VID_SHEIN_FOR_FREE_PV_002.mp4
18DAv3wWG6jhjcAemXoXevg9wJQplgmPN,9_10 US_SHEIN_EN_03-09  - CARREGADOR - Story (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_CLOTHES_PRESSER_PV_005.mp4,SHEIN_US_EN,VID,EN,STORY,CLOTHES_PRESSER,SHEIN_US_EN_VID_FREE_CLOTHES_PRESSER_PV_005.mp4
1aT2JeW9t2ozMUz7OMgTpas2TwaO60OUt,10_29 US_SHEIN_EN_04-09  - ROUPAS - Story (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_EARRING_PV_003.mp4,SHEIN_US_EN,VID,EN,STORY,EARRING,SHEIN_US_EN_VID_FREE_EARRING_PV_003.mp4
1poUXXvW4n9l-9mr1WvLeHFtbHrTiv_kD,15_11 US_SHEIN_EN_03-09  - CARREGADOR - Story (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_CLOTHES_PRESSER_PV_007.mp4,SHEIN_US_EN,VID,EN,STORY,CLOTHES_PRESSER,SHEIN_US_EN_VID_FREE_CLOTHES_PRESSER_PV_007.mp4
1rxYgIBGs1TRsSzlhy9E5N_IFOkRo7sLH,16_18 US_SHEIN_EN_03-09  - CARREGADOR - Story (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_EARRING_PV_004.mp4,SHEIN_US_EN,VID,EN,STORY,EARRING,SHEIN_US_EN_VID_FREE_EARRING_PV_004.mp4
