Análise páginas UTM pg_19
Fonte	Digitaltrust on-hold / Sheet1
Critério	UTM_CAMPAIGN começa com pg_19; ON_HOLD_FLAG = Status normalizado como On-hold

Resumo	Quantidade
Total pg_19	90
pg_19 com Status On-hold	18
pg_19 com Status Broadcast	72

Row origem	PUBLISHER_ID	UTM_CAMPAIGN	REV Consolidada	Status	ON_HOLD_FLAG
933	digital-trust_ducapesfinance	pg_19208	81	On-hold	SIM
1198	digital-trust_topfeed	pg_19204	51	On-hold	SIM
1275	digital-trust_ducapesfinance	pg_19197	42	On-hold	SIM
1348	digital-trust_infinitynexx	pg_19331	37	On-hold	SIM
1396	digital-trust_newsoun	pg_19237	33	On-hold	SIM
1545	digital-trust_topfeed	pg_19226	25	On-hold	SIM
1636	digital-trust_topfeed	pg_19198	20	On-hold	SIM
1852	digital-trust_newsoun	pg_19228	10	On-hold	SIM
2631	digital-trust-2_wantabrand	pg_19175	0	On-hold	SIM
2629	digital-trust-2_wantabrand	pg_19202	0	On-hold	SIM
2622	digital-trust-2_wantabrand	pg_19209	0	On-hold	SIM
2623	digital-trust-2_wantabrand	pg_19231	0	On-hold	SIM
2625	digital-trust-2_wantabrand	pg_19232	0	On-hold	SIM
2649	digital-trust_topfeed	pg_19233	0	On-hold	SIM
2104	digital-trust_newsoun	pg_19242	0	On-hold	SIM
2105	digital-trust_newsoun	pg_19243	0	On-hold	SIM
2666	digital-trust-2_wantabrandfinance	pg_19326	0	On-hold	SIM
2113	digital-trust_newsounde	pg_19332	0	On-hold	SIM
3	digital-trust_topfeed	pg_19211	33621	Broadcast	NÃO
4	digital-trust-2_zuout	pg_19201	33242	Broadcast	NÃO
5	digital-trust_topfeed	pg_19192	29339	Broadcast	NÃO
7	digital-trust_topfeed	pg_19218	27120	Broadcast	NÃO
9	digital-trust_topfeedfinanzas	pg_19234	25649	Broadcast	NÃO
10	digital-trust-2_zuout	pg_19251	25018	Broadcast	NÃO
11	digital-trust-2_zuout	pg_19241	24582	Broadcast	NÃO
12	digital-trust_cliquetfinanzas	pg_19240	23385	Broadcast	NÃO
15	digital-trust_cliquetfinanzas	pg_19223	18829	Broadcast	NÃO
16	digital-trust-2_cliquet	pg_19244	18575	Broadcast	NÃO
17	digital-trust-2_zuoutfinanzas	pg_19191	18510	Broadcast	NÃO
20	digital-trust_eggbev	pg_19206	15869	Broadcast	NÃO
26	digital-trust_newsoun	pg_19299	12632	Broadcast	NÃO
27	digital-trust_helixenit	pg_19297	12566	Broadcast	NÃO
28	digital-trust_topfeedfinanzas	pg_19200	12291	Broadcast	NÃO
29	digital-trust_helixenit	pg_19254	10487	Broadcast	NÃO
30	digital-trust_helixenit	pg_19298	10265	Broadcast	NÃO
34	digital-trust_newsoun	pg_19225	9176	Broadcast	NÃO
36	digital-trust_financeadx	pg_19334	8716	Broadcast	NÃO
37	digital-trust_helixenit	pg_19248	8316	Broadcast	NÃO
39	digital-trust_newsoun	pg_19207	7827	Broadcast	NÃO
42	digital-trust_zytiva	pg_19335	7455	Broadcast	NÃO
43	digital-trust_newsoun	pg_19216	7156	Broadcast	NÃO
44	digital-trust_topfeed	pg_19322	6791	Broadcast	NÃO
45	digital-trust_topfeedfinanzas	pg_19212	6781	Broadcast	NÃO
48	digital-trust_newsoun	pg_19190	6051	Broadcast	NÃO
52	digital-trust-2_openzed	pg_19184	4642	Broadcast	NÃO
53	digital-trust_infinitynexx	pg_19328	4250	Broadcast	NÃO
54	digital-trust_zytiva	pg_19176	4136	Broadcast	NÃO
63	digital-trust_zytiva	pg_19154	3216	Broadcast	NÃO
68	digital-trust-2_openzed	pg_19182	2667	Broadcast	NÃO
72	digital-trust-2_openzed	pg_19185	2381	Broadcast	NÃO
74	digital-trust_financeadx	pg_19338	1885	Broadcast	NÃO
76	digital-trust_zytiva	pg_19174	1776	Broadcast	NÃO
81	digital-trust_infinitynexx	pg_19253	1679	Broadcast	NÃO
84	digital-trust_infinitynexx	pg_19321	1571	Broadcast	NÃO
88	digital-trust_zytiva	pg_19177	1513	Broadcast	NÃO
90	digital-trust_topfeedfinanzas	pg_19205	1460	Broadcast	NÃO
92	digital-trust_infinitynexx	pg_19249	1429	Broadcast	NÃO
93	digital-trust-2_openzedfinanzas	pg_19245	1412	Broadcast	NÃO
94	digital-trust-2_openzedfinanzas	pg_19330	1303	Broadcast	NÃO
100	digital-trust_infinitynexx	pg_19252	1244	Broadcast	NÃO
105	digital-trust_topfeedfinanzas	pg_19188	1200	Broadcast	NÃO
107	digital-trust_infinitynexx	pg_19296	1184	Broadcast	NÃO
110	digital-trust-2_openzedfinanzas	pg_19230	1146	Broadcast	NÃO
113	digital-trust_zytiva	pg_19336	1089	Broadcast	NÃO
116	digital-trust_newsoun	pg_19187	1035	Broadcast	NÃO
119	digital-trust_topfeedfinanzas	pg_19227	995	Broadcast	NÃO
128	digital-trust-2_openzedfinanzas	pg_19229	961	Broadcast	NÃO
132	digital-trust_newsoun	pg_19189	918	Broadcast	NÃO
140	digital-trust_helixenit	pg_19325	886	Broadcast	NÃO
149	digital-trust_newsoun	pg_19210	825	Broadcast	NÃO
168	digital-trust-2_openzedfinanzas	pg_19215	704	Broadcast	NÃO
182	digital-trust_newsoun	pg_19186	626	Broadcast	NÃO
247	digital-trust_ducapesfinance	pg_19214	443	Broadcast	NÃO
263	digital-trust_newsoun	pg_19196	387	Broadcast	NÃO
286	digital-trust_newsoun	pg_19213	356	Broadcast	NÃO
287	digital-trust_ducapesfinance	pg_19221	355	Broadcast	NÃO
291	digital-trust_newsoun	pg_19199	346	Broadcast	NÃO
309	digital-trust_newsoun	pg_19194	323	Broadcast	NÃO
373	digital-trust_newsounde	pg_19329	258	Broadcast	NÃO
387	digital-trust_infinitynexx	pg_19324	248	Broadcast	NÃO
403	digital-trust_newsoun	pg_19217	230	Broadcast	NÃO
418	digital-trust_newsoun	pg_19219	224	Broadcast	NÃO
440	digital-trust_newsoun	pg_19238	211	Broadcast	NÃO
447	digital-trust_lyzmo	pg_19323	209	Broadcast	NÃO
445	digital-trust_financeadx	pg_19337	209	Broadcast	NÃO
477	digital-trust_eggbev	pg_19222	196	Broadcast	NÃO
503	digital-trust_newsoun	pg_19203	180	Broadcast	NÃO
514	digital-trust_ducapesfinance	pg_19236	177	Broadcast	NÃO
562	digital-trust_ducapesfinance	pg_19193	160	Broadcast	NÃO
770	digital-trust_ducapesfinance	pg_19235	113	Broadcast	NÃO
