Row	PUBLISHER_ID	UTM_CAMPAIGN	REV Consolidada	Status
933	digital-trust_ducapesfinance	pg_19208	81	On-hold
1198	digital-trust_topfeed	pg_19204	51	On-hold
1275	digital-trust_ducapesfinance	pg_19197	42	On-hold
1348	digital-trust_infinitynexx	pg_19331	37	On-hold
1396	digital-trust_newsoun	pg_19237	33	On-hold
1545	digital-trust_topfeed	pg_19226	25	On-hold
1636	digital-trust_topfeed	pg_19198	20	On-hold
1852	digital-trust_newsoun	pg_19228	10	On-hold
2104	digital-trust_newsoun	pg_19242	0	On-hold
2105	digital-trust_newsoun	pg_19243	0	On-hold
2113	digital-trust_newsounde	pg_19332	0	On-hold
2622	digital-trust-2_wantabrand	pg_19209	0	On-hold
2623	digital-trust-2_wantabrand	pg_19231	0	On-hold
2625	digital-trust-2_wantabrand	pg_19232	0	On-hold
2629	digital-trust-2_wantabrand	pg_19202	0	On-hold
2631	digital-trust-2_wantabrand	pg_19175	0	On-hold
2649	digital-trust_topfeed	pg_19233	0	On-hold
2666	digital-trust-2_wantabrandfinance	pg_19326	0	On-hold
