Aba,Data,Site,Página,País detectado,Vertical final,Receita
report AV,2026-06-16,finance.topfeed.fun,pg_1405,de,us-cc-en,1.037665
report AV,2026-06-16,finance.topfeed.fun,pg_3313,de,us-cc-en,0.805838
report AV,2026-06-17,finance.topfeed.fun,pg_1405,de,us-cc-en,0.413874
report AV,2026-06-17,finance.topfeed.fun,pg_3313,de,us-cc-en,0.052464
report AV,2026-06-18,finance.topfeed.fun,pg_3313,de,us-cc-en,0.653546
report AV,2026-06-19,finance.topfeed.fun,pg_1405,de,us-cc-en,1.283329
report AV,2026-06-19,finance.topfeed.fun,pg_3313,de,us-cc-en,0.200625
report AV,2026-06-19,finance.topfeed.fun,pg_3313,de,us-cc-en,0.160593
report AV,2026-06-20,finance.topfeed.fun,pg_3313,de,us-cc-en,0.800003
report AV,2026-06-21,finance.topfeed.fun,pg_3313,de,us-cc-en,0.613482
report AV,2026-06-22,finance.topfeed.fun,pg_3313,de,us-cc-en,0.273161
report AV,2026-06-23,finance.topfeed.fun,pg_1405,de,us-cc-en,0.223553
report AV,2026-06-23,finance.topfeed.fun,pg_3313,de,us-cc-en,0.549368
report AV,2026-06-24,finance.topfeed.fun,pg_3313,de,us-cc-en,0.355993
report AV,2026-06-24,finance.topfeed.fun,pg_3313,de,us-cc-en,0.236881
report AV,2026-06-24,finance.topfeed.fun,pg_3564,de,us-cc-en,0.921282
report AV,2026-06-25,finance.topfeed.fun,pg_3463,de,us-cc-en,0.97674
report AV,2026-06-28,finance.topfeed.fun,pg_3313,de,us-cc-en,1.068169
