Data,Gestor,Gasto,Receita,Lucro,Margem %
2026-06-16,g001-d,0.0,119.931073,119.931073,
2026-06-16,g002-d,0.0,26.778734,26.778734,
2026-06-16,g003-d,0.0,1.980775,1.980775,
2026-06-16,g004-d,0.0,27.496672,27.496672,
2026-06-16,g005-d,0.0,36.537656,36.537656,
2026-06-16,g006-d,0.0,97.289932,97.289932,
2026-06-17,g001-d,0.0,116.880524,116.880524,
2026-06-17,g002-d,0.0,17.583462,17.583462,
2026-06-17,g003-d,0.0,6.504598,6.504598,
2026-06-17,g004-d,0.0,22.193806,22.193806,
2026-06-17,g005-d,0.0,48.17059,48.17059,
2026-06-17,g006-d,0.0,107.927245,107.927245,
2026-06-18,g001-d,0.0,144.20029,144.20029,
2026-06-18,g002-d,0.0,19.032235,19.032235,
2026-06-18,g003-d,0.0,2.024048,2.024048,
2026-06-18,g004-d,0.0,40.405793,40.405793,
2026-06-18,g005-d,0.0,42.200106,42.200106,
2026-06-18,g006-d,0.0,120.539292,120.539292,
2026-06-19,g001-d,0.0,147.987628,147.987628,
2026-06-19,g002-d,0.0,20.400639,20.400639,
2026-06-19,g003-d,0.0,1.947551,1.947551,
2026-06-19,g004-d,0.0,41.802688,41.802688,
2026-06-19,g005-d,0.0,46.833608,46.833608,
2026-06-19,g006-d,0.0,115.758467,115.758467,
2026-06-20,g001-d,0.0,117.117016,117.117016,
2026-06-20,g002-d,0.0,38.275807,38.275807,
2026-06-20,g003-d,0.0,0.625042,0.625042,
2026-06-20,g004-d,0.0,45.695575,45.695575,
2026-06-20,g005-d,0.0,52.32051,52.32051,
2026-06-20,g006-d,0.0,107.01442,107.01442,
2026-06-21,g001-d,0.0,163.767481,163.767481,
2026-06-21,g002-d,0.0,28.141948,28.141948,
2026-06-21,g003-d,0.0,1.02682,1.02682,
2026-06-21,g004-d,0.0,36.137321,36.137321,
2026-06-21,g005-d,0.0,37.413929,37.413929,
2026-06-21,g006-d,0.0,85.577755,85.577755,
2026-06-22,g001-d,0.0,97.963434,97.963434,
2026-06-22,g002-d,0.0,33.586883,33.586883,
2026-06-22,g003-d,0.0,0.262945,0.262945,
2026-06-22,g004-d,0.0,31.734242,31.734242,
2026-06-22,g005-d,0.0,33.260046,33.260046,
2026-06-22,g006-d,0.0,52.63244,52.63244,
2026-06-23,g001-d,0.0,143.528373,143.528373,
2026-06-23,g002-d,0.0,31.087822,31.087822,
2026-06-23,g003-d,0.0,2.574706,2.574706,
2026-06-23,g004-d,0.0,32.303042,32.303042,
2026-06-23,g005-d,0.0,32.906107,32.906107,
2026-06-23,g006-d,0.0,122.955227,122.955227,
2026-06-24,g001-d,0.0,177.228852,177.228852,
2026-06-24,g002-d,0.0,48.090916,48.090916,
2026-06-24,g003-d,0.0,0.694844,0.694844,
2026-06-24,g004-d,0.0,43.107649,43.107649,
2026-06-24,g005-d,0.0,39.63329,39.63329,
2026-06-24,g006-d,0.0,124.896648,124.896648,
2026-06-25,g001-d,0.0,74.473488,74.473488,
2026-06-25,g002-d,0.0,23.66579,23.66579,
2026-06-25,g003-d,0.0,0.592058,0.592058,
2026-06-25,g004-d,0.0,18.687536,18.687536,
2026-06-25,g005-d,0.0,22.144473,22.144473,
2026-06-25,g006-d,0.0,51.678139,51.678139,
2026-06-26,g001-d,0.0,4.166392,4.166392,
2026-06-26,g002-d,0.0,0.323569,0.323569,
2026-06-26,g003-d,0.0,0.180001,0.180001,
2026-06-26,g004-d,0.0,3.389021,3.389021,
2026-06-26,g005-d,0.0,1.522953,1.522953,
2026-06-26,g006-d,0.0,3.058355,3.058355,
2026-06-27,g001-d,0.0,1.702854,1.702854,
2026-06-27,g002-d,0.0,1.530206,1.530206,
2026-06-27,g003-d,0.0,1.136436,1.136436,
2026-06-27,g004-d,0.0,0.733339,0.733339,
2026-06-27,g005-d,0.0,1.850967,1.850967,
2026-06-27,g006-d,0.0,4.741818,4.741818,
2026-06-28,g001-d,0.0,1.612526,1.612526,
2026-06-28,g002-d,0.0,1.271901,1.271901,
2026-06-28,g005-d,0.0,2.084488,2.084488,
2026-06-28,g006-d,0.0,3.104548,3.104548,
2026-06-29,g001-d,0.0,1.668718,1.668718,
2026-06-29,g002-d,0.0,0.844499,0.844499,
2026-06-29,g003-d,0.0,1.152404,1.152404,
2026-06-29,g005-d,0.0,0.115568,0.115568,
2026-06-29,g006-d,0.0,13.58783,13.58783,
