Item,Valor
Arquivo,doc_366323f48520_report_16_de_junho_ate_29_de_junho.xlsx
Gerado em,2026-06-30T23:31:20-04:00
Abas receita detectadas,"report AV, report SB-1, report SB-2"
Abas gasto detectadas,nenhuma com dados
Receita bruta,146382.824557
Receita Long,146382.824557
Diferença receita,0.0
Gasto bruto,0
Gasto Long,0.0
Diferença gasto,0.0
Status reconciliação receita,OK
Status reconciliação gasto,OK
Aviso,"As abas Gastos FB, Gastos Google e MonetizeMore vieram vazias no arquivo recebido. Long contém receita com gasto 0."
Aviso fincgriffin _gb,Sem confirmação de reatribuição; linhas _gb foram mantidas como gb-car-en e sinalizadas.
