Aba,Data,Site,Página,País detectado,Vertical final,Receita
report AV,2026-07-02,finance.topfeed.fun,pg_3313,de,us-cc-en,0.197546
report AV,2026-07-02,finance.topfeed.fun,pg_3313,de,us-cc-en,0.557385
report AV,2026-07-02,finance.topfeed.fun,pg_3313,de,us-cc-en,0.2247
report AV,2026-07-02,finance.topfeed.fun,pg_3313,de,us-cc-en,0.623902
report AV,2026-07-01,finance.topfeed.fun,pg_3313,de,us-cc-en,3.289252
report AV,2026-07-01,finance.topfeed.fun,pg_3313,de,us-cc-en,0.770127
report AV,2026-07-01,finance.topfeed.fun,pg_3313,de,us-cc-en,0.184417
report AV,2026-07-01,finance.topfeed.fun,pg_3313,de,us-cc-en,1.323457
report AV,2026-07-03,finance.topfeed.fun,pg_3313,de,us-cc-en,0.394409
report AV,2026-07-03,finance.topfeed.fun,pg_3313,de,us-cc-en,0.433951
report AV,2026-07-03,finance.topfeed.fun,pg_3313,de,us-cc-en,0.190542
report AV,2026-07-03,finance.topfeed.fun,pg_3313,de,us-cc-en,0.250179
report AV,2026-07-04,finance.topfeed.fun,pg_3468,de,us-cc-en,0.605441
report AV,2026-07-05,finance.topfeed.fun,pg_1308,de,us-cc-en,0.663064
report AV,2026-07-06,finance.topfeed.fun,pg_3313,de,us-cc-en,0.189399
