template,messages,source_bank_count,mismatches,first_bad_slots
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,30,70,0,
Ducapes Finance - US-CC-EN/EN-SR - g001-d Icaro,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Openzed - US-CC-EN/EN - AV - g001-d Icaro,30,70,0,
Eggbev - US-CC-EN/EN-SR - g006-d Nicolas,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Infinitynexx - US-CC-EN/EN-SR - g004-d Joe,30,70,0,
Lyzmo - US-CC-EN/EN-SR - g006-d Nicolas,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Marevelx - US-CC-EN/EN-SR - g001-d Icaro,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Newsoun - US-CC-EN/EN-SR - g005-d Kelly,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Openzed - US-CC-EN/EN - AV - g003-d Isliago,30,70,0,
Financetopfeed - US-CC-EN/EN-SR - g004-d Joe,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Wavesbee - US-CC-EN/EN - YM - g003-d Isliago,30,70,0,
Zuout - US-CC-EN/EN - AV - g002-d Gustavo,30,70,0,
Zytiva - US-CC-EN/EN-SR - g003-d Isliago,30,70,25,"1,2,3,4,5,6,7,8,9,10"
Conecta - US-CC-EN/EN-SR - g001-d Icaro,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Vizioid - US-CC-EN/EN-SR - g002-d Gustavo,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Xyvlov - US-CC-EN/EN-SR - g003-d Isliago,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Helixenit - US-CC-EN/EN-SR - g005-d Kelly,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Financeadx - US-CC-EN/EN-SR - g006-d Nicolas,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Zytiva - GB-CC-EN/EN-SR - g003-d Isliago,30,70,0,
Openzed - GB-CC-EN/EN - AV - g003-d Isliago,30,70,0,
Wantabrand - GB-CC-EN/EN - M2 - g001-d Icaro,30,70,0,
Newsoun - GB-CC-EN/EN-SR - g005-d Kelly,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Financetopfeed - GB-CC-EN/EN-SR - g004-d Joe,30,70,27,"4,5,6,7,8,9,10,11,12,13"
Lyzmo - GB-CC-EN/EN-SR - g006-d Nicolas,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Fincgriffin - GB-CC-EN/EN-SR - g006-d Nicolas,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Eggbev - GB-CC-EN/EN-SR - g006-d Nicolas,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Fincgriffin - GB-CC-EN/EN-SR - g001-d Icaro,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Fincgriffin - GB-CC-EN/EN-SR - g003-d Isliago,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Fincgriffin - GB-CC-EN/EN-SR - g004-d Joe,30,70,30,"1,2,3,4,5,6,7,8,9,10"
