template,ok,messages,mismatches_before,first_bad_slots,post_status,backup
Ducapes Finance - US-CC-EN/EN-SR - g001-d Icaro,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/ducapes-finance---us-cc-en-en-sr---g001-d-icaro-before-link-slot-fix-20260702-022130.json
Eggbev - US-CC-EN/EN-SR - g006-d Nicolas,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/eggbev---us-cc-en-en-sr---g006-d-nicolas-before-link-slot-fix-20260702-022130.json
Lyzmo - US-CC-EN/EN-SR - g006-d Nicolas,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/lyzmo---us-cc-en-en-sr---g006-d-nicolas-before-link-slot-fix-20260702-022130.json
Marevelx - US-CC-EN/EN-SR - g001-d Icaro,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/marevelx---us-cc-en-en-sr---g001-d-icaro-before-link-slot-fix-20260702-022130.json
Newsoun - US-CC-EN/EN-SR - g005-d Kelly,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/newsoun---us-cc-en-en-sr---g005-d-kelly-before-link-slot-fix-20260702-022130.json
Financetopfeed - US-CC-EN/EN-SR - g004-d Joe,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/financetopfeed---us-cc-en-en-sr---g004-d-joe-before-link-slot-fix-20260702-022130.json
Zytiva - US-CC-EN/EN-SR - g003-d Isliago,True,30,25,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/zytiva---us-cc-en-en-sr---g003-d-isliago-before-link-slot-fix-20260702-022130.json
Conecta - US-CC-EN/EN-SR - g001-d Icaro,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/conecta---us-cc-en-en-sr---g001-d-icaro-before-link-slot-fix-20260702-022130.json
Vizioid - US-CC-EN/EN-SR - g002-d Gustavo,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/vizioid---us-cc-en-en-sr---g002-d-gustavo-before-link-slot-fix-20260702-022130.json
Xyvlov - US-CC-EN/EN-SR - g003-d Isliago,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/xyvlov---us-cc-en-en-sr---g003-d-isliago-before-link-slot-fix-20260702-022130.json
Helixenit - US-CC-EN/EN-SR - g005-d Kelly,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/helixenit---us-cc-en-en-sr---g005-d-kelly-before-link-slot-fix-20260702-022130.json
Financeadx - US-CC-EN/EN-SR - g006-d Nicolas,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/financeadx---us-cc-en-en-sr---g006-d-nicolas-before-link-slot-fix-20260702-022130.json
Newsoun - GB-CC-EN/EN-SR - g005-d Kelly,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/newsoun---gb-cc-en-en-sr---g005-d-kelly-before-link-slot-fix-20260702-022130.json
Financetopfeed - GB-CC-EN/EN-SR - g004-d Joe,True,30,27,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",201,/root/mgs-agent/backups/sb-templates/financetopfeed---gb-cc-en-en-sr---g004-d-joe-before-link-slot-fix-20260702-022130.json
Lyzmo - GB-CC-EN/EN-SR - g006-d Nicolas,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/lyzmo---gb-cc-en-en-sr---g006-d-nicolas-before-link-slot-fix-20260702-022130.json
Fincgriffin - GB-CC-EN/EN-SR - g006-d Nicolas,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/fincgriffin---gb-cc-en-en-sr---g006-d-nicolas-before-link-slot-fix-20260702-022130.json
Eggbev - GB-CC-EN/EN-SR - g006-d Nicolas,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/eggbev---gb-cc-en-en-sr---g006-d-nicolas-before-link-slot-fix-20260702-022130.json
