template,pages,msgs,motivo
Cliquet - GB-CC-EN/EN - AV - G002-d Gustavo,0,10,gray=10
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,6,20,gray=20
Cliquet Finanzas - US-CC-ES/ES-ZW - AV - g002-d Gustavo,45,20,gray=20
Conecta - US-CC-EN/EN-SR - g001-d Icaro,0,10,gray=10
Ducapes - US-CC-ES/ES-ZW-SR - g001-d Icaro,0,10,gray=10
Ducapes Finance - US-CC-EN/EN-SR - g001-d Icaro,1,20,gray=20
Eggbev - GB-CC-EN/EN-SR - g006-d Nicolas,0,10,gray=10
Eggbev - US-CC-EN/EN-SR - g006-d Nicolas,100,20,gray=20
Eggbev Finanzas - US-CC-ES/ES-ZW - AV - g006-d Nicolas,9,20,gray=20
Financeadx - AR-CC-ES/ES-ZW-SR - g006-d Nicolas,1,20,gray=20
Financeadx - CA-CC-EN/EN-SR - g006-d Nicolas,8,20,gray=20
Financeadx - MX-CC-ES/ES-ZW-SR - g006-d Nicolas,9,20,gray=20
Financeadx - US-CC-EN/EN-SR - g006-d Nicolas,0,10,gray=10
Financeadx - US-CC-ES/ES-ZW-SR - g006-d Nicolas,0,10,gray=10
Financeadx - ZA-CC-EN/EN-SR - g006-d Nicolas,4,20,gray=20
Financetopfeed - GB-CC-EN/EN-SR - g004-d Joe,1,20,gray=20
Financetopfeed - US-CC-EN/EN-SR - g004-d Joe,26,20,gray=20
Financetopfeed - US-CC-ES/ES-ZW-SR - g004-d Joe,19,20,gray=20
Fincgriffin - ES-CC-ES/ES-ZW-SR - g001-d Icaro,0,10,gray=10
Fincgriffin - ES-CC-ES/ES-ZW-SR - g003-d Isliago,0,10,gray=10
Fincgriffin - ES-CC-ES/ES-ZW-SR - g004-d Joe,0,10,gray=10
Fincgriffin - ES-CC-ES/ES-ZW-SR - g005-d Kelly,0,10,gray=10
Fincgriffin - ES-CC-ES/ES-ZW-SR - g006-d Nicolas,0,10,gray=10
Fincgriffin - GB-CC-EN/EN-SR - g001-d Icaro,0,10,gray=10
Fincgriffin - GB-CC-EN/EN-SR - g003-d Isliago,0,10,gray=10
Fincgriffin - GB-CC-EN/EN-SR - g004-d Joe,0,10,gray=10
Fincgriffin - GB-CC-EN/EN-SR - g005-d Kelly,0,10,gray=10
Fincgriffin - GB-CC-EN/EN-SR - g006-d Nicolas,0,10,gray=10
Fincgriffin - TR-CC-TR/TR-SR -  g006-d Nicolas,0,10,gray=10
Fincgriffin - TR-CC-TR/TR-SR - g001-d Icaro,0,10,gray=10
Fincgriffin - TR-CC-TR/TR-SR - g003-d Isliago,0,10,gray=10
Fincgriffin - TR-CC-TR/TR-SR - g004-d Joe,0,10,gray=10
Fincgriffin - TR-CC-TR/TR-SR - g005-d Kelly,0,10,gray=10
Fincgriffin - US-CAR-EN/EN - JBF - g001-d,1,20,gray=20
Fincgriffin - US-CAR-EN/EN - JBF - g002-d,1,20,gray=20
Fincgriffin - US-CAR-EN/EN - JBF - g003-d,1,20,gray=20
Fincgriffin - US-CAR-EN/EN - JBF - g004-d,1,20,gray=20
Fincgriffin - US-CAR-EN/EN - JBF - g005-d,1,20,gray=20
Fincgriffin - US-CAR-EN/EN - JBF - g006-d,1,20,gray=20
Helixenit - DE-CC-DE/DE-SR - g005-d Kelly,1,20,gray=20
Helixenit - MX-CC-ES/ES-ZW-SR - g005-d Kelly,5,20,gray=20
Helixenit - US-CC-EN/EN-SR - g005-d Kelly,0,10,gray=10
Helixenit - US-CC-ES/ES-ZW-SR - g005-d Kelly,0,10,gray=10
Infinitynexx - MX-CC-ES/ES-ZW-SR - g004-d Joe,7,20,gray=20
Infinitynexx - US-CC-EN/EN-SR - g004-d Joe,0,10,gray=10
Infinitynexx - US-CC-ES/ES-ZW-SR - g004-d Joe,1,20,gray=20
Lyzmo - GB-CC-EN/EN-SR - g006-d Nicolas,2,20,gray=20
Lyzmo - US-CC-EN/EN-SR - g006-d Nicolas,56,20,gray=20
Lyzmo Finanzas - US-CC-ES/ES-ZW-SR - g006-d Nicolas,9,20,gray=20
Marevelx - DE-CC-DE/DE-SR - g001-d Icaro,6,20,gray=20
Marevelx - US-CC-EN/EN-SR - g001-d Icaro,0,10,gray=10
Marevelx - US-CC-ES/ES-ZW-SR - g001-d Icaro,0,10,gray=10
Newsoun - DE-CC-DE/DE-SR - g005-d Kelly,19,20,gray=20
Newsoun - GB-CC-EN/EN-SR - g005-d Kelly,1,20,gray=20
Newsoun - US-CC-EN/EN-SR - g005-d Kelly,41,20,gray=20
Newsoun - US-CC-ES/ES-ZW-SR - g005-d Kelly,3,20,gray=20
Openzed - ES-CC-ES/ES-ZW - AV - g003-d Isliago,13,20,gray=20
Openzed - GB-CC-EN/EN - AV - g003-d Isliago,6,20,gray=20
Openzed - US-CC-EN/EN - AV - g001-d Icaro,8,20,gray=20
Openzed - US-CC-EN/EN - AV - g003-d Isliago,179,20,gray=20
Openzed - US-CC-ES/ES-ZW - AV - g001-d Icaro,0,10,gray=10
Openzed - US-CC-ES/ES-ZW - AV - g003-d Isliago,88,20,gray=20
Portal - US-CC-EN/EN - AV - g001-d Icaro,0,10,gray=10
Portal - US-CC-ES/ES-ZW - AV - g001-d Icaro,0,10,gray=10
Spe - US-JOB-EN/EN - AV - g006-d Nicolas,0,10,gray=10
Spe - US-JOB-ES/ES-ZW - AV - g006-d Nicolas,4,20,gray=20
Vizioid - MX-CC-ES/ES-ZW-SR - g002-d Gustavo,0,10,gray=10
Vizioid - US-CC-EN/EN-SR - g002-d Gustavo,0,10,gray=10
Vizioid - US-CC-ES/ES-ZW-SR - g002-d Gustavo,0,10,gray=10
Wantabrand - ES-CC-ES/ES-ZW - M2 - g001-d Icaro,0,10,gray=10
Wantabrand - GB-CC-EN/EN - M2 - g001-d Icaro,0,10,gray=10
Wantabrand - US-CC-ES/ES-ZW - M2 - g001-d Icaro,0,10,gray=10
Wavesbee - US-CC-EN/EN - YM - g003-d Isliago,0,10,gray=10
Wavesbee - US-CC-ES/ES-ZW - YM - g003-d Isliago,0,10,gray=10
Xyvlov - DE-CC-DE/DE-SR - g003-d Isliago,42,20,gray=20
Xyvlov - US-CC-EN/EN-SR - g003-d Isliago,0,10,gray=10
Xyvlov - US-CC-ES/ES-ZW-SR - g003-d Isliago,1,20,gray=20
Zuout - GB-CC-EN/EN - AV - g002-d Gustavo,0,10,gray=10
Zuout - US-CC-EN/EN - AV - g002-d Gustavo,8,20,gray=20
Zuout - US-CC-ES/ES-ZW - AV - g002-d Gustavo,32,20,gray=20
Zytiva - GB-CC-EN/EN-SR - g003-d Isliago,9,20,gray=20
Zytiva - US-CC-EN/EN-SR - g003-d Isliago,65,20,gray=20
ZytivaFinanzas - ES-CC-ES/ES-ZW-SR - g003-d Isliago,0,10,gray=10
ZytivaFinanzas - US-CC-ES/ES-ZW-SR - g003-d Isliago,21,20,gray=20
