NAME,PAGES_LIVE,MESSAGES_LIVE,BROADCAST_PAGES_FIELD,COMPANY,LANGUAGE
Cliquet - GB-CC-EN/EN - AV - G002-d Gustavo,0,30,,digital-trust-2,EN
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,21,30,6,digital-trust-2,EN
Cliquet Finanzas - US-CC-ES/ES-ZW - AV - g002-d Gustavo,315,30,45,digital-trust,ES
Conecta - US-CC-EN/EN-SR - g001-d Icaro,0,30,,digital-trust,EN
Ducapes - US-CC-ES/ES-ZW-SR - g001-d Icaro,11,30,,digital-trust,ES
Ducapes Finance - US-CC-EN/EN-SR - g001-d Icaro,1,30,1,digital-trust,EN
Eggbev - GB-CC-EN/EN-SR - g006-d Nicolas,0,30,,digital-trust,EN
Eggbev - US-CC-EN/EN-SR - g006-d Nicolas,407,30,100,digital-trust,EN
Eggbev Finanzas - US-CC-ES/ES-ZW - AV - g006-d Nicolas,13,30,9,digital-trust,ES
Financeadx - AR-CC-ES/ES-ZW-SR - g006-d Nicolas,2,10,1,digital-trust,ES
Financeadx - CA-CC-EN/EN-SR - g006-d Nicolas,12,10,8,digital-trust,EN
Financeadx - MX-CC-ES/ES-ZW-SR - g006-d Nicolas,9,10,9,digital-trust,ES
Financeadx - US-CC-EN/EN-SR - g006-d Nicolas,0,30,,digital-trust,EN
Financeadx - US-CC-ES/ES-ZW-SR - g006-d Nicolas,0,30,,digital-trust,ES
Financeadx - ZA-CC-EN/EN-SR - g006-d Nicolas,4,10,4,digital-trust,EN
Financetopfeed - GB-CC-EN/EN-SR - g004-d Joe,1,30,1,digital-trust,EN
Financetopfeed - US-CC-EN/EN-SR - g004-d Joe,288,30,26,digital-trust,EN
Financetopfeed - US-CC-ES/ES-ZW-SR - g004-d Joe,251,30,19,digital-trust,ES
Fincgriffin - ES-CC-ES/ES-ZW-SR - g001-d Icaro,0,30,,digital-trust,ES
Fincgriffin - ES-CC-ES/ES-ZW-SR - g003-d Isliago,0,30,,digital-trust,ES
Fincgriffin - ES-CC-ES/ES-ZW-SR - g004-d Joe,0,30,,digital-trust,ES
Fincgriffin - ES-CC-ES/ES-ZW-SR - g005-d Kelly,0,30,,digital-trust,ES
Fincgriffin - ES-CC-ES/ES-ZW-SR - g006-d Nicolas,0,30,,digital-trust,ES
Fincgriffin - GB-CC-EN/EN-SR - g001-d Icaro,0,30,,digital-trust,EN
Fincgriffin - GB-CC-EN/EN-SR - g003-d Isliago,0,30,,digital-trust,EN
Fincgriffin - GB-CC-EN/EN-SR - g004-d Joe,0,30,,digital-trust,EN
Fincgriffin - GB-CC-EN/EN-SR - g005-d Kelly,0,30,,digital-trust,EN
Fincgriffin - GB-CC-EN/EN-SR - g006-d Nicolas,0,30,,digital-trust,EN
Fincgriffin - TR-CC-TR/TR-SR -  g006-d Nicolas,0,10,,digital-trust,TR
Fincgriffin - TR-CC-TR/TR-SR - g001-d Icaro,0,10,,digital-trust,TR
Fincgriffin - TR-CC-TR/TR-SR - g003-d Isliago,0,10,,digital-trust,TR
Fincgriffin - TR-CC-TR/TR-SR - g004-d Joe,0,10,,digital-trust,TR
Fincgriffin - TR-CC-TR/TR-SR - g005-d Kelly,0,10,,digital-trust,TR
