NAME,PAGES_LIVE,MESSAGES_LIVE,BROADCAST_PAGES_FIELD,COMPANY,LANGUAGE
Cliquet - GB-CC-EN/EN - AV - G002-d Gustavo,0,20,,digital-trust-2,EN
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,0,20,6,digital-trust-2,EN
Cliquet Finanzas - US-CC-ES/ES-ZW - AV - g002-d Gustavo,315,20,45,digital-trust,ES
Conecta - US-CC-EN/EN-SR - g001-d Icaro,0,20,,digital-trust,EN
Ducapes - US-CC-ES/ES-ZW-SR - g001-d Icaro,11,20,,digital-trust,ES
Ducapes Finance - US-CC-EN/EN-SR - g001-d Icaro,1,20,1,digital-trust,EN
Eggbev - GB-CC-EN/EN-SR - g006-d Nicolas,0,20,,digital-trust,EN
Eggbev - US-CC-EN/EN-SR - g006-d Nicolas,407,20,100,digital-trust,EN
Eggbev Finanzas - US-CC-ES/ES-ZW - AV - g006-d Nicolas,13,20,9,digital-trust,ES
Financeadx - AR-CC-ES/ES-ZW-SR - g006-d Nicolas,2,10,1,digital-trust,ES
Financeadx - CA-CC-EN/EN-SR - g006-d Nicolas,12,10,8,digital-trust,EN
Financeadx - MX-CC-ES/ES-ZW-SR - g006-d Nicolas,9,10,9,digital-trust,ES
Financeadx - US-CC-EN/EN-SR - g006-d Nicolas,0,20,,digital-trust,EN
Financeadx - US-CC-ES/ES-ZW-SR - g006-d Nicolas,0,20,,digital-trust,ES
Financeadx - ZA-CC-EN/EN-SR - g006-d Nicolas,4,10,4,digital-trust,EN
Financetopfeed - GB-CC-EN/EN-SR - g004-d Joe,1,20,1,digital-trust,EN
Financetopfeed - US-CC-EN/EN-SR - g004-d Joe,288,20,26,digital-trust,EN
Financetopfeed - US-CC-ES/ES-ZW-SR - g004-d Joe,251,20,19,digital-trust,ES
Fincgriffin - ES-CC-ES/ES-ZW-SR - g001-d Icaro,0,20,,digital-trust,ES
Fincgriffin - ES-CC-ES/ES-ZW-SR - g003-d Isliago,0,20,,digital-trust,ES
Fincgriffin - ES-CC-ES/ES-ZW-SR - g004-d Joe,0,20,,digital-trust,ES
Fincgriffin - ES-CC-ES/ES-ZW-SR - g005-d Kelly,0,20,,digital-trust,ES
Fincgriffin - ES-CC-ES/ES-ZW-SR - g006-d Nicolas,0,20,,digital-trust,ES
Fincgriffin - GB-CC-EN/EN-SR - g001-d Icaro,0,20,,digital-trust,EN
Fincgriffin - GB-CC-EN/EN-SR - g003-d Isliago,0,20,,digital-trust,EN
Fincgriffin - GB-CC-EN/EN-SR - g004-d Joe,0,20,,digital-trust,EN
Fincgriffin - GB-CC-EN/EN-SR - g005-d Kelly,0,20,,digital-trust,EN
Fincgriffin - GB-CC-EN/EN-SR - g006-d Nicolas,0,20,,digital-trust,EN
Fincgriffin - TR-CC-TR/TR-SR -  g006-d Nicolas,0,10,,digital-trust,TR
Fincgriffin - TR-CC-TR/TR-SR - g001-d Icaro,0,10,,digital-trust,TR
Fincgriffin - TR-CC-TR/TR-SR - g003-d Isliago,0,10,,digital-trust,TR
Fincgriffin - TR-CC-TR/TR-SR - g004-d Joe,0,10,,digital-trust,TR
Fincgriffin - TR-CC-TR/TR-SR - g005-d Kelly,0,10,,digital-trust,TR
Fincgriffin - US-CAR-EN/EN - JBF - g001-d,1,10,1,digital-trust,EN
Fincgriffin - US-CAR-EN/EN - JBF - g002-d,1,10,1,digital-trust,EN
Fincgriffin - US-CAR-EN/EN - JBF - g003-d,1,10,1,digital-trust,EN
Fincgriffin - US-CAR-EN/EN - JBF - g004-d,1,10,1,digital-trust,EN
Fincgriffin - US-CAR-EN/EN - JBF - g005-d,1,10,1,digital-trust,EN
Fincgriffin - US-CAR-EN/EN - JBF - g006-d,1,10,1,digital-trust,EN
Helixenit - DE-CC-DE/DE-SR - g005-d Kelly,10,10,1,digital-trust,DE
Helixenit - MX-CC-ES/ES-ZW-SR - g005-d Kelly,5,10,5,digital-trust,ES
Helixenit - US-CC-EN/EN-SR - g005-d Kelly,0,20,,digital-trust,EN
Helixenit - US-CC-ES/ES-ZW-SR - g005-d Kelly,2,20,,digital-trust,ES
Infinitynexx - MX-CC-ES/ES-ZW-SR - g004-d Joe,8,10,7,digital-trust,ES
Infinitynexx - US-CC-EN/EN-SR - g004-d Joe,1,20,,digital-trust,EN
Infinitynexx - US-CC-ES/ES-ZW-SR - g004-d Joe,2,20,1,digital-trust,ES
Lyzmo - GB-CC-EN/EN-SR - g006-d Nicolas,2,20,2,digital-trust,EN
