group,template,pages,msgs,motivo
COM_PAGINA,Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,6,20,gray=20
COM_PAGINA,Cliquet Finanzas - US-CC-ES/ES-ZW - AV - g002-d Gustavo,45,20,gray=20
COM_PAGINA,Ducapes Finance - US-CC-EN/EN-SR - g001-d Icaro,1,20,gray=20
COM_PAGINA,Eggbev - US-CC-EN/EN-SR - g006-d Nicolas,100,20,gray=20
COM_PAGINA,Eggbev Finanzas - US-CC-ES/ES-ZW - AV - g006-d Nicolas,9,20,gray=20
COM_PAGINA,Financeadx - AR-CC-ES/ES-ZW-SR - g006-d Nicolas,1,20,gray=20
COM_PAGINA,Financeadx - CA-CC-EN/EN-SR - g006-d Nicolas,8,20,gray=20
COM_PAGINA,Financeadx - MX-CC-ES/ES-ZW-SR - g006-d Nicolas,9,20,gray=20
COM_PAGINA,Financeadx - ZA-CC-EN/EN-SR - g006-d Nicolas,4,20,gray=20
COM_PAGINA,Financetopfeed - GB-CC-EN/EN-SR - g004-d Joe,1,20,gray=20
COM_PAGINA,Financetopfeed - US-CC-EN/EN-SR - g004-d Joe,26,20,gray=20
COM_PAGINA,Financetopfeed - US-CC-ES/ES-ZW-SR - g004-d Joe,19,20,gray=20
COM_PAGINA,Fincgriffin - US-CAR-EN/EN - JBF - g001-d,1,20,gray=20
COM_PAGINA,Fincgriffin - US-CAR-EN/EN - JBF - g002-d,1,20,gray=20
COM_PAGINA,Fincgriffin - US-CAR-EN/EN - JBF - g003-d,1,20,gray=20
COM_PAGINA,Fincgriffin - US-CAR-EN/EN - JBF - g004-d,1,20,gray=20
COM_PAGINA,Fincgriffin - US-CAR-EN/EN - JBF - g005-d,1,20,gray=20
COM_PAGINA,Fincgriffin - US-CAR-EN/EN - JBF - g006-d,1,20,gray=20
COM_PAGINA,Helixenit - DE-CC-DE/DE-SR - g005-d Kelly,1,20,gray=20
COM_PAGINA,Helixenit - MX-CC-ES/ES-ZW-SR - g005-d Kelly,5,20,gray=20
COM_PAGINA,Infinitynexx - MX-CC-ES/ES-ZW-SR - g004-d Joe,7,20,gray=20
COM_PAGINA,Infinitynexx - US-CC-ES/ES-ZW-SR - g004-d Joe,1,20,gray=20
COM_PAGINA,Lyzmo - GB-CC-EN/EN-SR - g006-d Nicolas,2,20,gray=20
COM_PAGINA,Lyzmo - US-CC-EN/EN-SR - g006-d Nicolas,56,20,gray=20
COM_PAGINA,Lyzmo Finanzas - US-CC-ES/ES-ZW-SR - g006-d Nicolas,9,20,gray=20
COM_PAGINA,Marevelx - DE-CC-DE/DE-SR - g001-d Icaro,6,20,gray=20
COM_PAGINA,Newsoun - DE-CC-DE/DE-SR - g005-d Kelly,19,20,gray=20
COM_PAGINA,Newsoun - GB-CC-EN/EN-SR - g005-d Kelly,1,20,gray=20
COM_PAGINA,Newsoun - US-CC-EN/EN-SR - g005-d Kelly,41,20,gray=20
COM_PAGINA,Newsoun - US-CC-ES/ES-ZW-SR - g005-d Kelly,3,20,gray=20
COM_PAGINA,Openzed - ES-CC-ES/ES-ZW - AV - g003-d Isliago,13,20,gray=20
COM_PAGINA,Openzed - GB-CC-EN/EN - AV - g003-d Isliago,6,20,gray=20
COM_PAGINA,Openzed - US-CC-EN/EN - AV - g001-d Icaro,8,20,gray=20
COM_PAGINA,Openzed - US-CC-EN/EN - AV - g003-d Isliago,179,20,gray=20
COM_PAGINA,Openzed - US-CC-ES/ES-ZW - AV - g003-d Isliago,88,20,gray=20
COM_PAGINA,Spe - US-JOB-ES/ES-ZW - AV - g006-d Nicolas,4,20,gray=20
COM_PAGINA,Xyvlov - DE-CC-DE/DE-SR - g003-d Isliago,42,20,gray=20
