template,pages,msgs,motivo,approved,gray,rejected,error,invalid
Cliquet - GB-CC-EN/EN - AV - G002-d Gustavo,0,30,gray=30,0,30,0,0,0
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,6,30,gray=30,0,30,0,0,0
Cliquet Finanzas - US-CC-ES/ES-ZW - AV - g002-d Gustavo,45,30,gray=30,0,30,0,0,0
Conecta - US-CC-EN/EN-SR - g001-d Icaro,0,30,gray=30,0,30,0,0,0
Ducapes - US-CC-ES/ES-ZW-SR - g001-d Icaro,0,30,gray=30,0,30,0,0,0
Ducapes Finance - US-CC-EN/EN-SR - g001-d Icaro,1,30,gray=30,0,30,0,0,0
Eggbev - GB-CC-EN/EN-SR - g006-d Nicolas,0,30,gray=30,0,30,0,0,0
Eggbev - US-CC-EN/EN-SR - g006-d Nicolas,100,30,bad=8 ERROR=8 | gray=22,0,22,0,8,0
Eggbev Finanzas - US-CC-ES/ES-ZW - AV - g006-d Nicolas,9,30,gray=30,0,30,0,0,0
Financeadx - AR-CC-ES/ES-ZW-SR - g006-d Nicolas,1,10,bad=2 REJECTED=2 | approved=8,8,0,2,0,0
Financeadx - CA-CC-EN/EN-SR - g006-d Nicolas,8,10,bad=10 ERROR=10,0,0,0,10,0
Financeadx - MX-CC-ES/ES-ZW-SR - g006-d Nicolas,9,10,bad=10 ERROR=10,0,0,0,10,0
Financeadx - US-CC-EN/EN-SR - g006-d Nicolas,0,30,gray=30,0,30,0,0,0
Financeadx - US-CC-ES/ES-ZW-SR - g006-d Nicolas,0,30,gray=30,0,30,0,0,0
Financeadx - ZA-CC-EN/EN-SR - g006-d Nicolas,4,10,approved=10,10,0,0,0,0
Financetopfeed - GB-CC-EN/EN-SR - g004-d Joe,1,30,gray=30,0,30,0,0,0
Financetopfeed - US-CC-EN/EN-SR - g004-d Joe,26,30,bad=9 ERROR=9 | gray=12 | approved=9,9,12,0,9,0
Financetopfeed - US-CC-ES/ES-ZW-SR - g004-d Joe,19,30,gray=10 | approved=20,20,10,0,0,0
Fincgriffin - ES-CC-ES/ES-ZW-SR - g001-d Icaro,0,30,gray=30,0,30,0,0,0
Fincgriffin - ES-CC-ES/ES-ZW-SR - g003-d Isliago,0,30,gray=30,0,30,0,0,0
Fincgriffin - ES-CC-ES/ES-ZW-SR - g004-d Joe,0,30,gray=30,0,30,0,0,0
Fincgriffin - ES-CC-ES/ES-ZW-SR - g005-d Kelly,0,30,gray=30,0,30,0,0,0
Fincgriffin - ES-CC-ES/ES-ZW-SR - g006-d Nicolas,0,30,gray=30,0,30,0,0,0
Fincgriffin - GB-CC-EN/EN-SR - g001-d Icaro,0,30,gray=30,0,30,0,0,0
Fincgriffin - GB-CC-EN/EN-SR - g003-d Isliago,0,30,gray=30,0,30,0,0,0
Fincgriffin - GB-CC-EN/EN-SR - g004-d Joe,0,30,gray=30,0,30,0,0,0
Fincgriffin - GB-CC-EN/EN-SR - g005-d Kelly,0,30,gray=30,0,30,0,0,0
Fincgriffin - GB-CC-EN/EN-SR - g006-d Nicolas,0,30,gray=30,0,30,0,0,0
Fincgriffin - TR-CC-TR/TR-SR -  g006-d Nicolas,0,10,gray=10,0,10,0,0,0
Fincgriffin - TR-CC-TR/TR-SR - g001-d Icaro,0,10,gray=10,0,10,0,0,0
Fincgriffin - TR-CC-TR/TR-SR - g003-d Isliago,0,10,gray=10,0,10,0,0,0
Fincgriffin - TR-CC-TR/TR-SR - g004-d Joe,0,10,gray=10,0,10,0,0,0
Fincgriffin - TR-CC-TR/TR-SR - g005-d Kelly,0,10,gray=10,0,10,0,0,0
Fincgriffin - US-CAR-EN/EN - JBF - g001-d,1,10,gray=6 | approved=4,4,6,0,0,0
Fincgriffin - US-CAR-EN/EN - JBF - g002-d,1,10,gray=7 | approved=3,3,7,0,0,0
Fincgriffin - US-CAR-EN/EN - JBF - g003-d,1,10,bad=10 REJECTED=6/ERROR=4,0,0,6,4,0
Fincgriffin - US-CAR-EN/EN - JBF - g004-d,1,10,bad=10 REJECTED=6/ERROR=4,0,0,6,4,0
Fincgriffin - US-CAR-EN/EN - JBF - g005-d,1,10,gray=7 | approved=3,3,7,0,0,0
Fincgriffin - US-CAR-EN/EN - JBF - g006-d,1,10,bad=10 REJECTED=6/ERROR=4,0,0,6,4,0
Helixenit - DE-CC-DE/DE-SR - g005-d Kelly,1,10,gray=10,0,10,0,0,0
Helixenit - MX-CC-ES/ES-ZW-SR - g005-d Kelly,5,10,bad=1 REJECTED=1 | approved=9,9,0,1,0,0
Helixenit - US-CC-EN/EN-SR - g005-d Kelly,0,30,gray=30,0,30,0,0,0
Helixenit - US-CC-ES/ES-ZW-SR - g005-d Kelly,0,30,gray=30,0,30,0,0,0
Infinitynexx - MX-CC-ES/ES-ZW-SR - g004-d Joe,7,10,bad=10 ERROR=10,0,0,0,10,0
Infinitynexx - US-CC-EN/EN-SR - g004-d Joe,0,30,gray=30,0,30,0,0,0
Infinitynexx - US-CC-ES/ES-ZW-SR - g004-d Joe,1,30,gray=30,0,30,0,0,0
