company,domain,language,template,pages,msgs,approved,rejected,invalid,error,gray,eta_seconds,run_approval_ok,run_approval_status
digital-trust,,ES,Cliquet Finanzas - US-CC-ES/ES-ZW - AV - g002-d Gustavo,45,20,3,6,0,11,0,7200,True,202
digital-trust,,EN,Ducapes Finance - US-CC-EN/EN-SR - g001-d Icaro,1,20,0,0,0,20,0,160,True,202
digital-trust,,EN,Eggbev - US-CC-EN/EN-SR - g006-d Nicolas,100,20,0,0,0,20,0,16000,True,202
digital-trust,,ES,Eggbev Finanzas - US-CC-ES/ES-ZW - AV - g006-d Nicolas,9,20,18,0,0,0,2,1440,True,202
digital-trust,,ES,Financeadx - AR-CC-ES/ES-ZW-SR - g006-d Nicolas,1,20,8,12,0,0,0,160,True,202
digital-trust,,EN,Financeadx - CA-CC-EN/EN-SR - g006-d Nicolas,8,20,0,0,0,20,0,1280,True,202
digital-trust,,ES,Financeadx - MX-CC-ES/ES-ZW-SR - g006-d Nicolas,9,20,0,0,0,20,0,1440,True,202
digital-trust,,EN,Financeadx - ZA-CC-EN/EN-SR - g006-d Nicolas,4,20,11,9,0,0,0,640,True,202
digital-trust,,EN,Financetopfeed - GB-CC-EN/EN-SR - g004-d Joe,1,20,4,16,0,0,0,160,True,202
digital-trust,,EN,Financetopfeed - US-CC-EN/EN-SR - g004-d Joe,26,20,1,0,0,19,0,4160,True,202
digital-trust,,ES,Financetopfeed - US-CC-ES/ES-ZW-SR - g004-d Joe,19,20,4,0,0,0,16,3040,True,202
digital-trust,,EN,Fincgriffin - US-CAR-EN/EN - JBF - g001-d,1,20,8,4,0,5,3,160,True,202
digital-trust,,EN,Fincgriffin - US-CAR-EN/EN - JBF - g002-d,1,20,8,4,0,5,3,160,True,202
digital-trust,,EN,Fincgriffin - US-CAR-EN/EN - JBF - g003-d,1,20,0,8,0,12,0,160,True,202
digital-trust,,EN,Fincgriffin - US-CAR-EN/EN - JBF - g004-d,1,20,0,11,0,9,0,160,True,202
digital-trust,,EN,Fincgriffin - US-CAR-EN/EN - JBF - g005-d,1,20,8,2,0,5,5,160,True,202
digital-trust,,EN,Fincgriffin - US-CAR-EN/EN - JBF - g006-d,1,20,0,8,0,12,0,160,True,202
digital-trust,,DE,Helixenit - DE-CC-DE/DE-SR - g005-d Kelly,1,20,8,5,0,0,7,160,True,202
digital-trust,,ES,Helixenit - MX-CC-ES/ES-ZW-SR - g005-d Kelly,5,20,0,15,0,5,0,800,True,202
digital-trust,,ES,Infinitynexx - MX-CC-ES/ES-ZW-SR - g004-d Joe,7,20,0,0,0,20,0,1120,True,202
digital-trust,,ES,Infinitynexx - US-CC-ES/ES-ZW-SR - g004-d Joe,1,20,9,0,0,0,11,160,True,202
digital-trust,,EN,Lyzmo - GB-CC-EN/EN-SR - g006-d Nicolas,2,20,0,8,0,12,0,320,True,202
digital-trust,,EN,Lyzmo - US-CC-EN/EN-SR - g006-d Nicolas,56,20,0,9,0,11,0,8960,True,202
digital-trust,,ES,Lyzmo Finanzas - US-CC-ES/ES-ZW-SR - g006-d Nicolas,9,20,0,17,0,3,0,1440,True,202
digital-trust,,DE,Marevelx - DE-CC-DE/DE-SR - g001-d Icaro,6,20,8,10,0,0,2,960,True,202
digital-trust,,DE,Newsoun - DE-CC-DE/DE-SR - g005-d Kelly,19,20,8,10,0,0,2,3040,True,202
digital-trust,,EN,Newsoun - GB-CC-EN/EN-SR - g005-d Kelly,1,20,8,0,0,0,12,160,True,202
digital-trust,,EN,Newsoun - US-CC-EN/EN-SR - g005-d Kelly,41,20,0,0,0,20,0,6560,True,202
digital-trust,,ES,Newsoun - US-CC-ES/ES-ZW-SR - g005-d Kelly,3,20,15,0,0,0,5,480,True,202
digital-trust,,EN,Openzed - US-CC-EN/EN - AV - g001-d Icaro,8,20,0,13,0,7,0,1280,True,202
digital-trust,,ES,Spe - US-JOB-ES/ES-ZW - AV - g006-d Nicolas,4,20,0,7,0,13,0,640,True,202
digital-trust,,DE,Xyvlov - DE-CC-DE/DE-SR - g003-d Isliago,42,20,2,16,0,2,0,6720,True,202
digital-trust,,ES,Xyvlov - US-CC-ES/ES-ZW-SR - g003-d Isliago,2,20,20,0,0,0,0,320,True,202
digital-trust,,EN,Zytiva - GB-CC-EN/EN-SR - g003-d Isliago,9,20,20,0,0,0,0,1440,True,202
digital-trust,,EN,Zytiva - US-CC-EN/EN-SR - g003-d Isliago,65,20,0,0,0,20,0,10400,True,202
digital-trust,,ES,ZytivaFinanzas - US-CC-ES/ES-ZW-SR - g003-d Isliago,21,20,10,0,0,10,0,3360,True,202
digital-trust-2,,EN,Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,6,20,0,0,0,20,0,960,True,202
digital-trust-2,,ES,Openzed - ES-CC-ES/ES-ZW - AV - g003-d Isliago,13,20,15,0,0,0,5,2080,True,202
digital-trust-2,,EN,Openzed - GB-CC-EN/EN - AV - g003-d Isliago,6,20,14,0,0,0,6,960,True,202
digital-trust-2,,EN,Openzed - US-CC-EN/EN - AV - g003-d Isliago,179,20,2,0,0,17,1,28640,True,202
digital-trust-2,,ES,Openzed - US-CC-ES/ES-ZW - AV - g003-d Isliago,88,20,0,2,0,18,0,14080,True,202
digital-trust-2,,EN,Zuout - US-CC-EN/EN - AV - g002-d Gustavo,8,20,0,0,0,20,0,1280,True,202
digital-trust-2,,ES,Zuout - US-CC-ES/ES-ZW - AV - g002-d Gustavo,32,20,0,2,0,17,1,5120,True,202
