template,pages,msgs,motivo,eta,eta_seconds,run_approval_ok,run_approval_status
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,6,20,gray=20,16m,960,True,202
Cliquet Finanzas - US-CC-ES/ES-ZW - AV - g002-d Gustavo,45,20,gray=20,2h00m,7200,True,202
Ducapes Finance - US-CC-EN/EN-SR - g001-d Icaro,1,20,bad=8 ERROR=8 | gray=12,2m40s,160,True,202
Eggbev - US-CC-EN/EN-SR - g006-d Nicolas,100,20,gray=20,4h26m,16000,True,202
Eggbev Finanzas - US-CC-ES/ES-ZW - AV - g006-d Nicolas,9,20,gray=20,24m,1440,True,202
Financeadx - AR-CC-ES/ES-ZW-SR - g006-d Nicolas,1,20,gray=20,2m40s,160,True,202
Financeadx - CA-CC-EN/EN-SR - g006-d Nicolas,8,20,gray=20,21m20s,1280,True,202
Financeadx - MX-CC-ES/ES-ZW-SR - g006-d Nicolas,9,20,gray=20,24m,1440,True,202
Financeadx - ZA-CC-EN/EN-SR - g006-d Nicolas,4,20,gray=20,10m40s,640,True,202
Financetopfeed - GB-CC-EN/EN-SR - g004-d Joe,1,20,gray=20,2m40s,160,True,202
Financetopfeed - US-CC-EN/EN-SR - g004-d Joe,26,20,gray=20,1h09m,4160,True,202
Financetopfeed - US-CC-ES/ES-ZW-SR - g004-d Joe,19,20,gray=20,50m40s,3040,True,202
Fincgriffin - US-CAR-EN/EN - JBF - g001-d,1,20,gray=20,2m40s,160,True,202
Fincgriffin - US-CAR-EN/EN - JBF - g002-d,1,20,gray=20,2m40s,160,True,202
Fincgriffin - US-CAR-EN/EN - JBF - g003-d,1,20,gray=20,2m40s,160,True,202
Fincgriffin - US-CAR-EN/EN - JBF - g004-d,1,20,gray=20,2m40s,160,True,202
Fincgriffin - US-CAR-EN/EN - JBF - g005-d,1,20,gray=20,2m40s,160,True,202
Fincgriffin - US-CAR-EN/EN - JBF - g006-d,1,20,gray=20,2m40s,160,True,202
Helixenit - DE-CC-DE/DE-SR - g005-d Kelly,1,20,gray=20,2m40s,160,True,202
Helixenit - MX-CC-ES/ES-ZW-SR - g005-d Kelly,5,20,gray=20,13m20s,800,True,202
Infinitynexx - MX-CC-ES/ES-ZW-SR - g004-d Joe,7,20,gray=20,18m40s,1120,True,202
Infinitynexx - US-CC-ES/ES-ZW-SR - g004-d Joe,1,20,gray=20,2m40s,160,True,202
Lyzmo - GB-CC-EN/EN-SR - g006-d Nicolas,2,20,gray=20,5m20s,320,True,202
Lyzmo - US-CC-EN/EN-SR - g006-d Nicolas,56,20,bad=15 REJECTED=1/ERROR=14 | gray=5,2h29m,8960,True,202
Lyzmo Finanzas - US-CC-ES/ES-ZW-SR - g006-d Nicolas,9,20,bad=8 REJECTED=8 | gray=12,24m,1440,True,202
Marevelx - DE-CC-DE/DE-SR - g001-d Icaro,6,20,gray=20,16m,960,True,202
Newsoun - DE-CC-DE/DE-SR - g005-d Kelly,19,20,gray=20,50m40s,3040,True,202
Newsoun - GB-CC-EN/EN-SR - g005-d Kelly,1,20,gray=20,2m40s,160,True,202
Newsoun - US-CC-EN/EN-SR - g005-d Kelly,41,20,bad=20 ERROR=20,1h49m,6560,True,202
Newsoun - US-CC-ES/ES-ZW-SR - g005-d Kelly,3,20,gray=19 | approved=1,8m,480,True,202
Openzed - ES-CC-ES/ES-ZW - AV - g003-d Isliago,13,20,gray=20,34m40s,2080,True,202
Openzed - GB-CC-EN/EN - AV - g003-d Isliago,6,20,gray=20,16m,960,True,202
Openzed - US-CC-EN/EN - AV - g001-d Icaro,8,20,gray=20,21m20s,1280,True,202
Openzed - US-CC-EN/EN - AV - g003-d Isliago,179,20,gray=13 | approved=7,7h57m,28640,True,202
Openzed - US-CC-ES/ES-ZW - AV - g003-d Isliago,88,20,gray=14 | approved=6,3h54m,14080,True,202
Spe - US-JOB-ES/ES-ZW - AV - g006-d Nicolas,4,20,gray=20,10m40s,640,True,202
Xyvlov - DE-CC-DE/DE-SR - g003-d Isliago,42,20,gray=20,1h52m,6720,True,202
Xyvlov - US-CC-ES/ES-ZW-SR - g003-d Isliago,1,20,gray=20,2m40s,160,True,202
Zuout - US-CC-EN/EN - AV - g002-d Gustavo,8,20,gray=20,21m20s,1280,True,202
Zuout - US-CC-ES/ES-ZW - AV - g002-d Gustavo,32,20,gray=20,1h25m,5120,True,202
Zytiva - GB-CC-EN/EN-SR - g003-d Isliago,9,20,gray=20,24m,1440,True,202
Zytiva - US-CC-EN/EN-SR - g003-d Isliago,65,20,gray=20,2h53m,10400,True,202
ZytivaFinanzas - US-CC-ES/ES-ZW-SR - g003-d Isliago,21,20,gray=20,56m,3360,True,202
