COMPANY,DOMAIN,LANGUAGE,NAME,MESSAGES,LEADS,PAGES,APPROVAL
digital-trust,newsoun,EN,Newsoun - US-CC-EN/EN-SR - g005-d Kelly,201,67250,155,
digital-trust,marevelx,DE,Marevelx - DE-CC-DE/DE-SR - g001-d Icaro,60,2825,12,
digital-trust,newsounde,DE,Newsoun - DE-CC-DE/DE-SR - g005-d Kelly,60,9421,51,
digital-trust,xyvlov,DE,Xyvlov - DE-CC-DE/DE-SR - g003-d Isliago,60,13089,59,
digital-trust,conectageral,EN,Conecta - US-CC-EN/EN-SR - g001-d Icaro,69,,,
digital-trust,helixenit,DE,Helixenit - DE-CC-DE/DE-SR - g005-d Kelly,60,498,2,
digital-trust,vizioid,EN,Vizioid - US-CC-EN/EN-SR - g002-d Gustavo,69,,,
digital-trust,infinitynexx,EN,Infinitynexx - US-CC-EN/EN-SR - g004-d Joe,69,555,1,
digital-trust-2,cliquet,EN,Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,69,14486,19,
digital-trust-2,zuout,EN,Zuout - US-CC-EN/EN - AV - g002-d Gustavo,69,21559,25,
digital-trust-2,openzed,EN,Openzed - US-CC-EN/EN - AV - g003-d Isliago,69,269322,385,
digital-trust-2,wavesbee,EN,Wavesbee - US-CC-EN/EN - YM - g003-d Isliago,69,1618,1,
digital-trust,xyvlov,EN,Xyvlov - US-CC-EN/EN-SR - g003-d Isliago,69,,,
digital-trust,marevelx,EN,Marevelx - US-CC-EN/EN-SR - g001-d Icaro,69,2768,16,
digital-trust,helixenit,EN,Helixenit - US-CC-EN/EN-SR - g005-d Kelly,69,,,
digital-trust,financeadx,EN,Financeadx - CA-CC-EN/EN-SR - g006-d Nicolas,58,5616,12,
digital-trust,cliquetfinanzas,ES,Cliquet Finanzas - US-CC-ES/ES-ZW - AV - g002-d Gustavo,60,57789,259,
digital-trust,financeadx,EN,Financeadx - US-CC-EN/EN-SR - g006-d Nicolas,69,,,
digital-trust,spe,EN,Spe - US-JOB-EN/EN - AV - g006-d Nicolas,60,180,1,
digital-trust,spe,ES,Spe - US-JOB-ES/ES-ZW - AV - g006-d Nicolas,60,12042,171,
digital-trust-2,zuoutfinanzas,ES,Zuout - US-CC-ES/ES-ZW - AV - g002-d Gustavo,60,60404,136,
digital-trust-2,wavesbeefinanzas,ES,Wavesbee - US-CC-ES/ES-ZW - YM - g003-d Isliago,60,,,
digital-trust,portalrelevantefinanzas,ES,Portal - US-CC-ES/ES-ZW - AV - g001-d Icaro,60,286,1,
digital-trust,financeadx,EN,Financeadx - ZA-CC-EN/EN-SR - g006-d Nicolas,69,3246,4,
digital-trust,financeadx,ES,Financeadx - AR-CC-ES/ES-ZW-SR - g006-d Nicolas,60,2022,2,
digital-trust,financeadx,ES,Financeadx - MX-CC-ES/ES-ZW-SR - g006-d Nicolas,60,23410,9,
digital-trust,xyvlov,ES,Xyvlov - US-CC-ES/ES-ZW-SR - g003-d Isliago,60,7752,1,
digital-trust,marevelx,ES,Marevelx - US-CC-ES/ES-ZW-SR - g001-d Icaro,60,,,
digital-trust-2,cliquet,EN,NAO USAR - Cliquet - BD-US-LOAN-EN/EN - AV,30,,,
digital-trust,eggbev,EN,NAO USAR - Eggbev - MSGS US CAR LOAN EN - Active View,30,,,
digital-trust,lyzmo,EN,NAO USAR - Lyzmo - MSGS US CAR LOAN EN,30,,,
digital-trust,newsoun,EN,NAO USAR - Newsoun - MSGS US CAR LOAN EN,30,,,
digital-trust-2,openzed,EN,NAO USAR - Openzed - MSGS US CAR LOAN EN - Active View,30,,,
digital-trust,topfeed,EN,NAO USAR - Financetopfeed - MSGS US CAR LOAN EN,30,,,
digital-trust,infinitynexx,ES,Infinitynexx - US-CC-ES/ES-ZW-SR - g004-d Joe,60,186,2,
digital-trust,helixenit,ES,Helixenit - US-CC-ES/ES-ZW-SR - g005-d Kelly,60,260,2,
digital-trust,financeadx,ES,Financeadx - US-CC-ES/ES-ZW-SR - g006-d Nicolas,60,,,
digital-trust,vizioid,ES,Vizioid - US-CC-ES/ES-ZW-SR - g002-d Gustavo,60,79,1,
digital-trust,topfeedfinanzas,ES,Financetopfeed - US-CC-ES/ES-ZW-SR - g004-d Joe,60,64930,196,
digital-trust,topfeed,EN,NAO USAR - Financetopfeed - MSGS USA CC EN/EN - SMART ROUTER postbackid,60,,,
digital-trust,ducapes,ES,Ducapes - US-CC-ES/ES-ZW-SR - g001-d Icaro,60,820,10,
digital-trust,zytiva,EN,Zytiva - US-CC-EN/EN-SR - g003-d Isliago,69,77036,112,
digital-trust,zytivafinanzas,ES,ZytivaFinanzas - US-CC-ES/ES-ZW-SR - g003-d Isliago,60,30175,56,
digital-trust,eggbev,EN,Eggbev - US-CC-EN/EN-SR - g006-d Nicolas,69,113354,342,
digital-trust,lyzmo,EN,Lyzmo - US-CC-EN/EN-SR - g006-d Nicolas,69,65749,102,
digital-trust,portalrelevante,EN,Portal - US-CC-EN/EN - AV - g001-d Icaro,69,,,
