COMPANY,DOMAIN,LANGUAGE,NAME,MESSAGES,LEADS,PAGES,APPROVAL,COUNTRY,VERTICAL,LANGUAGE_PARSED,COMBO,PATTERN_FOUND,APPROVED_MSGS,REJECTED_MSGS,INVALID_FORMAT_MSGS,ERROR_MSGS
digital-trust,newsoun,EN,Newsoun - US-CC-EN/EN-SR - g005-d Kelly,70,67420,156,A:18 R:0 I:0 E:66,US,CC,EN,US-CC-EN,US-CC-EN/EN-SR,18,0,0,66
digital-trust,marevelx,DE,Marevelx - DE-CC-DE/DE-SR - g001-d Icaro,60,2820,12,A:0 R:24 I:0 E:12,DE,CC,DE,DE-CC-DE,DE-CC-DE/DE-SR,0,24,0,12
digital-trust,newsounde,DE,Newsoun - DE-CC-DE/DE-SR - g005-d Kelly,60,9421,51,A:0 R:48 I:0 E:26,DE,CC,DE,DE-CC-DE,DE-CC-DE/DE-SR,0,48,0,26
digital-trust,xyvlov,DE,Xyvlov - DE-CC-DE/DE-SR - g003-d Isliago,60,13081,59,A:0 R:26 I:0 E:0,DE,CC,DE,DE-CC-DE,DE-CC-DE/DE-SR,0,26,0,0
digital-trust,conectageral,EN,Conecta - US-CC-EN/EN-SR - g001-d Icaro,70,,,,US,CC,EN,US-CC-EN,US-CC-EN/EN-SR,0,0,0,0
digital-trust,helixenit,DE,Helixenit - DE-CC-DE/DE-SR - g005-d Kelly,60,498,2,A:0 R:13 I:0 E:0,DE,CC,DE,DE-CC-DE,DE-CC-DE/DE-SR,0,13,0,0
digital-trust,vizioid,EN,Vizioid - US-CC-EN/EN-SR - g002-d Gustavo,70,,,,US,CC,EN,US-CC-EN,US-CC-EN/EN-SR,0,0,0,0
digital-trust,infinitynexx,EN,Infinitynexx - US-CC-EN/EN-SR - g004-d Joe,70,555,1,A:12 R:0 I:0 E:0,US,CC,EN,US-CC-EN,US-CC-EN/EN-SR,12,0,0,0
digital-trust-2,cliquet,EN,Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,70,14376,19,A:5 R:34 I:0 E:47,US,CC,EN,US-CC-EN,US-CC-EN/EN,5,34,0,47
digital-trust-2,zuout,EN,Zuout - US-CC-EN/EN - AV - g002-d Gustavo,70,21349,25,A:42 R:12 I:0 E:28,US,CC,EN,US-CC-EN,US-CC-EN/EN,42,12,0,28
digital-trust-2,openzed,EN,Openzed - US-CC-EN/EN - AV - g003-d Isliago,70,266262,385,A:70 R:68 I:0 E:68,US,CC,EN,US-CC-EN,US-CC-EN/EN,70,68,0,68
digital-trust-2,wavesbee,EN,Wavesbee - US-CC-EN/EN - YM - g003-d Isliago,70,1616,1,A:0 R:0 I:0 E:12,US,CC,EN,US-CC-EN,US-CC-EN/EN,0,0,0,12
digital-trust,xyvlov,EN,Xyvlov - US-CC-EN/EN-SR - g003-d Isliago,70,,,,US,CC,EN,US-CC-EN,US-CC-EN/EN-SR,0,0,0,0
digital-trust,marevelx,EN,Marevelx - US-CC-EN/EN-SR - g001-d Icaro,70,2768,16,A:0 R:0 I:0 E:25,US,CC,EN,US-CC-EN,US-CC-EN/EN-SR,0,0,0,25
digital-trust,helixenit,EN,Helixenit - US-CC-EN/EN-SR - g005-d Kelly,70,,,,US,CC,EN,US-CC-EN,US-CC-EN/EN-SR,0,0,0,0
digital-trust,financeadx,EN,Financeadx - CA-CC-EN/EN-SR - g006-d Nicolas,58,5616,12,,CA,CC,EN,CA-CC-EN,CA-CC-EN/EN-SR,0,0,0,0
digital-trust,cliquetfinanzas,ES,Cliquet Finanzas - US-CC-ES/ES-ZW - AV - g002-d Gustavo,70,57789,259,A:11 R:60 I:0 E:54,US,CC,ES,US-CC-ES,US-CC-ES/ES-ZW,11,60,0,54
digital-trust,financeadx,EN,Financeadx - US-CC-EN/EN-SR - g006-d Nicolas,70,,,,US,CC,EN,US-CC-EN,US-CC-EN/EN-SR,0,0,0,0
digital-trust,spe,EN,Spe - US-JOB-EN/EN - AV - g006-d Nicolas,60,180,1,A:0 R:0 I:0 E:12,US,JOB,EN,US-JOB-EN,US-JOB-EN/EN,0,0,0,12
digital-trust,spe,ES,Spe - US-JOB-ES/ES-ZW - AV - g006-d Nicolas,60,11989,171,A:0 R:51 I:0 E:51,US,JOB,ES,US-JOB-ES,US-JOB-ES/ES-ZW,0,51,0,51
digital-trust-2,zuoutfinanzas,ES,Zuout - US-CC-ES/ES-ZW - AV - g002-d Gustavo,70,60319,136,A:33 R:1 I:0 E:35,US,CC,ES,US-CC-ES,US-CC-ES/ES-ZW,33,1,0,35
digital-trust-2,wavesbeefinanzas,ES,Wavesbee - US-CC-ES/ES-ZW - YM - g003-d Isliago,70,,,,US,CC,ES,US-CC-ES,US-CC-ES/ES-ZW,0,0,0,0
digital-trust,portalrelevantefinanzas,ES,Portal - US-CC-ES/ES-ZW - AV - g001-d Icaro,70,286,1,A:0 R:0 I:0 E:12,US,CC,ES,US-CC-ES,US-CC-ES/ES-ZW,0,0,0,12
digital-trust,financeadx,EN,Financeadx - ZA-CC-EN/EN-SR - g006-d Nicolas,69,3246,4,,ZA,CC,EN,ZA-CC-EN,ZA-CC-EN/EN-SR,0,0,0,0
digital-trust,financeadx,ES,Financeadx - AR-CC-ES/ES-ZW-SR - g006-d Nicolas,60,2022,2,,AR,CC,ES,AR-CC-ES,AR-CC-ES/ES-ZW-SR,0,0,0,0
digital-trust,financeadx,ES,Financeadx - MX-CC-ES/ES-ZW-SR - g006-d Nicolas,60,23416,9,,MX,CC,ES,MX-CC-ES,MX-CC-ES/ES-ZW-SR,0,0,0,0
digital-trust,xyvlov,ES,Xyvlov - US-CC-ES/ES-ZW-SR - g003-d Isliago,70,7752,1,,US,CC,ES,US-CC-ES,US-CC-ES/ES-ZW-SR,0,0,0,0
digital-trust,marevelx,ES,Marevelx - US-CC-ES/ES-ZW-SR - g001-d Icaro,70,,,,US,CC,ES,US-CC-ES,US-CC-ES/ES-ZW-SR,0,0,0,0
digital-trust-2,cliquet,EN,NAO USAR - Cliquet - BD-US-LOAN-EN/EN - AV,30,,,,US,LOAN,EN,US-LOAN-EN,US-LOAN-EN/EN,0,0,0,0
digital-trust,eggbev,EN,NAO USAR - Eggbev - MSGS US CAR LOAN EN - Active View,30,,,,,,,,,0,0,0,0
digital-trust,lyzmo,EN,NAO USAR - Lyzmo - MSGS US CAR LOAN EN,30,,,,,,,,,0,0,0,0
digital-trust,newsoun,EN,NAO USAR - Newsoun - MSGS US CAR LOAN EN,30,,,,,,,,,0,0,0,0
digital-trust-2,openzed,EN,NAO USAR - Openzed - MSGS US CAR LOAN EN - Active View,30,,,,,,,,,0,0,0,0
digital-trust,topfeed,EN,NAO USAR - Financetopfeed - MSGS US CAR LOAN EN,30,,,,,,,,,0,0,0,0
digital-trust,infinitynexx,ES,Infinitynexx - US-CC-ES/ES-ZW-SR - g004-d Joe,70,186,2,,US,CC,ES,US-CC-ES,US-CC-ES/ES-ZW-SR,0,0,0,0
digital-trust,helixenit,ES,Helixenit - US-CC-ES/ES-ZW-SR - g005-d Kelly,70,260,2,A:12 R:0 I:0 E:0,US,CC,ES,US-CC-ES,US-CC-ES/ES-ZW-SR,12,0,0,0
digital-trust,financeadx,ES,Financeadx - US-CC-ES/ES-ZW-SR - g006-d Nicolas,70,,,,US,CC,ES,US-CC-ES,US-CC-ES/ES-ZW-SR,0,0,0,0
digital-trust,vizioid,ES,Vizioid - US-CC-ES/ES-ZW-SR - g002-d Gustavo,70,79,1,,US,CC,ES,US-CC-ES,US-CC-ES/ES-ZW-SR,0,0,0,0
digital-trust,topfeedfinanzas,ES,Financetopfeed - US-CC-ES/ES-ZW-SR - g004-d Joe,70,64920,196,A:20 R:0 I:0 E:41,US,CC,ES,US-CC-ES,US-CC-ES/ES-ZW-SR,20,0,0,41
digital-trust,topfeed,EN,NAO USAR - Financetopfeed - MSGS USA CC EN/EN - SMART ROUTER postbackid,60,,,,,,,,,0,0,0,0
digital-trust,ducapes,ES,Ducapes - US-CC-ES/ES-ZW-SR - g001-d Icaro,70,820,10,A:0 R:0 I:0 E:44,US,CC,ES,US-CC-ES,US-CC-ES/ES-ZW-SR,0,0,0,44
digital-trust,zytiva,EN,Zytiva - US-CC-EN/EN-SR - g003-d Isliago,70,77037,112,,US,CC,EN,US-CC-EN,US-CC-EN/EN-SR,0,0,0,0
digital-trust,zytivafinanzas,ES,ZytivaFinanzas - US-CC-ES/ES-ZW-SR - g003-d Isliago,70,30175,56,,US,CC,ES,US-CC-ES,US-CC-ES/ES-ZW-SR,0,0,0,0
digital-trust,eggbev,EN,Eggbev - US-CC-EN/EN-SR - g006-d Nicolas,70,113340,342,A:40 R:64 I:0 E:60,US,CC,EN,US-CC-EN,US-CC-EN/EN-SR,40,64,0,60
digital-trust,lyzmo,EN,Lyzmo - US-CC-EN/EN-SR - g006-d Nicolas,70,65714,102,A:43 R:1 I:0 E:58,US,CC,EN,US-CC-EN,US-CC-EN/EN-SR,43,1,0,58
digital-trust,portalrelevante,EN,Portal - US-CC-EN/EN - AV - g001-d Icaro,69,,,,US,CC,EN,US-CC-EN,US-CC-EN/EN,0,0,0,0
digital-trust,lyzmofinanzas,ES,Lyzmo Finanzas - US-CC-ES/ES-ZW-SR - g006-d Nicolas,70,9337,12,A:16 R:0 I:0 E:57,US,CC,ES,US-CC-ES,US-CC-ES/ES-ZW-SR,16,0,0,57
digital-trust,eggbevfinanzas,ES,Eggbev Finanzas - US-CC-ES/ES-ZW - AV - g006-d Nicolas,70,9081,11,A:0 R:51 I:0 E:0,US,CC,ES,US-CC-ES,US-CC-ES/ES-ZW,0,51,0,0
digital-trust,ducapesfinance,EN,Ducapes Finance - US-CC-EN/EN-SR - g001-d Icaro,70,671,1,A:0 R:0 I:0 E:12,US,CC,EN,US-CC-EN,US-CC-EN/EN-SR,0,0,0,12
digital-trust,newsounfinanzas,ES,Newsoun - US-CC-ES/ES-ZW-SR - g005-d Kelly,70,12057,38,A:33 R:2 I:0 E:56,US,CC,ES,US-CC-ES,US-CC-ES/ES-ZW-SR,33,2,0,56
digital-trust-2,wantabrand,ES,Wantabrand - US-CC-ES/ES-ZW - M2 - g001-d Icaro,70,8711,10,A:46 R:2 I:0 E:1,US,CC,ES,US-CC-ES,US-CC-ES/ES-ZW,46,2,0,1
digital-trust,ducapesfinance,EN,Openzed - US-CC-EN/EN - AV - g001-d Icaro,70,7247,12,A:1 R:54 I:0 E:12,US,CC,EN,US-CC-EN,US-CC-EN/EN,1,54,0,12
digital-trust,topfeed,EN,Financetopfeed - US-CC-EN/EN-SR - g004-d Joe,70,70749,218,A:36 R:37 I:0 E:17,US,CC,EN,US-CC-EN,US-CC-EN/EN-SR,36,37,0,17
digital-trust,newsoun,EN,NAO USAR - Newsoun - MSGS USA CC EN/EN - SMART ROUTER (postbackid),60,,,,,,,,,0,0,0,0
digital-trust,ducapes,ES,Openzed - US-CC-ES/ES-ZW - AV - g001-d Icaro,70,,,,US,CC,ES,US-CC-ES,US-CC-ES/ES-ZW,0,0,0,0
digital-trust,zytiva,EN,Zytiva - GB-CC-EN/EN-SR - g003-d Isliago,70,6258,9,A:1 R:50 I:0 E:0,GB,CC,EN,GB-CC-EN,GB-CC-EN/EN-SR,1,50,0,0
digital-trust-2,wantabrand,ES,Wantabrand - ES-CC-ES/ES-ZW - M2 - g001-d Icaro,70,,,,ES,CC,ES,ES-CC-ES,ES-CC-ES/ES-ZW,0,0,0,0
digital-trust-2,openzedfinanzas,ES,Openzed - US-CC-ES/ES-ZW - AV - g003-d Isliago,70,92841,199,A:67 R:50 I:0 E:61,US,CC,ES,US-CC-ES,US-CC-ES/ES-ZW,67,50,0,61
digital-trust-2,openzed,EN,Openzed - GB-CC-EN/EN - AV - g003-d Isliago,70,5283,6,A:12 R:0 I:0 E:0,GB,CC,EN,GB-CC-EN,GB-CC-EN/EN,12,0,0,0
digital-trust-2,openzed,EN,Openzed - US-CC-EN/EN - AV - g003-d Isliago 2 mensagens,69,,,,US,CC,EN,US-CC-EN,US-CC-EN/EN,0,0,0,0
