COMBO,COUNTRY,VERTICAL,LANGUAGE,TEMPLATES,MESSAGES,LEADS,PAGES,DOMAINS_COUNT,DOMAINS,EXAMPLES
UNPARSED,,,,1,206,230,1,1,newsoun,teste1
AR-CC-ES,AR,CC,ES,1,60,2022,2,1,financeadx,Financeadx - AR-CC-ES/ES-ZW-SR - g006-d Nicolas
CA-CC-EN,CA,CC,EN,1,58,5616,12,1,financeadx,Financeadx - CA-CC-EN/EN-SR - g006-d Nicolas
DE-CC-DE,DE,CC,DE,4,240,25833,124,4,"helixenit, marevelx, newsounde, xyvlov",Marevelx - DE-CC-DE/DE-SR - g001-d Icaro | Newsoun - DE-CC-DE/DE-SR - g005-d Kelly | Xyvlov - DE-CC-DE/DE-SR - g003-d Isliago
ES-CC-ES,ES,CC,ES,8,480,13337,13,4,"fincgriffin, openzedfinanzas, wantabrand, zytivafinanzas",Wantabrand - ES-CC-ES/ES-ZW - M2 - g001-d Icaro | Fincgriffin - ES-CC-ES/ES-ZW-SR - g006-d Nicolas | Fincgriffin - ES-CC-ES/ES-ZW-SR - g001-d Icaro
GB-CC-EN,GB,CC,EN,14,966,14255,20,10,"cliquet, eggbev, fincgriffin, lyzmo, newsoun, openzed, topfeed, wantabrandfinance, zuout, zytiva",Zytiva - GB-CC-EN/EN-SR - g003-d Isliago | Openzed - GB-CC-EN/EN - AV - g003-d Isliago | Wantabrand - GB-CC-EN/EN - M2 - g001-d Icaro
MX-CC-ES,MX,CC,ES,4,240,64441,22,4,"financeadx, helixenit, infinitynexx, vizioid",Financeadx - MX-CC-ES/ES-ZW-SR - g006-d Nicolas | Infinitynexx - MX-CC-ES/ES-ZW-SR - g004-d Joe | Helixenit - MX-CC-ES/ES-ZW-SR - g005-d Kelly
TR-CC-TR,TR,CC,TR,5,345,0,0,1,fincgriffin,Fincgriffin - TR-CC-TR/TR-SR - g006-d Nicolas | Fincgriffin - TR-CC-TR/TR-SR - g001-d Icaro | Fincgriffin - TR-CC-TR/TR-SR - g003-d Isliago
US-CAR-EN,US,CAR,EN,6,180,4559,6,1,fincgriffin,Fincgriffin - US-CAR-EN/EN - JBF - g001-d | Fincgriffin - US-CAR-EN/EN - JBF - g002-d | Fincgriffin - US-CAR-EN/EN - JBF - g003-d
US-CAR-LOAN-EN,US,CAR-LOAN,EN,5,150,0,0,5,"eggbev, lyzmo, newsoun, openzed, topfeed",NAO USAR - Eggbev - MSGS US CAR LOAN EN - Active View | NAO USAR - Lyzmo - MSGS US CAR LOAN EN | NAO USAR - Newsoun - MSGS US CAR LOAN EN
US-CC-EN,US,CC,EN,22,1623,712607,1389,18,"cliquet, conectageral, ducapesfinance, eggbev, financeadx, helixenit, infinitynexx, lyzmo, marevelx, newsoun, openzed, portalrelevante, topfeed, vizioid, wavesbee, xyvlov, zuout, zytiva",Newsoun - US-CC-EN/EN-SR - g005-d Kelly | Conecta - US-CC-EN/EN-SR - g001-d Icaro | Vizioid - US-CC-EN/EN-SR - g002-d Gustavo
US-CC-ES,US,CC,ES,19,1140,355443,934,18,"cliquetfinanzas, ducapes, eggbevfinanzas, financeadx, helixenit, infinitynexx, lyzmofinanzas, marevelx, newsounfinanzas, openzedfinanzas, portalrelevantefinanzas, topfeedfinanzas, vizioid, wantabrand, wavesbeefinanzas, xyvlov, zuoutfinanzas, zytivafinanzas",Cliquet Finanzas - US-CC-ES/ES-ZW - AV - g002-d Gustavo | Zuout - US-CC-ES/ES-ZW - AV - g002-d Gustavo | Wavesbee - US-CC-ES/ES-ZW - YM - g003-d Isliago
US-JOB-EN,US,JOB,EN,1,60,180,1,1,spe,Spe - US-JOB-EN/EN - AV - g006-d Nicolas
US-JOB-ES,US,JOB,ES,1,60,12042,171,1,spe,Spe - US-JOB-ES/ES-ZW - AV - g006-d Nicolas
US-LOAN-EN,US,LOAN,EN,1,30,0,0,1,cliquet,NAO USAR - Cliquet - BD-US-LOAN-EN/EN - AV
ZA-CC-EN,ZA,CC,EN,1,69,3246,4,1,financeadx,Financeadx - ZA-CC-EN/EN-SR - g006-d Nicolas
