vertical,NAME,DOMAIN,LANGUAGE,PAGES,MESSAGES_COUNT,APPROVAL,company
AR-CC-ES,Financeadx - AR-CC-ES/ES-ZW-SR - g006-d Nicolas,,ES,1,20,,digital-trust
CA-CC-EN,Financeadx - CA-CC-EN/EN-SR - g006-d Nicolas,,EN,8,20,,digital-trust
DE-CC-DE,Helixenit - DE-CC-DE/DE-SR - g005-d Kelly,,DE,1,20,,digital-trust
DE-CC-DE,Marevelx - DE-CC-DE/DE-SR - g001-d Icaro,,DE,6,20,,digital-trust
DE-CC-DE,Newsoun - DE-CC-DE/DE-SR - g005-d Kelly,,DE,19,20,,digital-trust
DE-CC-DE,Xyvlov - DE-CC-DE/DE-SR - g003-d Isliago,,DE,42,20,,digital-trust
ES-CC-ES,Openzed - ES-CC-ES/ES-ZW - AV - g003-d Isliago,,ES,13,20,,digital-trust-2
GB-CC-EN,Financetopfeed - GB-CC-EN/EN-SR - g004-d Joe,,EN,1,20,,digital-trust
GB-CC-EN,Lyzmo - GB-CC-EN/EN-SR - g006-d Nicolas,,EN,2,20,,digital-trust
GB-CC-EN,Newsoun - GB-CC-EN/EN-SR - g005-d Kelly,,EN,1,20,,digital-trust
GB-CC-EN,Openzed - GB-CC-EN/EN - AV - g003-d Isliago,,EN,6,20,,digital-trust-2
GB-CC-EN,Zytiva - GB-CC-EN/EN-SR - g003-d Isliago,,EN,9,20,,digital-trust
MX-CC-ES,Financeadx - MX-CC-ES/ES-ZW-SR - g006-d Nicolas,,ES,9,20,,digital-trust
MX-CC-ES,Helixenit - MX-CC-ES/ES-ZW-SR - g005-d Kelly,,ES,5,20,,digital-trust
MX-CC-ES,Infinitynexx - MX-CC-ES/ES-ZW-SR - g004-d Joe,,ES,7,20,,digital-trust
US-CAR-EN,Fincgriffin - US-CAR-EN/EN - JBF - g001-d,,EN,1,20,,digital-trust
US-CAR-EN,Fincgriffin - US-CAR-EN/EN - JBF - g002-d,,EN,1,20,,digital-trust
US-CAR-EN,Fincgriffin - US-CAR-EN/EN - JBF - g003-d,,EN,1,20,,digital-trust
US-CAR-EN,Fincgriffin - US-CAR-EN/EN - JBF - g004-d,,EN,1,20,,digital-trust
US-CAR-EN,Fincgriffin - US-CAR-EN/EN - JBF - g005-d,,EN,1,20,,digital-trust
US-CAR-EN,Fincgriffin - US-CAR-EN/EN - JBF - g006-d,,EN,1,20,,digital-trust
US-CC-EN,Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,,EN,6,20,,digital-trust-2
US-CC-EN,Ducapes Finance - US-CC-EN/EN-SR - g001-d Icaro,,EN,1,20,,digital-trust
US-CC-EN,Eggbev - US-CC-EN/EN-SR - g006-d Nicolas,,EN,102,20,,digital-trust
US-CC-EN,Financetopfeed - US-CC-EN/EN-SR - g004-d Joe,,EN,26,20,,digital-trust
US-CC-EN,Lyzmo - US-CC-EN/EN-SR - g006-d Nicolas,,EN,56,20,,digital-trust
US-CC-EN,Newsoun - US-CC-EN/EN-SR - g005-d Kelly,,EN,55,20,,digital-trust
US-CC-EN,Openzed - US-CC-EN/EN - AV - g001-d Icaro,,EN,8,20,,digital-trust
US-CC-EN,Openzed - US-CC-EN/EN - AV - g003-d Isliago,,EN,203,20,,digital-trust-2
US-CC-EN,Wavesbee - US-CC-EN/EN - YM - g003-d Isliago,,EN,1,10,,digital-trust-2
US-CC-EN,Zuout - US-CC-EN/EN - AV - g002-d Gustavo,,EN,11,20,,digital-trust-2
US-CC-EN,Zytiva - US-CC-EN/EN-SR - g003-d Isliago,,EN,74,20,,digital-trust
US-CC-ES,Cliquet Finanzas - US-CC-ES/ES-ZW - AV - g002-d Gustavo,,ES,51,20,,digital-trust
US-CC-ES,Eggbev Finanzas - US-CC-ES/ES-ZW - AV - g006-d Nicolas,,ES,9,20,,digital-trust
US-CC-ES,Financetopfeed - US-CC-ES/ES-ZW-SR - g004-d Joe,,ES,19,20,,digital-trust
US-CC-ES,Infinitynexx - US-CC-ES/ES-ZW-SR - g004-d Joe,,ES,1,20,,digital-trust
US-CC-ES,Lyzmo Finanzas - US-CC-ES/ES-ZW-SR - g006-d Nicolas,,ES,9,20,,digital-trust
US-CC-ES,Newsoun - US-CC-ES/ES-ZW-SR - g005-d Kelly,,ES,6,20,,digital-trust
US-CC-ES,Openzed - US-CC-ES/ES-ZW - AV - g003-d Isliago,,ES,88,20,,digital-trust-2
US-CC-ES,Wantabrand - US-CC-ES/ES-ZW - M2 - g001-d Icaro,,ES,1,10,,digital-trust-2
US-CC-ES,Xyvlov - US-CC-ES/ES-ZW-SR - g003-d Isliago,,ES,2,20,,digital-trust
US-CC-ES,Zuout - US-CC-ES/ES-ZW - AV - g002-d Gustavo,,ES,37,20,,digital-trust-2
US-CC-ES,ZytivaFinanzas - US-CC-ES/ES-ZW-SR - g003-d Isliago,,ES,21,20,,digital-trust
US-JOB-ES,Spe - US-JOB-ES/ES-ZW - AV - g006-d Nicolas,,ES,11,20,,digital-trust
ZA-CC-EN,Financeadx - ZA-CC-EN/EN-SR - g006-d Nicolas,,EN,4,20,,digital-trust
