requested,actual,csv,source_message_links,unique_source_links,row_1,row_187
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,cliquet-us-cc-en-en-av-g002-d-gustavo.csv,69,1,https://card.cliquet.com/Kn2ydx36?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=cliquet-us-cc-en-bd&utm_content=[utm_content],https://card.cliquet.com/Kn2ydx36?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=cliquet-us-cc-en-bd&utm_content=[utm_content]
Ducapes Finance - US-CC-EN/EN-SR - g001-d Icaro,Ducapes Finance - US-CC-EN/EN-SR - g001-d Icaro,ducapes-finance-us-cc-en-en-sr-g001-d-icaro.csv,69,23,https://finance.ducapes.com/dp-f-us-cc-en-mct-001/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],https://finance.ducapes.com/dp-f-us-cc-en-mct-002/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]
Openzed - US-CC-EN/EN - AV - g001-d Icaro,Openzed - US-CC-EN/EN - AV - g001-d Icaro,openzed-us-cc-en-en-av-g001-d-icaro.csv,69,1,https://card.openzed.com/Bgp9Xtjq/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=openzed-us-cc-en-bd&utm_content=[utm_content],https://card.openzed.com/Bgp9Xtjq/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=openzed-us-cc-en-bd&utm_content=[utm_content]
Eggbev - US-CC-EN/EN-SR - g006-d Nicolas,Eggbev - US-CC-EN/EN-SR - g006-d Nicolas,eggbev-us-cc-en-en-sr-g006-d-nicolas.csv,69,23,https://eggbev.com/eb-us-cc-en-mct-001/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],https://eggbev.com/eb-us-cc-en-mct-002/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]
Infinitynexx - US-CC-EN/EN-SR - g004-d Joe,Infinitynexx - US-CC-EN/EN-SR - g004-d Joe,infinitynexx-us-cc-en-en-sr-g004-d-joe.csv,69,23,https://infinitynexx.com/in-us-cc-en-mct-001/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],https://infinitynexx.com/in-us-cc-en-mct-002/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]
Lyzmo - US-CC-EN/EN-SR - g006-d Nicolas,Lyzmo - US-CC-EN/EN-SR - g006-d Nicolas,lyzmo-us-cc-en-en-sr-g006-d-nicolas.csv,69,23,https://lyzmo.com/ly-us-cc-en-mct-001/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],https://lyzmo.com/ly-us-cc-en-mct-002/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]
Marevolx - US-CC-EN/EN-SR - g001-d Icaro,Marevelx - US-CC-EN/EN-SR - g001-d Icaro,marevelx-us-cc-en-en-sr-g001-d-icaro.csv,69,23,https://marevelx.com/mv-us-cc-en-mct-001/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],https://marevelx.com/mv-us-cc-en-mct-002/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]
Newsoun - US-CC-EN/EN-SR - g005-d Kelly,Newsoun - US-CC-EN/EN-SR - g005-d Kelly,newsoun-us-cc-en-en-sr-g005-d-kelly.csv,201,23,https://newsoun.com/ns-us-cc-en-mct-001/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],https://newsoun.com/ns-us-cc-en-mct-002/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]
Openzed - US-CC-EN/EN - AV - g003-d Isliago,Openzed - US-CC-EN/EN - AV - g003-d Isliago,openzed-us-cc-en-en-av-g003-d-isliago.csv,69,1,https://card.openzed.com/xybjDgmX/?utm_source=facebook&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_term=openzed-us-cc-en-bd&utm_content=[utm_content],https://card.openzed.com/xybjDgmX/?utm_source=facebook&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_term=openzed-us-cc-en-bd&utm_content=[utm_content]
Financetopfed - US-CC-EN/EN-SR - g004-d Joe,Financetopfeed - US-CC-EN/EN-SR - g004-d Joe,financetopfeed-us-cc-en-en-sr-g004-d-joe.csv,60,23,https://finance.topfeed.fun/ftf-us-cc-en-mct-001/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],https://finance.topfeed.fun/ftf-us-cc-en-mct-004/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]
