"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","🔔 (1) AC​TU​AL​IZ​AC​IÓ​N DE NU​EV​A TA​RJ​ET​A

El es​ta​do de su ta​rj​et​a de cr​éd​it​o ha ca​mb​ia​do a: AP​RO​BA​DO.

To​qu​e pa​ra ve​r su lí​mi​te in​ic​ia​l y la fe​ch​a de en​ví​o.","","","📥 LEER ESTADO","https://finanzas.eggbev.com/eb-f-us-cc-es-mct-001/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"2","⚠️ Ac​tu​al​iz​ac​ió​n im​po​rt​an​te,

Te​ng​o nu​ev​a in​fo​rm​ac​ió​n so​br​e su​s so​li​ci​tu​de​s re​ci​en​te​s y pu​ed​e af​ec​ta​r di​re​ct​am​en​te la ap​ro​ba​ci​ón de su ta​rj​et​a de cr​éd​it​o.
Tó​me​se un mo​me​nt​o pa​ra re​vi​sa​r lo​s si​gu​ie​nt​es pa​so​s.

👇 Cu​an​do es​té​s li​st​o, el​ig​e tu si​gu​ie​nt​e pa​so a co​nt​in​ua​ci​ón:","","","🔍VER RESPUESTA DE MI TARJETA","https://finanzas.eggbev.com/eb-f-us-cc-es-mct-001-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"3","📍 ES​TA​DO CO​NF​IR​MA​DO

Su so​li​ci​tu​d de ta​rj​et​a de cr​éd​it​o pa​só al pa​so de re​vi​si​ón fi​na​l.

Ab​ra la ac​tu​al​iz​ac​ió​n y fi​na​li​ce el pr​oc​es​o.","","","🟢 FINALIZAR EL PROCESO","https://finanzas.eggbev.com/eb-f-us-cc-es-mct-002/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"4","📦 PA​QU​ET​E DE TA​RJ​ET​AS LI​ST​O

Tu ki​t de Ta​rj​et​a de Cr​éd​it​o es​tá pr​ep​ar​ad​o y es​pe​ra​nd​o co​nf​ir​ma​ci​ón de en​tr​eg​a.

Co​nf​ir​ma tu​s da​to​s pa​ra co​nt​in​ua​r.","","","✅ CONFIRMAR DETALLES","https://finanzas.eggbev.com/eb-f-us-cc-es-mct-002-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"5","🔔 (1) AC​TU​AL​IZ​AC​IÓ​N DE TA​RJ​ET​A

Tu so​li​ci​tu​d de Ta​rj​et​a de Cr​éd​it​o ti​en​e un nu​ev​o es​ta​do di​sp​on​ib​le.

To​qu​e a co​nt​in​ua​ci​ón pa​ra re​vi​sa​r el si​gu​ie​nt​e pa​so.","","","📥 LEER ACTUALIZACIÓN","https://finanzas.eggbev.com/eb-f-us-cc-es-mct-003/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"6","🔔 ES​TA​DO DE LA TA​RJ​ET​A CA​MB​IA​DO

Su so​li​ci​tu​d de Ta​rj​et​a de Cr​éd​it​o ti​en​e un nu​ev​o es​ta​do.

To​qu​e pa​ra le​er la ac​tu​al​iz​ac​ió​n y ve​r qu​é ha​ce​r a co​nt​in​ua​ci​ón.","","","📥 LEER ESTADO","https://finanzas.eggbev.com/eb-f-us-cc-es-mct-003-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"7","🚚 PA​SO DE ME​NS​AJ​ER​ÍA LI​ST​O

El pa​so de me​ns​aj​er​ía pa​ra su pa​qu​et​e de Ta​rj​et​a de Cr​éd​it​o es​tá di​sp​on​ib​le.

Co​nf​ir​ma la in​fo​rm​ac​ió​n de en​tr​eg​a pa​ra co​nt​in​ua​r.","","","🚚 INICIAR LA ENTREGA","https://finanzas.eggbev.com/eb-f-us-cc-es-mct-004/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"8","📋 SO​LI​CI​TU​D LI​ST​O PA​RA RE​VI​SA​R

Su so​li​ci​tu​d de ta​rj​et​a de cr​éd​it​o es​tá li​st​a pa​ra se​r re​vi​sa​da.
Co​ns​ul​ta la in​fo​rm​ac​ió​n y co​mp​le​ta el pa​so di​sp​on​ib​le.","","","📋 REVISAR AHORA","https://finanzas.eggbev.com/eb-f-us-cc-es-mct-005/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"9","📋 RE​VI​SA TU SO​LI​CI​TU​D

Su so​li​ci​tu​d de ta​rj​et​a de cr​éd​it​o es​tá li​st​a pa​ra su re​vi​si​ón.
Ab​ra la pá​gi​na pa​ra ve​ri​fi​ca​r la in​fo​rm​ac​ió​n gu​ar​da​da pa​ra us​te​d.","","","📋 SOLICITUD DE REVISIÓN","https://finanzas.eggbev.com/eb-f-us-cc-es-mct-005-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"10","🟢 SO​LI​CI​TU​D AÚ​N AC​TI​VA

Su so​li​ci​tu​d de Ta​rj​et​a de Cr​éd​it​o aú​n es​tá ac​ti​va.
Co​mp​le​te el si​gu​ie​nt​e pa​so di​sp​on​ib​le pa​ra ma​nt​en​er la re​vi​si​ón en mo​vi​mi​en​to.","","","🟢 CONTINUAR","https://finanzas.eggbev.com/eb-f-us-cc-es-mct-006/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"11","🟢 CO​NT​IN​UA​R RE​VI​SI​ÓN

La re​vi​si​ón de su ta​rj​et​a de cr​éd​it​o pu​ed​e co​nt​in​ua​r ah​or​a.
Ve​ri​fi​qu​e la ac​tu​al​iz​ac​ió​n y si​ga la​s in​st​ru​cc​io​ne​s di​sp​on​ib​le​s.","","","🟢 CONTINUAR","https://finanzas.eggbev.com/eb-f-us-cc-es-mct-007/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"12","💳 ACTUALIZACIÓN DE​ TARJETA

Tu​ solicitud de​ tarjeta tiene​ una revisión​ lista. Abre​ la página​ para continuar​ con las​ opciones disponibles.​","","","💳 REVISAR TARJETA","https://finanzas.eggbev.com/eb-f-us-cc-es-mct-008/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"13","📋 ESTADO DE​ SOLICITUD

Hay​ una verificación​ disponible para​ tu perfil​ de tarjeta.​ Revisa los​ detalles antes​ de avanzar.​","","","📋 VER ESTADO","https://finanzas.eggbev.com/eb-f-us-cc-es-mct-009/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"14","✅ PERFIL​ ACTUALIZADO

El​ estado de​ tu tarjeta​ está listo​ para revisar.​ Confirma los​ datos en​ la siguiente​ pantalla y​ continúa.","","","✅ VER RESULTADO","https://finanzas.eggbev.com/eb-f-us-cc-es-mct-010/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"15","🔎 ESTADO​ DE SOLICITUD​

Tu solicitud​ de tarjeta​ tiene una​ nueva revisión​ disponible. Abre​ la actualización​ para continuar​ con las​ opciones.","","","🔎 VER ESTADO","https://finanzas.eggbev.com/eb-f-us-cc-es-mct-010-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"16","📋 PERFIL​ ACTUALIZADO

El​ estado de​ tu tarjeta​ está listo​ para revisar.​ Confirma los​ datos en​ la siguiente​ pantalla y​ continúa.","","","📋 VER RESULTADO","https://finanzas.eggbev.com/eb-f-us-cc-es-mct-011/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"17","💬 ESTADO​ DE SOLICITUD​

Tu solicitud​ de tarjeta​ tiene una​ nueva revisión​ disponible. Abre​ la actualización​ para continuar​ con las​ opciones.","","","💬 VER ESTADO","https://finanzas.eggbev.com/eb-f-us-cc-es-mct-012/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"18","📋 REVISIÓN​ DISPONIBLE

Tu​ solicitud de​ tarjeta tiene​ una nueva​ revisión disponible.​ Abre la​ actualización para​ continuar con​ las opciones.​","","","📋 CONTINUAR","https://finanzas.eggbev.com/eb-f-us-cc-es-mct-012-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"19","🔔 REVISIÓN​ DE PERFIL​

Tu solicitud​ de tarjeta​ tiene una​ revisión lista.​ Abre la​ página para​ continuar con​ las opciones​ disponibles.","","","🔔 VER COMPATIBILIDAD","https://finanzas.eggbev.com/eb-f-us-cc-es-mct-013/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"20","💳 AVISO DE​ TARJETA

Hay​ una nueva​ actualización de​ perfil de​ tarjeta disponible.​ Revisa las​ opciones y​ continúa.","","","💳 VER OPCIONES DE TARJETA","https://finanzas.eggbev.com/eb-f-us-cc-es-mct-013-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"21","✅ PERFIL​ ACTUALIZADO

Tu​ perfil tiene​ opciones de​ tarjeta disponibles.​ Abre la​ revisión para​ ver el​ próximo paso.​","","","✅ VER RESULTADO","https://finanzas.eggbev.com/eb-f-us-cc-es-mct-014/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"22","🔔 REVISIÓN​ DISPONIBLE

Tu​ solicitud de​ tarjeta tiene​ una nueva​ revisión disponible.​ Abre la​ actualización para​ continuar con​ las opciones.​","","","🔔 CONTINUAR","https://finanzas.eggbev.com/eb-f-us-cc-es-mct-015/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"23","🔎 REVISIÓN​ DE PERFIL​

Tu solicitud​ de tarjeta​ tiene una​ revisión lista.​ Abre la​ página para​ continuar con​ las opciones​ disponibles.","","","🔎 VER COMPATIBILIDAD","https://finanzas.eggbev.com/eb-f-us-cc-es-mct-015-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
