"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","📋 PASO​ DE CONFIRMACIÓN​

El flujo​ de recomendación​ de tarjeta​ tiene un​ resultado listo.​ Revisa los​ detalles antes​ de continuar.​","","","📋 VER ACTUALIZACIÓN","https://financeadx.com/fax-ar-cc-es-mct-001/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"2","💳 ACTUALIZACIÓN​ DE TARJETA​

El flujo​ de recomendación​ de tarjeta​ tiene un​ resultado listo.​ Revisa los​ detalles antes​ de continuar.​","","","💳 REVISAR TARJETA","https://financeadx.com/fax-ar-cc-es-mct-001-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"3","✅ PERFIL​ ACTUALIZADO

El​ flujo de​ recomendación de​ tarjeta tiene​ un resultado​ listo. Revisa​ los detalles​ antes de​ continuar.","","","✅ VER RESULTADO","https://financeadx.com/fax-ar-cc-es-mct-002/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"4","🔎 OPCIONES​ DE TARJETA​

Tus opciones​ de tarjeta​ están listas​ para comparar.​ Abre la​ actualización y​ confirma el​ siguiente paso.​","","","📋 VER OPCIONES","https://financeadx.com/fax-ar-cc-es-mct-002-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"5","✅ REVISIÓN​ DISPONIBLE

El​ flujo de​ recomendación de​ tarjeta tiene​ nuevos detalles​ disponibles. Consulta​ la página​ para continuar.​","","","➡️ CONTINUAR","https://financeadx.com/fax-ar-cc-es-mct-003/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"6","💬 RESULTADO​ DE TARJETA​

Hay un​ paso de​ selección de​ tarjeta disponible​ ahora. Revisa​ la página​ y continúa​ desde ahí.​","","","🔎 ABRIR REVISIÓN","https://financeadx.com/fax-ar-cc-es-mct-003-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"7","🔔 PERFIL​ ACTUALIZADO

El​ resumen de​ opciones de​ tarjeta está​ listo. Confirma​ la información​ en la​ página de​ revisión.","","","📌 VER RESULTADO","https://financeadx.com/fax-ar-cc-es-mct-004/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"8","🔎 PERFIL​ COMPATIBLE

La​ página de​ revisión de​ solicitud está​ lista. Continúa​ allí para​ confirmar la​ información de​ tarjeta.","","","📄 REVISAR PERFIL","https://financeadx.com/fax-ar-cc-es-mct-005/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"9","✅ CONSULTA​ ABIERTA

Hay​ una actualización​ de estado​ de tarjeta​ esperando. Abre​ la página​ y revisa​ el camino​ disponible.","","","🔍 VER COMPATIBILIDAD","https://financeadx.com/fax-ar-cc-es-mct-005-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"10","📌 SOLICITUD​ EN REVISIÓN​

Tu solicitud​ de tarjeta​ tiene una​ revisión lista.​ Abre la​ página para​ continuar con​ las opciones​ disponibles.","","","🔍 REVISAR TARJETA","https://financeadx.com/fax-ar-cc-es-mct-006/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"11","💬 DETALLES​ DISPONIBLES

Hay​ una verificación​ disponible para​ tu perfil​ de tarjeta.​ Revisa los​ detalles antes​ de avanzar.​","","","✅ VER ESTADO","https://financeadx.com/fax-ar-cc-es-mct-007/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"12","📄 OPCIONES​ ABIERTAS

Tus​ opciones de​ tarjeta están​ listas para​ comparar. Abre​ la actualización​ y confirma​ el siguiente​ paso.","","","📋 VER OPCIONES","https://financeadx.com/fax-ar-cc-es-mct-008/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"13","🔔 REVISIÓN​ DE PERFIL​

El flujo​ de recomendación​ de tarjeta​ tiene nuevos​ detalles disponibles.​ Consulta la​ página para​ continuar.","","","➡️ CONTINUAR","https://financeadx.com/fax-ar-cc-es-mct-009/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"14","💳 SELECCIÓN​ DE TARJETA​

La revisión​ de tu​ perfil está​ lista para​ confirmación. Abre​ la actualización​ de tarjeta​ para ver​ el resultado.​","","","💳 VER ACTUALIZACIÓN","https://financeadx.com/fax-ar-cc-es-mct-010/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"15","📋 CONFIRMACIÓN​ DE ESTADO​

Hay un​ paso de​ selección de​ tarjeta disponible​ ahora. Revisa​ la página​ y continúa​ desde ahí.​","","","🔎 ABRIR REVISIÓN","https://financeadx.com/fax-ar-cc-es-mct-010-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"16","🔎 RESULTADO​ DISPONIBLE

Tu​ solicitud de​ tarjeta pasó​ al siguiente​ punto de​ revisión. Abre​ la página​ de estado​ para ver​ detalles.","","","✅ CONFIRMAR DATOS","https://financeadx.com/fax-ar-cc-es-mct-011/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"17","✅ CONTINUACIÓN​ DE REVISIÓN​

El resumen​ de opciones​ de tarjeta​ está listo.​ Confirma la​ información en​ la página​ de revisión.​","","","📌 VER RESULTADO","https://financeadx.com/fax-ar-cc-es-mct-012/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"18","💳 ACTUALIZACIÓN​ DE TARJETA​

Tu compatibilidad​ de tarjeta​ tiene un​ resultado disponible.​ Abre la​ actualización para​ revisar los​ detalles.","","","💳 VER OPCIONES","https://financeadx.com/fax-ar-cc-es-mct-012-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"19","📋 ESTADO​ DE SOLICITUD​

La página​ de revisión​ de solicitud​ está lista.​ Continúa allí​ para confirmar​ la información​ de tarjeta.​","","","🔔 ABRIR ESTADO","https://financeadx.com/fax-ar-cc-es-mct-013/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"20","🔎 OPCIONES​ DE TARJETA​

Hay una​ actualización de​ estado de​ tarjeta esperando.​ Abre la​ página y​ revisa el​ camino disponible.​","","","📄 REVISAR PERFIL","https://financeadx.com/fax-ar-cc-es-mct-013-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"21","✅ REVISIÓN​ DISPONIBLE

Tu​ solicitud de​ tarjeta tiene​ una revisión​ lista. Abre​ la página​ para continuar​ con las​ opciones disponibles.​","","","🔍 VER COMPATIBILIDAD","https://financeadx.com/fax-ar-cc-es-mct-014/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"22","📌 PASO​ DE CONFIRMACIÓN​

Hay una​ verificación disponible​ para tu​ perfil de​ tarjeta. Revisa​ los detalles​ antes de​ avanzar.","","","🔍 REVISAR TARJETA","https://financeadx.com/fax-ar-cc-es-mct-015/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"23","💬 RESULTADO​ DE TARJETA​

Tus opciones​ de tarjeta​ están listas​ para comparar.​ Abre la​ actualización y​ confirma el​ siguiente paso.​","","","✅ VER ESTADO","https://financeadx.com/fax-ar-cc-es-mct-015-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
