"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","📋 STATUT DE LA DEMANDE DE CARTE

Une vérification du statut de votre carte est prête. Utilisez l’écran suivant pour confirmer les détails et continuer.","","","📋 VÉRIFIER LE STATUT","https://financeadx.com/fax-ca-cc-fr-mct-001/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"2","🔔 MISE À JOUR DE LA CARTE

Une nouvelle étape de vérification est disponible pour votre demande de carte. Ouvrez la mise à jour pour consulter les options disponibles.","","","🔔 VÉRIFIER LA CARTE","https://financeadx.com/fax-ca-cc-fr-mct-002/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"3","✅ OPTIONS DE CARTE DISPONIBLES

Vos options de carte sont prêtes à être comparées. Ouvrez la mise à jour et confirmez la prochaine étape.","","","✅ VOIR LES OPTIONS","https://financeadx.com/fax-ca-cc-fr-mct-003/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"4","✅ AVIS DE RÉSULTAT DE CARTE

Une autre étape est disponible pour la vérification de votre profil de carte. Consultez la mise à jour pour continuer.","","","✅ VÉRIFIER LES OPTIONS","https://financeadx.com/fax-ca-cc-fr-mct-004/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"5","✅ CORRESPONDANCE DU PROFIL PRÊTE

La page de vérification de la demande est prête. Continuez sur cette page pour confirmer les renseignements de votre carte.","","","✅ VÉRIFIER LE PROFIL","https://financeadx.com/fax-ca-cc-fr-mct-005/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"6","💬 MISE À JOUR DU PROFIL DE CARTE

Le résumé des options de carte est prêt. Confirmez les renseignements sur la page de vérification.","","","💬 VOIR LE RÉSULTAT","https://financeadx.com/fax-ca-cc-fr-mct-006/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"7","💬 MISE À JOUR DE LA VÉRIFICATION DU PROFIL

La page des options de carte est prête pour une vérification rapide. Continuez à partir de l’écran de vérification.","","","💬 VOIR LE RÉSULTAT","https://financeadx.com/fax-ca-cc-fr-mct-007/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"8","💳 AVIS SUR UNE OPTION DE CARTE

Une nouvelle mise à jour de votre profil de carte est disponible. Consultez les options et continuez en toute sécurité.","","","💳 VOIR LES CARTES","https://financeadx.com/fax-ca-cc-fr-mct-008/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"9","💳 MISE À JOUR DE LA VÉRIFICATION DE CARTE

Une étape de vérification est prête pour votre demande de carte. Ouvrez la page pour consulter les options disponibles.","","","💳 VÉRIFIER LA CARTE","https://financeadx.com/fax-ca-cc-fr-mct-009/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"10","💳 ÉTAPE DE SÉLECTION DE CARTE

Le statut de votre demande de carte est passé à une étape de vérification. Ouvrez la page pour la consulter.","","","💳 CONTINUER","https://financeadx.com/fax-ca-cc-fr-mct-010/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"11","📄 VÉRIFICATION DES OPTIONS PRÊTE

Un résultat de vérification de carte est disponible. Ouvrez la mise à jour pour consulter la prochaine instruction.","","","📄 OUVRIR LES DÉTAILS","https://financeadx.com/fax-ca-cc-fr-mct-011/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"12","📄 ÉTAPE DE VÉRIFICATION OUVERTE

Votre demande de carte est passée au prochain point de vérification. Ouvrez la page de statut pour voir les détails.","","","📄 CONFIRMER LES DÉTAILS","https://financeadx.com/fax-ca-cc-fr-mct-012/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"13","📋 STATUT DU PROFIL DE CARTE

Une vérification du statut est disponible pour votre profil de carte. Consultez les détails avant de continuer.","","","📋 VÉRIFIER LE STATUT","https://financeadx.com/fax-ca-cc-fr-mct-013/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"14","📋 STATUT DE CARTE PRÊT

Un résultat est disponible pour la correspondance de votre carte. Ouvrez la mise à jour pour consulter les détails.","","","📋 OUVRIR LE STATUT","https://financeadx.com/fax-ca-cc-fr-mct-014/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"15","📌 ÉTAPE DE DEMANDE PRÊTE

La vérification de votre profil est prête à être confirmée. Ouvrez la mise à jour de la carte pour voir le résultat.","","","📌 VOIR LA MISE À JOUR","https://financeadx.com/fax-ca-cc-fr-mct-015/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"16","📌 VÉRIFICATION DE LA DEMANDE PRÊTE

Une nouvelle vérification des options est disponible pour votre profil de carte. Consultez les détails avant de continuer.","","","📌 VOIR LES OPTIONS","https://financeadx.com/fax-ca-cc-fr-mct-016/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"17","🔎 VÉRIFICATION DE CARTE OUVERTE

Une mise à jour du statut de votre carte est en attente. Ouvrez la page et consultez le parcours disponible.","","","🔎 VÉRIFIER LE PROFIL","https://financeadx.com/fax-ca-cc-fr-mct-017/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"18","🔎 POURSUITE DE LA VÉRIFICATION

La vérification de la sélection de carte est prête. Ouvrez la page et confirmez la prochaine action.","","","🔎 OUVRIR LA VÉRIFICATION","https://financeadx.com/fax-ca-cc-fr-mct-018/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"19","🔔 MISE À JOUR DE LA CORRESPONDANCE

Une étape de sélection de carte est maintenant disponible. Consultez la page et continuez à partir de celle-ci.","","","🔔 OUVRIR LA VÉRIFICATION","https://financeadx.com/fax-ca-cc-fr-mct-019/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"20","🔎 ÉTAPE DE DEMANDE DISPONIBLE

La vérification de votre profil est prête à être confirmée. Ouvrez la mise à jour de la carte pour voir le résultat.","","","🔎 VOIR LA MISE À JOUR","https://financeadx.com/fax-ca-cc-fr-mct-020/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"21","📌 MISE À JOUR DE LA DEMANDE

Une vérification du statut de votre carte est prête. Utilisez l’écran suivant pour confirmer les détails et continuer.","","","📌 VÉRIFIER LA CARTE","https://financeadx.com/fax-ca-cc-fr-mct-021/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"22","💬 STATUT DE CARTE DISPONIBLE

Un résultat est disponible pour la correspondance de votre carte. Ouvrez la mise à jour pour consulter les détails.","","","💬 OUVRIR LE STATUT","https://financeadx.com/fax-ca-cc-fr-mct-022/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"23","🔔 PROCHAINE ÉTAPE DE VÉRIFICATION

Votre demande de carte est passée au prochain point de vérification. Ouvrez la page de statut pour voir les détails.","","","🔔 CONFIRMER LES DÉTAILS","https://financeadx.com/fax-ca-cc-fr-mct-023/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"24","💬 NOUVELLE OPTION DE CARTE

Une nouvelle mise à jour de votre profil de carte est disponible. Consultez les options et continuez en toute sécurité.","","","💬 VOIR LES CARTES","https://financeadx.com/fax-ca-cc-fr-mct-001/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"25","💳 RÉSULTAT DE VÉRIFICATION PRÊT

Un résultat de vérification de carte est disponible. Ouvrez la mise à jour pour consulter la prochaine instruction.","","","💳 OUVRIR LES DÉTAILS","https://financeadx.com/fax-ca-cc-fr-mct-002/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"26","🔎 DEMANDE EN VÉRIFICATION

Une nouvelle vérification des options est disponible pour votre profil de carte. Consultez les détails avant de continuer.","","","🔎 VOIR LES OPTIONS","https://financeadx.com/fax-ca-cc-fr-mct-003/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"27","🔔 VÉRIFICATION DE CARTE DISPONIBLE

Une étape de vérification est prête pour votre demande de carte. Ouvrez la page pour consulter les options disponibles.","","","🔔 VÉRIFIER LA CARTE","https://financeadx.com/fax-ca-cc-fr-mct-004/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
