"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","🚗 APPLICATION STATUS UPDATE

Your auto financing request has a new review step available. Open the update to continue.","","","🚗 CHECK STATUS","https://fincgriffin.com/fincg-us-car-en-mct-001/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"2","📋 REQUEST RECEIVED

Your vehicle finance request was received successfully. Confirm the next step to keep it active.","","","✅ CONFIRM NOW","https://fincgriffin.com/fincg-us-car-en-mct-002/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"3","🔎 REVIEW READY

Your car loan profile is ready for review. Check the available details on the secure page.","","","🔎 REVIEW OPTIONS","https://fincgriffin.com/fincg-us-car-en-mct-003/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"4","📍 STATUS CHECKPOINT

Your vehicle request reached a new checkpoint. Review the information and continue.","","","📍 CHECK UPDATE","https://fincgriffin.com/fincg-us-car-en-mct-004/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"5","✅ PRE CHECK AVAILABLE

A pre check step is available for your auto financing request. Open it to review the next action.","","","✅ OPEN PRE-CHECK","https://fincgriffin.com/fincg-us-car-en-mct-005/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"6","📬 UPDATE WAITING

There is an update waiting for your car financing request. Review it before the request expires.","","","📬 OPEN UPDATE","https://fincgriffin.com/fincg-us-car-en-mct-006/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"7","📝 CONFIRM DETAILS

Your request needs one confirmation before the next review. Check your information now.","","","📝 CONFIRM DETAILS","https://fincgriffin.com/fincg-us-car-en-mct-007/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"8","📋 AUTO RESULT NOTICE

Your auto profile review has another step open. Check the update to continue.","","","📋 CHECK OPTIONS","https://fincgriffin.com/fincg-us-car-en-mct-008/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"9","🔔 NEW REQUEST UPDATE

Your auto finance request has a new status available. Continue from the secure page.","","","🔔 READ STATUS","https://fincgriffin.com/fincg-us-car-en-mct-009/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"10","📌 FINAL REVIEW STEP

Your car loan request moved to the final review step. Open the update and finish the process.","","","📌 FINISH REVIEW","https://fincgriffin.com/fincg-us-car-en-mct-010/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"11","✅ REVIEW CONTINUATION

The vehicle selection review is ready. Open the page and confirm the next action.","","","✅ OPEN OFFER","https://fincgriffin.com/fincg-us-car-en-mct-011/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
