"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","📌 KARTEN UPDATE

Für deine Kartenanfrage ist ein neuer Prüfschritt verfügbar. Öffne das Update und sieh dir die Optionen an.","","","📌 KARTE PRÜFEN","https://de.newsoun.com/ns-de-cc-de-mct-001/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"2","📋 ANFRAGE STATUS

Für dein Kartenprofil ist eine Statusprüfung verfügbar. Prüfe die Details bevor du fortfährst.","","","📋 STATUS ANSEHEN","https://de.newsoun.com/ns-de-cc-de-mct-001-2/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"3","✅ ANFRAGE PRÜFUNG

Dein Kartenprofil hat eine neue Optionsprüfung. Sieh dir die Details an bevor du fortfährst.","","","✅ OPTIONEN PRÜFEN","https://de.newsoun.com/ns-de-cc-de-mct-002/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"4","🔎 KARTEN UPDATE

Für deine Kartenanfrage ist ein neuer Prüfschritt verfügbar. Öffne das Update und sieh dir die Optionen an.","","","🔎 KARTE PRÜFEN","https://de.newsoun.com/ns-de-cc-de-mct-002-2/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"5","📌 BESTÄTIGUNG BEREIT

Deine Profilprüfung ist zur Bestätigung bereit. Öffne das Karten Update und sieh dir das Ergebnis an.","","","📌 UPDATE ANSEHEN","https://de.newsoun.com/ns-de-cc-de-mct-003/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"6","💳 ANFRAGE STATUS

Der Status deiner Karte ist zur Prüfung bereit. Bestätige die Angaben auf der nächsten Seite.","","","💳 STATUS ANSEHEN","https://de.newsoun.com/ns-de-cc-de-mct-003-2/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"7","📄 PRÜFUNG OFFEN

Deine Kartenanfrage ist beim nächsten Prüfpunkt angekommen. Öffne die Statusseite für Details.","","","📄 DATEN BESTÄTIGEN","https://de.newsoun.com/ns-de-cc-de-mct-004/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"8","💬 PROFIL UPDATE

Die Zusammenfassung der Kartenoptionen ist bereit. Bestätige die Angaben auf der Prüfseite.","","","💬 ERGEBNIS SEHEN","https://de.newsoun.com/ns-de-cc-de-mct-005/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"9","✅ KARTEN UPDATE

Deine Kartenanfrage hat einen Prüfschritt bereit. Öffne die Seite und sieh dir die verfügbaren Optionen an.","","","✅ KARTE PRÜFEN","https://de.newsoun.com/ns-de-cc-de-mct-005-2/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"10","✅ PRÜFUNG STARTEN

Ein Kartenstatus Update wartet. Öffne die Seite und prüfe den verfügbaren Weg.","","","✅ TREFFER ANSEHEN","https://de.newsoun.com/ns-de-cc-de-mct-006/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"11","✅ PROFIL TREFFER

Die Seite zur Anfrageprüfung ist bereit. Fahre dort fort und bestätige deine Kartendaten.","","","✅ PROFIL PRÜFEN","https://de.newsoun.com/ns-de-cc-de-mct-007/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"12","💬 ERGEBNIS BEREIT

Deine Kartenprofilprüfung hat einen weiteren Schritt offen. Öffne das Update zum Fortfahren.","","","💬 OPTIONEN ÖFFNEN","https://de.newsoun.com/ns-de-cc-de-mct-008/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"13","💳 PRÜFUNG FORTSETZEN

Die Prüfung der Kartenauswahl ist bereit. Öffne die Seite und bestätige die nächste Aktion.","","","💳 KARTENSTATUS SEHEN","https://de.newsoun.com/ns-de-cc-de-mct-009/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"14","📄 DETAILS VERFÜGBAR

Die Kartenempfehlungsseite hat einen Bestätigungsschritt. Prüfe ihn um weiterzumachen.","","","📄 PRÜFUNG BESTÄTIGEN","https://de.newsoun.com/ns-de-cc-de-mct-010/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"15","📄 PROFIL TREFFER

Die Seite zur Anfrageprüfung ist bereit. Fahre dort fort und bestätige deine Kartendaten.","","","📄 PROFIL PRÜFEN","https://de.newsoun.com/ns-de-cc-de-mct-010-2/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"16","📋 KARTEN OPTIONEN

Deine Kartenoptionen sind zum Vergleich bereit. Öffne das Update und bestätige den nächsten Schritt.","","","📋 OPTIONEN SEHEN","https://de.newsoun.com/ns-de-cc-de-mct-011/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"17","💳 KARTENAUSWAHL

Der Status deiner Kartenanfrage wechselte zu einem Prüfschritt. Öffne die Seite zur Kontrolle.","","","💳 PRÜFUNG FORTSETZEN","https://de.newsoun.com/ns-de-cc-de-mct-012/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"18","📋 PRÜFUNG OFFEN

Deine Kartenanfrage ist beim nächsten Prüfpunkt angekommen. Öffne die Statusseite für Details.","","","📋 DATEN BESTÄTIGEN","https://de.newsoun.com/ns-de-cc-de-mct-012-2/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"19","✅ ERGEBNIS BEREIT

Deine Kartenprofilprüfung hat einen weiteren Schritt offen. Öffne das Update zum Fortfahren.","","","✅ OPTIONEN ÖFFNEN","https://de.newsoun.com/ns-de-cc-de-mct-013/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"20","🔎 PRÜFUNG FORTSETZEN

Die Prüfung der Kartenauswahl ist bereit. Öffne die Seite und bestätige die nächste Aktion.","","","🔎 KARTENSTATUS SEHEN","https://de.newsoun.com/ns-de-cc-de-mct-013-2/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"21","📌 ANFRAGE STATUS

Für dein Kartenprofil ist eine Statusprüfung verfügbar. Prüfe die Details bevor du fortfährst.","","","📌 STATUS ANSEHEN","https://de.newsoun.com/ns-de-cc-de-mct-014/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
