"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","💳 CARD REVIEW UPDATE

Your card request has a review step ready. Open the page to continue with the available options.","","","💳 REVIEW CARD","https://openzed.com/op-us-cc-en-mct-001/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"2","🔎 CARD PACKAGE READY

Your Credit Card kit is prepared and waiting for delivery confirmation.

Confirm your details to continue.","","","🔎 CONFIRM DETAILS","https://openzed.com/op-us-cc-en-mct-002/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"3","✅ CARD OPTIONS READY

Your card options are ready to compare. Open the update and confirm the next step.","","","✅ SEE OPTIONS","https://openzed.com/op-us-cc-en-mct-003/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"4","🔎 REVIEW STEP OPEN 

A new update for your request is available. Open the information and review the latest details.","","","🔎 CONFIRM DETAILS","https://openzed.com/op-us-cc-en-mct-004/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"5","📌 APPLICATION STEP READY

Your profile review is ready for confirmation. Open the card update to see the result.","","","📌 REVIEW UPDATE","https://openzed.com/op-us-cc-en-mct-005/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"6","🔔 CARD MATCH UPDATE

A card selection step is available now. Review the page and continue from there.","","","🔔 OPEN REVIEW","https://openzed.com/op-us-cc-en-mct-006/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"7","📄 REVIEW STEP OPEN

Your card request moved to the next review point. Open the status page for details.","","","📄 CONFIRM DETAILS","https://openzed.com/op-us-cc-en-mct-007/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"8","💬 CARD PROFILE UPDATE

The card option summary is ready. Confirm the information on the review page.","","","💬 VIEW RESULT","https://openzed.com/op-us-cc-en-mct-008/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"9","✅ REVIEW STEP OPEN

Your credit profile has card options available to review. Open the update and check the next step.","","","✅ CONFIRM DETAILS","https://openzed.com/op-us-cc-en-mct-009/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"10","📋 CARD STATUS READY

Your card match has an available result. Open the update to review the details.","","","📋 OPEN STATUS","https://openzed.com/op-us-cc-en-mct-010/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"11","✅ PROFILE MATCH READY

The request review page is ready. Continue there to confirm your card information.","","","✅ REVIEW PROFILE","https://openzed.com/op-us-cc-en-mct-011/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"12","🔎 CARD CHECK OPEN

A card status update is waiting. Open the page and check the available path.","","","🔎 CHECK MATCH","https://openzed.com/op-us-cc-en-mct-012/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
