"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","⚠️ Actualización importante, {{first_name}}

Tengo nueva información sobre tus solicitudes recientes y puede afectar directamente la aprobación de tu tarjeta de crédito.
Revisa los próximos pasos.

👇 Cuando estés listo, elige el siguiente paso abajo:","","","🔍 VER RESPUESTA DE MI TARJETA","https://vizioid.com/vz-mx-cc-es-mct-001/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"2","📬 PAQUETE SIN RECLAMAR — {{first_name}}, un paquete de Tarjeta de Crédito con límite de $14,200 está sin reclamar a tu nombre.

Está en el centro de clasificación. Reclama la entrega antes de que sea devuelto.","","","🚚 RECLAMAR ENTREGA","https://vizioid.com/vz-mx-cc-es-mct-002/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"3","💳 TARJETA DE CRÉDITO APROBADA

¡Felicidades, {{first_name}}! Tu nueva Tarjeta de Crédito está lista para envío.

Solo necesitamos confirmar la dirección de entrega.","","","🚚 CONFIRMAR AHORA","https://vizioid.com/vz-mx-cc-es-mct-003/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"4","✅ ENTREGA CONFIRMADA
Tu tarjeta con límite de $15,000 se está preparando para envío.
Verifica tus datos para enviarla.","","","🚚 ENVIAR MI TARJETA","https://vizioid.com/vz-mx-cc-es-mct-004/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"5","⚡ TARJETA ENVIADA — Sin espera. {{first_name}}, tu Tarjeta de Crédito fue aprobada al instante y ya está en el sistema de entrega.

Toca para asignar el mensajero y recibirla hoy.","","","🚚 ASIGNAR MENSAJERO","https://vizioid.com/vz-mx-cc-es-mct-005/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"6","📦 ACTUALIZACIÓN DE ENVÍO

Tu paquete de Tarjeta de Crédito espera una confirmación final antes del despacho.

Revisa tu información aquí.","","","📦 REVISAR INFO","https://vizioid.com/vz-mx-cc-es-mct-006/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"7","✅ AUTORIZADO: {{first_name}}, ya puedes activar tu nueva tarjeta.

Sin más espera. Toca para comenzar.","","","🚀 ACTIVAR AHORA","https://vizioid.com/vz-mx-cc-es-mct-007/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"8","🔔 (1) NUEVA ACTUALIZACIÓN DE TARJETA

El estado de tu Tarjeta de Crédito cambió a: APROBADA.

Toca para ver tu límite inicial y fecha de envío.","","","📥 LEER ESTADO","https://vizioid.com/vz-mx-cc-es-mct-008/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"9","✅ SOLICITUD RECIBIDA

{{first_name}}, tu solicitud de Tarjeta de Crédito fue recibida correctamente.
Hay un paso de confirmación antes de la próxima revisión.","","","✅ CONFIRMAR AHORA","https://vizioid.com/vz-mx-cc-es-mct-009/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"10","📍 ESTADO CONFIRMADO

Tu solicitud de Tarjeta de Crédito pasó al paso final de revisión.

Abre la actualización y termina el proceso.","","","🟢 TERMINAR PROCESO","https://vizioid.com/vz-mx-cc-es-mct-010/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
