"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","📋 PERFIL​ ACTUALIZADO

El​ estado de​ tu tarjeta​ está listo​ para revisar.​ Confirma los​ datos en​ la siguiente​ pantalla y​ continúa.","","","📋 VER RESULTADO","https://tarjeta.wantabrand.com/y8p2xGQM/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=wantabrand-us-cc-es-bd&utm_content=[utm_content]","","","",""
"2","💬 ESTADO​ DE SOLICITUD​

Tu solicitud​ de tarjeta​ tiene una​ nueva revisión​ disponible. Abre​ la actualización​ para continuar​ con las​ opciones.","","","💬 VER ESTADO","https://tarjeta.wantabrand.com/y8p2xGQM/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=wantabrand-us-cc-es-bd&utm_content=[utm_content]","","","",""
"3","✅ PERFIL​ ACTUALIZADO

Tu​ perfil tiene​ opciones de​ tarjeta disponibles.​ Abre la​ revisión para​ ver el​ próximo paso.​","","","✅ VER RESULTADO","https://tarjeta.wantabrand.com/y8p2xGQM/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=wantabrand-us-cc-es-bd&utm_content=[utm_content]","","","",""
"4","🔔 REVISIÓN​ DISPONIBLE

Tu​ solicitud de​ tarjeta tiene​ una nueva​ revisión disponible.​ Abre la​ actualización para​ continuar con​ las opciones.​","","","🔔 CONTINUAR","https://tarjeta.wantabrand.com/y8p2xGQM/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=wantabrand-us-cc-es-bd&utm_content=[utm_content]","","","",""
"5","🔎 REVISIÓN​ DE PERFIL​

Tu solicitud​ de tarjeta​ tiene una​ revisión lista.​ Abre la​ página para​ continuar con​ las opciones​ disponibles.","","","🔎 VER COMPATIBILIDAD","https://tarjeta.wantabrand.com/y8p2xGQM/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=wantabrand-us-cc-es-bd&utm_content=[utm_content]","","","",""
"6","🔎 OPCIONES​ DE TARJETA​

Tus opciones​ de tarjeta​ están listas​ para comparar.​ Abre la​ actualización y​ confirma el​ siguiente paso.​","","","📋 VER OPCIONES","https://tarjeta.wantabrand.com/y8p2xGQM/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=wantabrand-us-cc-es-bd&utm_content=[utm_content]","","","",""
"7","✅ REVISIÓN​ DISPONIBLE

El​ flujo de​ recomendación de​ tarjeta tiene​ nuevos detalles​ disponibles. Consulta​ la página​ para continuar.​","","","➡️ CONTINUAR","https://tarjeta.wantabrand.com/y8p2xGQM/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=wantabrand-us-cc-es-bd&utm_content=[utm_content]","","","",""
"8","💬 RESULTADO​ DE TARJETA​

Hay un​ paso de​ selección de​ tarjeta disponible​ ahora. Revisa​ la página​ y continúa​ desde ahí.​","","","🔎 ABRIR REVISIÓN","https://tarjeta.wantabrand.com/y8p2xGQM/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=wantabrand-us-cc-es-bd&utm_content=[utm_content]","","","",""
"9","🔔 PERFIL​ ACTUALIZADO

El​ resumen de​ opciones de​ tarjeta está​ listo. Confirma​ la información​ en la​ página de​ revisión.","","","📌 VER RESULTADO","https://tarjeta.wantabrand.com/y8p2xGQM/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=wantabrand-us-cc-es-bd&utm_content=[utm_content]","","","",""
"10","🔎 PERFIL​ COMPATIBLE

La​ página de​ revisión de​ solicitud está​ lista. Continúa​ allí para​ confirmar la​ información de​ tarjeta.","","","📄 REVISAR PERFIL","https://tarjeta.wantabrand.com/y8p2xGQM/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=wantabrand-us-cc-es-bd&utm_content=[utm_content]","","","",""
