"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","💳 KARTEN UPDATE

Deine Kartenanfrage hat einen Prüfschritt bereit. Öffne die Seite und sieh dir die verfügbaren Optionen an.","","","💳 KARTE PRÜFEN","https://xyvlov.com/xv-de-cc-de-mct-001/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"2","📌 KARTEN UPDATE

Für deine Kartenanfrage ist ein neuer Prüfschritt verfügbar. Öffne das Update und sieh dir die Optionen an.","","","📌 KARTE PRÜFEN","https://xyvlov.com/xv-de-cc-de-mct-001-2/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"3","💳 ANFRAGE STATUS

Der Status deiner Karte ist zur Prüfung bereit. Bestätige die Angaben auf der nächsten Seite.","","","💳 STATUS ANSEHEN","https://xyvlov.com/xv-de-cc-de-mct-002/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"4","🔎 KARTEN UPDATE

Für deine Kartenanfrage ist ein neuer Prüfschritt verfügbar. Öffne das Update und sieh dir die Optionen an.","","","🔎 KARTE PRÜFEN","https://xyvlov.com/xv-de-cc-de-mct-002-2/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"5","✅ KARTEN UPDATE

Deine Kartenanfrage hat einen Prüfschritt bereit. Öffne die Seite und sieh dir die verfügbaren Optionen an.","","","✅ KARTE PRÜFEN","https://xyvlov.com/xv-de-cc-de-mct-003/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"6","🔔 ANFRAGE STATUS

Der Status deiner Karte ist zur Prüfung bereit. Bestätige die Angaben auf der nächsten Seite.","","","🔔 STATUS ANSEHEN","https://xyvlov.com/xv-de-cc-de-mct-003-2/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"7","✅ PRÜFUNG STARTEN

Ein Kartenstatus Update wartet. Öffne die Seite und prüfe den verfügbaren Weg.","","","✅ TREFFER ANSEHEN","https://xyvlov.com/xv-de-cc-de-mct-004/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"8","💬 ERGEBNIS BEREIT

Deine Kartenprofilprüfung hat einen weiteren Schritt offen. Öffne das Update zum Fortfahren.","","","💬 OPTIONEN ÖFFNEN","https://xyvlov.com/xv-de-cc-de-mct-005/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"9","💳 PRÜFUNG FORTSETZEN

Die Prüfung der Kartenauswahl ist bereit. Öffne die Seite und bestätige die nächste Aktion.","","","💳 KARTENSTATUS SEHEN","https://xyvlov.com/xv-de-cc-de-mct-005-2/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"10","📋 STATUS BEREIT

Dein Karten Treffer hat ein verfügbares Ergebnis. Öffne das Update und prüfe die Details.","","","📋 STATUS ÖFFNEN","https://xyvlov.com/xv-de-cc-de-mct-006/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"11","✅ PROFIL TREFFER

Die Seite zur Anfrageprüfung ist bereit. Fahre dort fort und bestätige deine Kartendaten.","","","✅ PROFIL PRÜFEN","https://xyvlov.com/xv-de-cc-de-mct-007/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"12","📄 DETAILS VERFÜGBAR

Die Kartenempfehlungsseite hat einen Bestätigungsschritt. Prüfe ihn um weiterzumachen.","","","📄 PRÜFUNG BESTÄTIGEN","https://xyvlov.com/xv-de-cc-de-mct-008/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"13","📌 ANFRAGE PRÜFUNG

Dein Kartenprofil hat eine neue Optionsprüfung. Sieh dir die Details an bevor du fortfährst.","","","📌 OPTIONEN PRÜFEN","https://xyvlov.com/xv-de-cc-de-mct-009/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"14","📄 PROFIL TREFFER

Die Seite zur Anfrageprüfung ist bereit. Fahre dort fort und bestätige deine Kartendaten.","","","📄 PROFIL PRÜFEN","https://xyvlov.com/xv-de-cc-de-mct-010/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"15","📄 OPTIONEN OFFEN

Ein Ergebnis der Kartenprüfung ist verfügbar. Öffne das Update und sieh den nächsten Hinweis.","","","📄 DETAILS ÖFFNEN","https://xyvlov.com/xv-de-cc-de-mct-010-2/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"16","💬 PROFIL PRÜFUNG

Die Seite mit Kartenoptionen ist für eine schnelle Prüfung bereit. Fahre über die Prüfseite fort.","","","💬 ANTWORT SEHEN","https://xyvlov.com/xv-de-cc-de-mct-011/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"17","💳 KARTENAUSWAHL

Der Status deiner Kartenanfrage wechselte zu einem Prüfschritt. Öffne die Seite zur Kontrolle.","","","💳 PRÜFUNG FORTSETZEN","https://xyvlov.com/xv-de-cc-de-mct-012/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"18","📋 KARTEN OPTIONEN

Deine Kartenoptionen sind zum Vergleich bereit. Öffne das Update und bestätige den nächsten Schritt.","","","📋 OPTIONEN SEHEN","https://xyvlov.com/xv-de-cc-de-mct-012-2/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"19","✅ ERGEBNIS BEREIT

Deine Kartenprofilprüfung hat einen weiteren Schritt offen. Öffne das Update zum Fortfahren.","","","✅ OPTIONEN ÖFFNEN","https://xyvlov.com/xv-de-cc-de-mct-013/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"20","📋 PRÜFUNG OFFEN

Deine Kartenanfrage ist beim nächsten Prüfpunkt angekommen. Öffne die Statusseite für Details.","","","📋 DATEN BESTÄTIGEN","https://xyvlov.com/xv-de-cc-de-mct-013-2/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"21","📌 ANFRAGE STATUS

Für dein Kartenprofil ist eine Statusprüfung verfügbar. Prüfe die Details bevor du fortfährst.","","","📌 STATUS ANSEHEN","https://xyvlov.com/xv-de-cc-de-mct-014/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"22","📌 OPTIONEN OFFEN

Ein Ergebnis der Kartenprüfung ist verfügbar. Öffne das Update und sieh den nächsten Hinweis.","","","📌 DETAILS ÖFFNEN","https://xyvlov.com/xv-de-cc-de-mct-015/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
