"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","📋 RE​VI​SA TU SO​LI​CI​TU​D

Su so​li​ci​tu​d de ta​rj​et​a de cr​éd​it​o es​tá li​st​a pa​ra su re​vi​si​ón.
Ab​ra la pá​gi​na pa​ra ve​ri​fi​ca​r la in​fo​rm​ac​ió​n gu​ar​da​da pa​ra us​te​d.","","","📋 SOLICITUD DE REVISIÓN","https://tarjeta.zuout.com/lpszuout?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-es-bd&utm_content=[utm_content]","","","",""
"2","💳 ACTUALIZACIÓN DE​ TARJETA

Tu​ solicitud de​ tarjeta tiene​ una revisión​ lista. Abre​ la página​ para continuar​ con las​ opciones disponibles.​","","","💳 REVISAR TARJETA","https://tarjeta.zuout.com/lpszuout?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-es-bd&utm_content=[utm_content]","","","",""
"3","📋 ESTADO DE​ SOLICITUD

Hay​ una verificación​ disponible para​ tu perfil​ de tarjeta.​ Revisa los​ detalles antes​ de avanzar.​","","","📋 VER ESTADO","https://tarjeta.zuout.com/lpszuout?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-es-bd&utm_content=[utm_content]","","","",""
"4","✅ PERFIL​ ACTUALIZADO

El​ estado de​ tu tarjeta​ está listo​ para revisar.​ Confirma los​ datos en​ la siguiente​ pantalla y​ continúa.","","","✅ VER RESULTADO","https://tarjeta.zuout.com/lpszuout?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-es-bd&utm_content=[utm_content]","","","",""
"5","🔎 ESTADO​ DE SOLICITUD​

Tu solicitud​ de tarjeta​ tiene una​ nueva revisión​ disponible. Abre​ la actualización​ para continuar​ con las​ opciones.","","","🔎 VER ESTADO","https://tarjeta.zuout.com/lpszuout?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-es-bd&utm_content=[utm_content]","","","",""
"6","📌 PASO DE​ CONFIRMACIÓN

La​ revisión de​ tu perfil​ está lista​ para confirmación.​ Abre la​ actualización de​ tarjeta para​ ver el​ resultado.","","","📌 VER ACTUALIZACIÓN","https://tarjeta.zuout.com/lpszuout?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-es-bd&utm_content=[utm_content]","","","",""
"7","🔔 PASO​ DE CONFIRMACIÓN​

El flujo​ de recomendación​ de tarjeta​ tiene un​ resultado listo.​ Revisa los​ detalles antes​ de continuar.​","","","🔔 VER ACTUALIZACIÓN","https://tarjeta.zuout.com/lpszuout?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-es-bd&utm_content=[utm_content]","","","",""
"8","📄 REVISIÓN ABIERTA​

Tu solicitud​ de tarjeta​ pasó al​ siguiente punto​ de revisión.​ Abre la​ página de​ estado para​ ver detalles.​","","","📄 CONFIRMAR DATOS","https://tarjeta.zuout.com/lpszuout?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-es-bd&utm_content=[utm_content]","","","",""
"9","📋 PERFIL​ ACTUALIZADO

El​ estado de​ tu tarjeta​ está listo​ para revisar.​ Confirma los​ datos en​ la siguiente​ pantalla y​ continúa.","","","📋 VER RESULTADO","https://tarjeta.zuout.com/lpszuout?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-es-bd&utm_content=[utm_content]","","","",""
"10","💳 AVISO DE​ TARJETA

Hay​ una nueva​ actualización de​ perfil de​ tarjeta disponible.​ Revisa las​ opciones y​ continúa.","","","💳 VER OPCIONES DE TARJETA","https://tarjeta.zuout.com/lpszuout?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-es-bd&utm_content=[utm_content]","","","",""
"11","💬 ESTADO​ DE SOLICITUD​

Tu solicitud​ de tarjeta​ tiene una​ nueva revisión​ disponible. Abre​ la actualización​ para continuar​ con las​ opciones.","","","💬 VER ESTADO","https://tarjeta.zuout.com/lpszuout?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-es-bd&utm_content=[utm_content]","","","",""
"12","✅ PERFIL COMPATIBLE​

La página​ de revisión​ de solicitud​ está lista.​ Continúa allí​ para confirmar​ la información​ de tarjeta.​","","","✅ REVISAR PERFIL","https://tarjeta.zuout.com/lpszuout?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-es-bd&utm_content=[utm_content]","","","",""
