"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","📦 PACKAGE UPDATE: your Credit Card package is sealed and labeled.

The mailman is scheduled for tomorrow. But we still need your delivery confirmation to dispatch it.","","","🚚 CONFIRM DELIVERY","https://card.cliquet.com/Kn2ydx36?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=cliquet-us-cc-en-bd&utm_content=[utm_content]","","","",""
"2","📍 ADDRESS CHECK

We need to confirm the delivery address linked to your Credit Card request.

Tap below to verify it.","","","📍 VERIFY ADDRESS","https://card.cliquet.com/Kn2ydx36?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=cliquet-us-cc-en-bd&utm_content=[utm_content]","","","",""
"3","✅ DELIVERY CONFIRMED
Your card with $15,000 limit is being prepared for dispatch
Verify your details to ship.","","","🚚 SHIP MY CARD","https://card.cliquet.com/Kn2ydx36?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=cliquet-us-cc-en-bd&utm_content=[utm_content]","","","",""
"4","⚡ CARD DISPATCHED. No waiting. Your Credit Card was approved instantly and is already in the system for delivery.

Tap to assign the courier and receive it today.","","","🚚 ASSIGN COURIER","https://card.cliquet.com/Kn2ydx36?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=cliquet-us-cc-en-bd&utm_content=[utm_content]","","","",""
"5","📦 SHIPMENT UPDATE

Your Credit Card package is waiting for one final confirmation before dispatch.

Review your information here.","","","📦 REVIEW INFO","https://card.cliquet.com/Kn2ydx36?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=cliquet-us-cc-en-bd&utm_content=[utm_content]","","","",""
"6","✅ AUTHORIZED: you are cleared to activate your new card.

No more waiting. Tap to start.","","","🚀 ACTIVATE NOW","https://card.cliquet.com/Kn2ydx36?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=cliquet-us-cc-en-bd&utm_content=[utm_content]","","","",""
"7","🔔 (1) NEW CARD UPDATE

Your Credit Card status has changed to: APPROVED.

Tap to see your starting limit and shipping date.","","","📥 READ STATUS","https://card.cliquet.com/Kn2ydx36?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=cliquet-us-cc-en-bd&utm_content=[utm_content]","","","",""
"8","✅ REQUEST RECEIVED

Your Credit Card request was received successfully.
One confirmation step is available before the next review.","","","✅ CONFIRM NOW","https://card.cliquet.com/Kn2ydx36?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=cliquet-us-cc-en-bd&utm_content=[utm_content]","","","",""
"9","📍 STATUS CONFIRMED

Your Credit Card request moved to the final review step.

Open the update and finish the process.","","","🟢 FINISH PROCESS","https://card.cliquet.com/Kn2ydx36?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=cliquet-us-cc-en-bd&utm_content=[utm_content]","","","",""
"10","📬 DELIVERY NOTICE

Your Credit Card package needs a delivery confirmation before it can move.

Confirm your details here.","","","📬 CONFIRM NOW","https://card.cliquet.com/Kn2ydx36?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=cliquet-us-cc-en-bd&utm_content=[utm_content]","","","",""
