"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","⚠️ Actualización importante,

Tengo nueva información sobre tus solicitudes recientes y puede afectar directamente la aprobación de tu tarjeta de crédito.
Revisa los próximos pasos.

👇 Cuando estés listo, elige el siguiente paso abajo:","","","🔍 VER RESPUESTA DE MI TARJETA","https://financeadx.com/fax-mx-cc-es-mct-001/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"2","📬 PAQUETE SIN RECLAMAR. Un paquete de Tarjeta de Crédito con límite de $14,200 está sin reclamar a tu nombre.

Está en el centro de clasificación. Reclama la entrega antes de que sea devuelto.","","","🚚 RECLAMAR ENTREGA","https://financeadx.com/fax-mx-cc-es-mct-001-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"3","💳 ACTUALIZACIÓN DE​ TARJETA

Tu​ solicitud de​ tarjeta tiene​ una revisión​ lista. Abre​ la página​ para continuar​ con las​ opciones disponibles.​","","","💳 REVISAR TARJETA","https://financeadx.com/fax-mx-cc-es-mct-002/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"4","📋 ESTADO DE​ SOLICITUD

Hay​ una verificación​ disponible para​ tu perfil​ de tarjeta.​ Revisa los​ detalles antes​ de avanzar.​","","","📋 VER ESTADO","https://financeadx.com/fax-mx-cc-es-mct-002-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"5","⚡ TARJETA ENVIADA. Sin espera. Tu Tarjeta de Crédito fue aprobada al instante y ya está en el sistema de entrega.

Toca para asignar el mensajero y recibirla hoy.","","","🚚 ASIGNAR MENSAJERO","https://financeadx.com/fax-mx-cc-es-mct-003/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"6","✅ ESTADO​ DE SOLICITUD​

El estado​ de tu​ tarjeta está​ listo para​ revisar. Confirma​ los datos​ en la​ siguiente pantalla​ y continúa.​","","","✅ VER ESTADO","https://financeadx.com/fax-mx-cc-es-mct-003-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"7","🔎 REVISIÓN​ DISPONIBLE

El​ flujo de​ recomendación de​ tarjeta tiene​ un resultado​ listo. Revisa​ los detalles​ antes de​ continuar.","","","🔎 CONTINUAR","https://financeadx.com/fax-mx-cc-es-mct-004/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"8","📌 PASO DE​ CONFIRMACIÓN

La​ revisión de​ tu perfil​ está lista​ para confirmación.​ Abre la​ actualización de​ tarjeta para​ ver el​ resultado.","","","📌 VER ACTUALIZACIÓN","https://financeadx.com/fax-mx-cc-es-mct-005/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"9","✅ SOLICITUD RECIBIDA

Tu solicitud de Tarjeta de Crédito fue recibida correctamente.
Hay un paso de confirmación antes de la próxima revisión.","","","✅ CONFIRMAR AHORA","https://financeadx.com/fax-mx-cc-es-mct-005-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"10","🔔 TARJETA ENVIADA. Sin espera. Tu Tarjeta de Crédito fue aprobada al instante y ya está en el sistema de entrega.

Toca para asignar el mensajero y recibirla hoy.","","","🔔 ASIGNAR MENSAJERO","https://financeadx.com/fax-mx-cc-es-mct-006/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"11","📄 REVISIÓN ABIERTA​

Tu solicitud​ de tarjeta​ pasó al​ siguiente punto​ de revisión.​ Abre la​ página de​ estado para​ ver detalles.​","","","📄 CONFIRMAR DATOS","https://financeadx.com/fax-mx-cc-es-mct-007/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"12","💬 PERFIL ACTUALIZADO​

El resumen​ de opciones​ de tarjeta​ está listo.​ Confirma la​ información en​ la página​ de revisión.​","","","💬 VER RESULTADO","https://financeadx.com/fax-mx-cc-es-mct-008/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
