"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","🚗 APPLICATION STATUS UPDATE

Your auto financing request has a new review step available. Open the update to continue.","","","🚗 CHECK STATUS","https://fincgriffin.com/fincg-us-car-en-mct-001/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"2","📋 REQUEST RECEIVED

Your vehicle finance request was received successfully. Confirm the next step to keep it active.","","","✅ CONFIRM NOW","https://fincgriffin.com/fincg-us-car-en-mct-002/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"3","🔎 REVIEW READY

Your car loan profile is ready for review. Check the available details on the secure page.","","","🔎 REVIEW OPTIONS","https://fincgriffin.com/fincg-us-car-en-mct-003/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"4","📍 STATUS CHECKPOINT

Your vehicle request reached a new checkpoint. Review the information and continue.","","","📍 CHECK UPDATE","https://fincgriffin.com/fincg-us-car-en-mct-004/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"5","✅ PRE CHECK AVAILABLE

A pre check step is available for your auto financing request. Open it to review the next action.","","","✅ OPEN PRE-CHECK","https://fincgriffin.com/fincg-us-car-en-mct-005/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"6","📬 UPDATE WAITING

There is an update waiting for your car financing request. Review it before the request expires.","","","📬 OPEN UPDATE","https://fincgriffin.com/fincg-us-car-en-mct-006/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"7","📝 CONFIRM DETAILS

Your request needs one confirmation before the next review. Check your information now.","","","📝 CONFIRM DETAILS","https://fincgriffin.com/fincg-us-car-en-mct-007/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"8","🚘 VEHICLE OPTIONS READY

Your vehicle financing options are ready to review. Open the page to continue.","","","🚘 SEE OPTIONS","https://fincgriffin.com/fincg-us-car-en-mct-008/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"9","🔔 NEW REQUEST UPDATE

Your auto finance request has a new status available. Continue from the secure page.","","","🔔 READ STATUS","https://fincgriffin.com/fincg-us-car-en-mct-009/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"10","📌 FINAL REVIEW STEP

Your car loan request moved to the final review step. Open the update and finish the process.","","","📌 FINISH REVIEW","https://fincgriffin.com/fincg-us-car-en-mct-010/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"11","⚠️ this is NOT a drill: $0 down, no SSN, and instant approval. Only a few spots left!","","","✅ CHECK NOW","https://fincgriffin.com/fincg-us-car-en-mct-011/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"12","🛑 Denied before? Forget that. This system is approving drivers DAILY. Even with bad credit.","","","💵 SEE MY PLAN","https://fincgriffin.com/fincg-us-car-en-mct-012/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"13","⏳ They’re closing pre approvals TONIGHT. If you wait, you might lose your chance to drive.","","","⚡ START NOW","https://fincgriffin.com/fincg-us-car-en-mct-013/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
