"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","⚠️ Wichtige Aktualisierung,

Ich habe neue Informationen zu deinen letzten Anträgen, die deine Kreditkartenfreigabe direkt betreffen können.
Bitte prüfe die nächsten Schritte.

👇 Wenn du bereit bist, wähle unten den nächsten Schritt:","","","🔍 ANTWORT MEINER KARTE SEHEN","https://helixenit.net/heli-de-cc-de-mct-001/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"2","📬 NICHT ABGEHOLTES PAKET. Ein Kreditkartenpaket mit einem Limit von 14.200 € liegt noch unbeansprucht auf deinen Namen vor.

Es befindet sich im Sortierzentrum. Fordere die Lieferung an, bevor es zurückgesendet wird.","","","🚚 LIEFERUNG ANFORDERN","https://helixenit.net/heli-de-cc-de-mct-001-2/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"3","💳 KREDITKARTE GENEHMIGT

Glückwunsch! Deine neue Kreditkarte ist versandbereit.

Wir müssen nur noch die Lieferadresse bestätigen.","","","🚚 JETZT BESTÄTIGEN","https://helixenit.net/heli-de-cc-de-mct-002/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"4","✅ LIEFERUNG BESTÄTIGT
Deine Karte mit einem Limit von 15.000 € wird für den Versand vorbereitet.
Prüfe deine Angaben für den Versand.","","","🚚 MEINE KARTE SENDEN","https://helixenit.net/heli-de-cc-de-mct-002-2/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"5","💳 KARTEN UPDATE

Deine Kartenanfrage hat einen Prüfschritt bereit. Öffne die Seite und sieh dir die verfügbaren Optionen an.","","","💳 KARTE PRÜFEN","https://helixenit.net/heli-de-cc-de-mct-003/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"6","📦 VERSANDUPDATE

Dein Kreditkartenpaket wartet vor dem Versand auf eine letzte Bestätigung.

Prüfe deine Informationen hier.","","","📦 INFO PRÜFEN","https://helixenit.net/heli-de-cc-de-mct-003-2/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"7","📋 ANFRAGE STATUS

Für dein Kartenprofil ist eine Statusprüfung verfügbar. Prüfe die Details bevor du fortfährst.","","","📋 STATUS ANSEHEN","https://helixenit.net/heli-de-cc-de-mct-004/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"8","🔔 (1) NEUES KARTENUPDATE

Der Status deiner Kreditkarte wurde geändert auf: GENEHMIGT.

Tippe, um dein Startlimit und Versanddatum zu sehen.","","","📥 STATUS LESEN","https://helixenit.net/heli-de-cc-de-mct-005/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"9","✅ ANFRAGE PRÜFUNG

Dein Kartenprofil hat eine neue Optionsprüfung. Sieh dir die Details an bevor du fortfährst.","","","✅ OPTIONEN PRÜFEN","https://helixenit.net/heli-de-cc-de-mct-005-2/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"10","📍 STATUS BESTÄTIGT

Deine Kreditkartenanfrage ist im letzten Prüfschritt.

Öffne das Update und schließe den Vorgang ab.","","","🟢 VORGANG ABSCHLIESSEN","https://helixenit.net/heli-de-cc-de-mct-006/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"11","🔎 KARTEN UPDATE

Für deine Kartenanfrage ist ein neuer Prüfschritt verfügbar. Öffne das Update und sieh dir die Optionen an.","","","🔎 KARTE PRÜFEN","https://helixenit.net/heli-de-cc-de-mct-007/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"12","📌 BESTÄTIGUNG BEREIT

Deine Profilprüfung ist zur Bestätigung bereit. Öffne das Karten Update und sieh dir das Ergebnis an.","","","📌 UPDATE ANSEHEN","https://helixenit.net/heli-de-cc-de-mct-008/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"13","🔔 ANFRAGE STATUS

Der Status deiner Karte ist zur Prüfung bereit. Bestätige die Angaben auf der nächsten Seite.","","","🔔 STATUS ANSEHEN","https://helixenit.net/heli-de-cc-de-mct-009/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"14","📄 PRÜFUNG OFFEN

Deine Kartenanfrage ist beim nächsten Prüfpunkt angekommen. Öffne die Statusseite für Details.","","","📄 DATEN BESTÄTIGEN","https://helixenit.net/heli-de-cc-de-mct-010/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"15","💬 PROFIL UPDATE

Die Zusammenfassung der Kartenoptionen ist bereit. Bestätige die Angaben auf der Prüfseite.","","","💬 ERGEBNIS SEHEN","https://helixenit.net/heli-de-cc-de-mct-010-2/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"16","💳 KARTEN HINWEIS

Ein neues Update für dein Kartenprofil ist verfügbar. Prüfe die Optionen und fahre fort.","","","💳 KARTENOPTIONEN SEHEN","https://helixenit.net/heli-de-cc-de-mct-011/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"17","📋 STATUS BEREIT

Dein Karten Treffer hat ein verfügbares Ergebnis. Öffne das Update und prüfe die Details.","","","📋 STATUS ÖFFNEN","https://helixenit.net/heli-de-cc-de-mct-012/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"18","✅ PROFIL TREFFER

Die Seite zur Anfrageprüfung ist bereit. Fahre dort fort und bestätige deine Kartendaten.","","","✅ PROFIL PRÜFEN","https://helixenit.net/heli-de-cc-de-mct-012-2/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"19","🔎 PRÜFUNG STARTEN

Ein Kartenstatus Update wartet. Öffne die Seite und prüfe den verfügbaren Weg.","","","🔎 TREFFER ANSEHEN","https://helixenit.net/heli-de-cc-de-mct-013/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"20","📌 ANFRAGE PRÜFUNG

Dein Kartenprofil hat eine neue Optionsprüfung. Sieh dir die Details an bevor du fortfährst.","","","📌 OPTIONEN PRÜFEN","https://helixenit.net/heli-de-cc-de-mct-013-2/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
