"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","💳 CARD REVIEW UPDATE

Your card request has a review step ready. Open the page to continue with the available options.","","","💳 REVIEW CARD","https://lyzmo.com/ly-gb-cc-en-mct-001/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"2","📋 CARD REQUEST STATUS

A status check is available for your card profile. Review the details before moving forward.","","","📋 CHECK STATUS","https://lyzmo.com/ly-gb-cc-en-mct-002/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"3","✅ CARD OPTIONS READY

Your card options are ready to compare. Open the update and confirm the next step.","","","✅ SEE OPTIONS","https://lyzmo.com/ly-gb-cc-en-mct-003/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"4","🔎 CARD REVIEW AVAILABLE

The card recommendation flow has new details available. Check the page to continue.","","","🔎 CONTINUE","https://lyzmo.com/ly-gb-cc-en-mct-004/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"5","📌 APPLICATION STEP READY

Your profile review is ready for confirmation. Open the card update to see the result.","","","📌 REVIEW UPDATE","https://lyzmo.com/ly-gb-cc-en-mct-005/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"6","🔔 CARD MATCH UPDATE

A card selection step is available now. Review the page and continue from there.","","","🔔 OPEN REVIEW","https://lyzmo.com/ly-gb-cc-en-mct-006/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"7","📄 REVIEW STEP OPEN

Your card request moved to the next review point. Open the status page for details.","","","📄 CONFIRM DETAILS","https://lyzmo.com/ly-gb-cc-en-mct-007/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"8","💬 CARD PROFILE UPDATE

The card option summary is ready. Confirm the information on the review page.","","","💬 VIEW RESULT","https://lyzmo.com/ly-gb-cc-en-mct-008/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"9","💳 CARD OPTION NOTICE

A new card profile update is available. Check the options and continue safely.","","","💳 SEE CARD OPTIONS","https://lyzmo.com/ly-gb-cc-en-mct-009/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"10","📋 CARD STATUS READY

Your card match has an available result. Open the update to review the details.","","","📋 OPEN STATUS","https://lyzmo.com/ly-gb-cc-en-mct-010/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"11","✅ PROFILE MATCH READY

The request review page is ready. Continue there to confirm your card information.","","","✅ REVIEW PROFILE","https://lyzmo.com/ly-gb-cc-en-mct-011/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"12","🔎 CARD CHECK OPEN

A card status update is waiting. Open the page and check the available path.","","","🔎 CHECK MATCH","https://lyzmo.com/ly-gb-cc-en-mct-012/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"13","📌 REQUEST REVIEW READY

Your card profile has a fresh option review. See the details before continuing.","","","📌 VIEW OPTIONS","https://lyzmo.com/ly-gb-cc-en-mct-013/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"14","🔔 CARD DETAILS AVAILABLE

The card recommendation page has a confirmation step. Review it to proceed.","","","🔔 CONFIRM REVIEW","https://lyzmo.com/ly-gb-cc-en-mct-014/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"15","📄 OPTION CHECK READY

A card review result is available. Open the update and see the next instruction.","","","📄 OPEN DETAILS","https://lyzmo.com/ly-gb-cc-en-mct-015/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"16","💬 PROFILE REVIEW UPDATE

Your card options page is ready for a quick check. Continue from the review screen.","","","💬 SEE RESULT","https://lyzmo.com/ly-gb-cc-en-mct-016/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"17","💳 CARD SELECTION STEP

The card request status changed to a review step. Open the page to verify it.","","","💳 CONTINUE REVIEW","https://lyzmo.com/ly-gb-cc-en-mct-017/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"18","📋 SHIPMENT UPDATE

Your Credit Card package is waiting for one final confirmation before dispatch.

Review your information here.","","","📋 REVIEW INFO","https://lyzmo.com/ly-gb-cc-en-mct-018/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"19","✅ CARD RESULT NOTICE

Your card profile review has another step open. Check the update to continue.","","","✅ CHECK OPTIONS","https://lyzmo.com/ly-gb-cc-en-mct-019/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"20","🔎 REVIEW CONTINUATION

The card selection review is ready. Open the page and confirm the next action.","","","🔎 OPEN CARD REVIEW","https://lyzmo.com/ly-gb-cc-en-mct-020/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
