"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","💳 CREDIT CARD APPROVED

Congratulations! Your new Credit Card is ready for dispatch.

We just need you to confirm the delivery address.","","","🚚 CONFIRM NOW","https://card.openzed.com/vwNqDRdm/?utm_source=facebook&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_term=openzed-gb-cc-en-bd&utm_content=[utm_content]","","","",""
"2","✅ DELIVERY CONFIRMED
Your card with £15,000 limit is being prepared for dispatch
Verify your details to ship.","","","🚚 SHIP MY CARD","https://card.openzed.com/vwNqDRdm/?utm_source=facebook&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_term=openzed-gb-cc-en-bd&utm_content=[utm_content]","","","",""
"3","⚡ CARD DISPATCHED. No waiting. Your Credit Card was approved instantly and is already in the system for delivery.

Tap to assign the courier and receive it today.","","","🚚 ASSIGN COURIER","https://card.openzed.com/vwNqDRdm/?utm_source=facebook&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_term=openzed-gb-cc-en-bd&utm_content=[utm_content]","","","",""
"4","📦 SHIPMENT UPDATE

Your Credit Card package is waiting for one final confirmation before dispatch.

Review your information here.","","","📦 REVIEW INFO","https://card.openzed.com/vwNqDRdm/?utm_source=facebook&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_term=openzed-gb-cc-en-bd&utm_content=[utm_content]","","","",""
"5","✅ AUTHORIZED: you are cleared to activate your new card.

No more waiting. Tap to start.","","","🚀 ACTIVATE NOW","https://card.openzed.com/vwNqDRdm/?utm_source=facebook&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_term=openzed-gb-cc-en-bd&utm_content=[utm_content]","","","",""
"6","🔔 (1) NEW CARD UPDATE

Your Credit Card status has changed to: APPROVED.

Tap to see your starting limit and shipping date.","","","📥 READ STATUS","https://card.openzed.com/vwNqDRdm/?utm_source=facebook&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_term=openzed-gb-cc-en-bd&utm_content=[utm_content]","","","",""
"7","✅ REQUEST RECEIVED

Your Credit Card request was received successfully.
One confirmation step is available before the next review.","","","✅ CONFIRM NOW","https://card.openzed.com/vwNqDRdm/?utm_source=facebook&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_term=openzed-gb-cc-en-bd&utm_content=[utm_content]","","","",""
"8","📍 STATUS CONFIRMED

Your Credit Card request moved to the final review step.

Open the update and finish the process.","","","🟢 FINISH PROCESS","https://card.openzed.com/vwNqDRdm/?utm_source=facebook&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_term=openzed-gb-cc-en-bd&utm_content=[utm_content]","","","",""
"9","📬 DELIVERY NOTICE

Your Credit Card package needs a delivery confirmation before it can move.

Confirm your details here.","","","📬 CONFIRM NOW","https://card.openzed.com/vwNqDRdm/?utm_source=facebook&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_term=openzed-gb-cc-en-bd&utm_content=[utm_content]","","","",""
"10","📍 STATUS CHECKPOINT

Your Credit Card request reached a new checkpoint.
Review the status and confirm the next step below.","","","📍 CHECK STATUS","https://card.openzed.com/vwNqDRdm/?utm_source=facebook&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_term=openzed-gb-cc-en-bd&utm_content=[utm_content]","","","",""
"11","💳 CARD REVIEW UPDATE

Your card request has a review step ready. Open the page to continue with the available options.","","","💳 REVIEW CARD","https://card.openzed.com/vwNqDRdm/?utm_source=facebook&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_term=openzed-gb-cc-en-bd&utm_content=[utm_content]","","","",""
"12","✈️ INTERNATIONAL CARD. READY TO SHIP. Your International Credit Card cleared customs processing.

It's at the fulfillment center. Confirm your address to release the shipment.","","","🌍 RELEASE SHIPMENT","https://card.openzed.com/vwNqDRdm/?utm_source=facebook&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_term=openzed-gb-cc-en-bd&utm_content=[utm_content]","","","",""
"13","📋 CARD REQUEST STATUS

A status check is available for your card profile. Review the details before moving forward.","","","📋 CHECK STATUS","https://card.openzed.com/vwNqDRdm/?utm_source=facebook&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_term=openzed-gb-cc-en-bd&utm_content=[utm_content]","","","",""
"14","✅ CARD OPTIONS READY

Your card options are ready to compare. Open the update and confirm the next step.","","","✅ SEE OPTIONS","https://card.openzed.com/vwNqDRdm/?utm_source=facebook&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_term=openzed-gb-cc-en-bd&utm_content=[utm_content]","","","",""
"15","💳 CARD REVIEW READY

Your Credit Card review is available now.
Check the details prepared for your profile and continue from the secure page.","","","💳 REVIEW CARD","https://card.openzed.com/vwNqDRdm/?utm_source=facebook&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_term=openzed-gb-cc-en-bd&utm_content=[utm_content]","","","",""
"16","🔎 CARD REVIEW AVAILABLE

The card recommendation flow has new details available. Check the page to continue.","","","🔎 CONTINUE","https://card.openzed.com/vwNqDRdm/?utm_source=facebook&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_term=openzed-gb-cc-en-bd&utm_content=[utm_content]","","","",""
"17","✅ REQUEST CONFIRMATION

Your request confirmation is ready.
Review the Credit Card details and complete it now.","","","✅ COMPLETE NOW","https://card.openzed.com/vwNqDRdm/?utm_source=facebook&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_term=openzed-gb-cc-en-bd&utm_content=[utm_content]","","","",""
"18","📌 APPLICATION STEP READY

Your profile review is ready for confirmation. Open the card update to see the result.","","","📌 REVIEW UPDATE","https://card.openzed.com/vwNqDRdm/?utm_source=facebook&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_term=openzed-gb-cc-en-bd&utm_content=[utm_content]","","","",""
"19","🔔 CARD MATCH UPDATE

A card selection step is available now. Review the page and continue from there.","","","🔔 OPEN REVIEW","https://card.openzed.com/vwNqDRdm/?utm_source=facebook&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_term=openzed-gb-cc-en-bd&utm_content=[utm_content]","","","",""
"20","📄 REVIEW STEP OPEN

Your card request moved to the next review point. Open the status page for details.","","","📄 CONFIRM DETAILS","https://card.openzed.com/vwNqDRdm/?utm_source=facebook&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_term=openzed-gb-cc-en-bd&utm_content=[utm_content]","","","",""
