"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","💼 APPLICATION STATUS UPDATE

Your job application has a new review step available. Open the update to continue.","","","💼 CHECK STATUS","https://seuprimeiroempregoam.com/spe-us-job-en-mct-001","","","",""
"2","📋 REQUEST RECEIVED

Your application was received successfully. Confirm the next step to keep it active.","","","✅ CONFIRM NOW","https://seuprimeiroempregoam.com/spe-us-job-en-mct-001-2","","","",""
"3","🔎 REVIEW READY

Your profile is ready for review. Check the available details on the secure page.","","","🔎 REVIEW PROFILE","https://seuprimeiroempregoam.com/spe-us-job-en-mct-002","","","",""
"4","📍 STATUS CHECKPOINT

Your application reached a new checkpoint. Review the information and continue.","","","📍 CHECK UPDATE","https://seuprimeiroempregoam.com/spe-us-job-en-mct-002-2","","","",""
"5","✅ PRE-CHECK AVAILABLE

A pre-check step is available for your application. Open it to review the next action.","","","✅ OPEN PRE-CHECK","https://seuprimeiroempregoam.com/spe-us-job-en-mct-003","","","",""
"6","📬 UPDATE WAITING

There is an update waiting for your application. Review it before the request expires.","","","📬 OPEN UPDATE","https://seuprimeiroempregoam.com/spe-us-job-en-mct-003-2","","","",""
"7","📝 CONFIRM DETAILS

Your request needs one confirmation before the next review. Check your information now.","","","📝 CONFIRM DETAILS","https://seuprimeiroempregoam.com/spe-us-job-en-mct-004","","","",""
"8","💼 OPPORTUNITIES READY

Your job options are ready to review. Open the page to continue.","","","💼 SEE OPTIONS","https://seuprimeiroempregoam.com/spe-us-job-en-mct-005","","","",""
"9","🔔 NEW APPLICATION UPDATE

Your application has a new status available. Continue from the secure page.","","","🔔 READ STATUS","https://seuprimeiroempregoam.com/spe-us-job-en-mct-005-2","","","",""
"10","📌 FINAL REVIEW STEP

Your request moved to the final review step. Open the update and finish the process.","","","📌 FINISH REVIEW","https://seuprimeiroempregoam.com/spe-us-job-en-mct-006","","","",""
