"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","💳 CARD REVIEW UPDATE

Your card request has a review step ready. Open the page to continue with the available options.","","","💳 REVIEW CARD","https://card.wavesbee.com/KhGcfxkD","","","",""
"2","📋 CARD REQUEST STATUS

A status check is available for your card profile. Review the details before moving forward.","","","📋 CHECK STATUS","https://card.wavesbee.com/KhGcfxkD","","","",""
"3","✅ CARD OPTIONS READY

Your card options are ready to compare. Open the update and confirm the next step.","","","✅ SEE OPTIONS","https://card.wavesbee.com/KhGcfxkD","","","",""
"4","🔎 REVIEW STEP OPEN 

A new update for your request is available. Open the information and review the latest details.","","","🔎 CONFIRM DETAILS","https://card.wavesbee.com/KhGcfxkD","","","",""
"5","📌 APPLICATION STEP READY

Your profile review is ready for confirmation. Open the card update to see the result.","","","📌 REVIEW UPDATE","https://card.wavesbee.com/KhGcfxkD","","","",""
"6","🔔 CARD MATCH UPDATE

A card selection step is available now. Review the page and continue from there.","","","🔔 OPEN REVIEW","https://card.wavesbee.com/KhGcfxkD","","","",""
"7","📄 REVIEW STEP OPEN

Your card request moved to the next review point. Open the status page for details.","","","📄 CONFIRM DETAILS","https://card.wavesbee.com/KhGcfxkD","","","",""
"8","💬 CARD PROFILE UPDATE

The card option summary is ready. Confirm the information on the review page.","","","💬 VIEW RESULT","https://card.wavesbee.com/KhGcfxkD","","","",""
"9","💳 CARD OPTION NOTICE

A new card profile update is available. Check the options and continue safely.","","","💳 SEE CARD OPTIONS","https://card.wavesbee.com/KhGcfxkD","","","",""
"10","📋 CARD STATUS READY

Your card match has an available result. Open the update to review the details.","","","📋 OPEN STATUS","https://card.wavesbee.com/KhGcfxkD","","","",""
"11","✅ PROFILE MATCH READY

The request review page is ready. Continue there to confirm your card information.","","","✅ REVIEW PROFILE","https://card.wavesbee.com/KhGcfxkD","","","",""
"12","🔎 CARD CHECK OPEN

A card status update is waiting. Open the page and check the available path.","","","🔎 CHECK MATCH","https://card.wavesbee.com/KhGcfxkD","","","",""
"13","📌 REQUEST REVIEW READY

Your card profile has a fresh option review. See the details before continuing.","","","📌 VIEW OPTIONS","https://card.wavesbee.com/KhGcfxkD","","","",""
"14","🔔 CARD PACKAGE READY

Your Credit Card kit is prepared and waiting for delivery confirmation.

Confirm your details to continue.","","","🔔 CONFIRM DETAILS","https://card.wavesbee.com/KhGcfxkD","","","",""
"15","📄 OPTION CHECK READY

A card review result is available. Open the update and see the next instruction.","","","📄 OPEN DETAILS","https://card.wavesbee.com/KhGcfxkD","","","",""
"16","💬 PROFILE REVIEW UPDATE

Your card options page is ready for a quick check. Continue from the review screen.","","","💬 SEE RESULT","https://card.wavesbee.com/KhGcfxkD","","","",""
"17","💳 CARD SELECTION STEP

The card request status changed to a review step. Open the page to verify it.","","","💳 CONTINUE REVIEW","https://card.wavesbee.com/KhGcfxkD","","","",""
"18","📋 REVIEW STEP OPEN

Your credit profile has card options available to review. Open the update and check the next step.","","","📋 CONFIRM DETAILS","https://card.wavesbee.com/KhGcfxkD","","","",""
"19","✅ CARD RESULT NOTICE

Your card profile review has another step open. Check the update to continue.","","","✅ CHECK OPTIONS","https://card.wavesbee.com/KhGcfxkD","","","",""
"20","🔎 REVIEW CONTINUATION

The card selection review is ready. Open the page and confirm the next action.","","","🔎 OPEN CARD REVIEW","https://card.wavesbee.com/KhGcfxkD","","","",""
