"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","💳 CARD REVIEW UPDATE

Your card request has a review step ready. Open the page to continue with the available options.","","","💳 REVIEW CARD","https://card.zuout.com/KNKcHGXh?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-en-bd&utm_content=[utm_content]","","","",""
"2","📋 CARD REQUEST STATUS

A status check is available for your card profile. Review the details before moving forward.","","","📋 CHECK STATUS","https://card.zuout.com/KNKcHGXh?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-en-bd&utm_content=[utm_content]","","","",""
"3","📦 PRIORITY SHIPMENT READY. Based on your history, your 5 star card was moved to priority dispatch.

Your package is queued. Tap to confirm before the slot is reassigned.","","","🚚 CLAIM SHIPMENT","https://card.zuout.com/KNKcHGXh?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-en-bd&utm_content=[utm_content]","","","",""
"4","✈️ INTERNATIONAL CARD. READY TO SHIP. Your International Credit Card cleared customs processing.

It's at the fulfillment center. Confirm your address to release the shipment.","","","🌍 RELEASE SHIPMENT","https://card.zuout.com/KNKcHGXh?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-en-bd&utm_content=[utm_content]","","","",""
"5","✅ CARD OPTIONS READY

Your card options are ready to compare. Open the update and confirm the next step.","","","✅ SEE OPTIONS","https://card.zuout.com/KNKcHGXh?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-en-bd&utm_content=[utm_content]","","","",""
"6","🔎 REVIEW STEP OPEN 

A new update for your request is available. Open the information and review the latest details.","","","🔎 CONFIRM DETAILS","https://card.zuout.com/KNKcHGXh?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-en-bd&utm_content=[utm_content]","","","",""
"7","📌 APPLICATION STEP READY

Your profile review is ready for confirmation. Open the card update to see the result.","","","📌 REVIEW UPDATE","https://card.zuout.com/KNKcHGXh?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-en-bd&utm_content=[utm_content]","","","",""
"8","🔔 CARD MATCH UPDATE

A card selection step is available now. Review the page and continue from there.","","","🔔 OPEN REVIEW","https://card.zuout.com/KNKcHGXh?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-en-bd&utm_content=[utm_content]","","","",""
"9","📄 REVIEW STEP OPEN

Your card request moved to the next review point. Open the status page for details.","","","📄 CONFIRM DETAILS","https://card.zuout.com/KNKcHGXh?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-en-bd&utm_content=[utm_content]","","","",""
"10","💬 CARD PROFILE UPDATE

The card option summary is ready. Confirm the information on the review page.","","","💬 VIEW RESULT","https://card.zuout.com/KNKcHGXh?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-en-bd&utm_content=[utm_content]","","","",""
"11","📦 PACKAGE UPDATE: your Credit Card package is sealed and labeled.

The mailman is scheduled for tomorrow. But we still need your delivery confirmation to dispatch it.","","","🚚 CONFIRM DELIVERY","https://card.zuout.com/KNKcHGXh?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-en-bd&utm_content=[utm_content]","","","",""
"12","💳 CARD OPTION NOTICE

A new card profile update is available. Check the options and continue safely.","","","💳 SEE CARD OPTIONS","https://card.zuout.com/KNKcHGXh?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-en-bd&utm_content=[utm_content]","","","",""
"13","📋 CARD STATUS READY

Your card match has an available result. Open the update to review the details.","","","📋 OPEN STATUS","https://card.zuout.com/KNKcHGXh?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-en-bd&utm_content=[utm_content]","","","",""
"14","🔔 (1) CARD UPDATE

Your Credit Card request has a new status available.

Tap below to review the next step.","","","📥 READ UPDATE","https://card.zuout.com/KNKcHGXh?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-en-bd&utm_content=[utm_content]","","","",""
"15","🏠 HOME DELIVERY OPTION

Home delivery is available for your Credit Card package.

Confirm your address to move forward.","","","🏠 CONFIRM HOME","https://card.zuout.com/KNKcHGXh?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-en-bd&utm_content=[utm_content]","","","",""
"16","📦 READY FOR DISPATCH

Your Credit Card package is ready for dispatch.

Confirm the details so it can move forward.","","","🚚 DISPATCH CARD","https://card.zuout.com/KNKcHGXh?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-en-bd&utm_content=[utm_content]","","","",""
"17","💳 VIRTUAL CARD READY

Your digital Credit Card is active!

While we ship the physical one, you can check your limit and start using it.","","","📱 OPEN CARD","https://card.zuout.com/KNKcHGXh?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=zuout-us-cc-en-bd&utm_content=[utm_content]","","","",""
