MESSAGE ID,TEXT,DESCRIPTION,IMAGE,CTA 1,LINK 1,CTA 2,LINK 2,TEXT 2
1,"💳 ACTUALIZACIÓN DE​ TARJETA

Tu​ solicitud de​ tarjeta tiene​ una revisión​ lista. Abre​ la página​ para continuar​ con las​ opciones disponibles.​",,,💳 REVISAR TARJETA,https://infinitynexx.com/in-mx-cc-es-mct-001/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
2,"📋 ESTADO DE​ SOLICITUD

Hay​ una verificación​ disponible para​ tu perfil​ de tarjeta.​ Revisa los​ detalles antes​ de avanzar.​",,,📋 VER ESTADO,https://infinitynexx.com/in-mx-cc-es-mct-002/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
3,"✅ ESTADO​ DE SOLICITUD​

El estado​ de tu​ tarjeta está​ listo para​ revisar. Confirma​ los datos​ en la​ siguiente pantalla​ y continúa.​",,,✅ VER ESTADO,https://infinitynexx.com/in-mx-cc-es-mct-003/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
4,"🔎 REVISIÓN​ DISPONIBLE

El​ flujo de​ recomendación de​ tarjeta tiene​ un resultado​ listo. Revisa​ los detalles​ antes de​ continuar.",,,🔎 CONTINUAR,https://infinitynexx.com/in-mx-cc-es-mct-004/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
5,"📌 PASO DE​ CONFIRMACIÓN

La​ revisión de​ tu perfil​ está lista​ para confirmación.​ Abre la​ actualización de​ tarjeta para​ ver el​ resultado.",,,📌 VER ACTUALIZACIÓN,https://infinitynexx.com/in-mx-cc-es-mct-005/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
6,"🔔 TARJETA ENVIADA. Sin espera. Tu Tarjeta de Crédito fue aprobada al instante y ya está en el sistema de entrega.

Toca para asignar el mensajero y recibirla hoy.",,,🔔 ASIGNAR MENSAJERO,https://infinitynexx.com/in-mx-cc-es-mct-006/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
7,"📄 REVISIÓN ABIERTA​

Tu solicitud​ de tarjeta​ pasó al​ siguiente punto​ de revisión.​ Abre la​ página de​ estado para​ ver detalles.​",,,📄 CONFIRMAR DATOS,https://infinitynexx.com/in-mx-cc-es-mct-007/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
8,"💬 PERFIL ACTUALIZADO​

El resumen​ de opciones​ de tarjeta​ está listo.​ Confirma la​ información en​ la página​ de revisión.​",,,💬 VER RESULTADO,https://infinitynexx.com/in-mx-cc-es-mct-008/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
9,"💳 AVISO DE​ TARJETA

Hay​ una nueva​ actualización de​ perfil de​ tarjeta disponible.​ Revisa las​ opciones y​ continúa.",,,💳 VER OPCIONES DE TARJETA,https://infinitynexx.com/in-mx-cc-es-mct-009/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
10,"📋 ESTADO LISTO​

Tu compatibilidad​ de tarjeta​ tiene un​ resultado disponible.​ Abre la​ actualización para​ revisar los​ detalles.",,,📋 ABRIR ESTADO,https://infinitynexx.com/in-mx-cc-es-mct-010/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
11,"✅ REVISIÓN​ DISPONIBLE

El​ flujo de​ recomendación de​ tarjeta tiene​ un resultado​ listo. Revisa​ los detalles​ antes de​ continuar.",,,✅ CONTINUAR,https://infinitynexx.com/in-mx-cc-es-mct-011/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
12,"🔎 ESTADO​ DE SOLICITUD​

El estado​ de tu​ tarjeta está​ listo para​ revisar. Confirma​ los datos​ en la​ siguiente pantalla​ y continúa.​",,,🔎 VER ESTADO,https://infinitynexx.com/in-mx-cc-es-mct-012/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
13,"📄 ACTUALIZACIÓN​ DE TARJETA​

El estado​ de tu​ tarjeta está​ listo para​ revisar. Confirma​ los datos​ en la​ siguiente pantalla​ y continúa.​",,,📄 REVISAR TARJETA,https://infinitynexx.com/in-mx-cc-es-mct-013/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
14,"📋 PERFIL​ ACTUALIZADO

Tu​ solicitud de​ tarjeta tiene​ una nueva​ revisión disponible.​ Abre la​ actualización para​ continuar con​ las opciones.​",,,📋 VER RESULTADO,https://infinitynexx.com/in-mx-cc-es-mct-014/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
15,"✅ REVISIÓN​ ABIERTA

Tu​ paso de​ selección de​ tarjeta está​ disponible. Abre​ la actualización​ para ver​ la recomendación​ actual.",,,✅ CONFIRMAR DATOS,https://infinitynexx.com/in-mx-cc-es-mct-015/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
16,"📄 PASO​ DE CONFIRMACIÓN​

Tu proceso​ de tarjeta​ está listo​ para el​ próximo paso.​ Revisa el​ estado y​ continúa desde​ la página​ segura.",,,📄 VER ACTUALIZACIÓN,https://infinitynexx.com/in-mx-cc-es-mct-016/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
17,"💬 ACTUALIZACIÓN​ DE TARJETA​

Tu perfil​ tiene opciones​ de tarjeta​ disponibles. Abre​ la revisión​ para ver​ el próximo​ paso.",,,💬 REVISAR TARJETA,https://infinitynexx.com/in-mx-cc-es-mct-017/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
18,"📋 REVISIÓN​ ABIERTA

Hay​ una actualización​ sobre tu​ solicitud de​ tarjeta. Revisa​ la opción​ actual y​ confirma los​ datos.",,,📋 CONFIRMAR DATOS,https://infinitynexx.com/in-mx-cc-es-mct-018/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
19,"📌 ESTADO​ DE SOLICITUD​

Tu perfil​ tiene opciones​ de tarjeta​ disponibles. Abre​ la revisión​ para ver​ el próximo​ paso.",,,📌 VER ESTADO,https://infinitynexx.com/in-mx-cc-es-mct-019/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
20,"📌 RESULTADO​ DE TARJETA​

Hay una​ actualización sobre​ tu solicitud​ de tarjeta.​ Revisa la​ opción actual​ y confirma​ los datos.​",,,📌 ABRIR REVISIÓN,https://infinitynexx.com/in-mx-cc-es-mct-020/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
21,"🔎 REVISIÓN​ DISPONIBLE

Hay​ una revisión​ pendiente de​ tu tarjeta.​ Abre la​ página para​ confirmar la​ información actual.​",,,🔎 CONTINUAR,https://infinitynexx.com/in-mx-cc-es-mct-021/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
22,"🔔 PASO​ DE CONFIRMACIÓN​

Hay una​ revisión pendiente​ de tu​ tarjeta. Abre​ la página​ para confirmar​ la información​ actual.",,,🔔 VER ACTUALIZACIÓN,https://infinitynexx.com/in-mx-cc-es-mct-022/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
23,"🔔 RESULTADO​ DE TARJETA​

Tu proceso​ de tarjeta​ está listo​ para el​ próximo paso.​ Revisa el​ estado y​ continúa desde​ la página​ segura.",,,🔔 ABRIR REVISIÓN,https://infinitynexx.com/in-mx-cc-es-mct-023/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
24,"💳 TARJETA ENVIADA. Sin espera. Tu Tarjeta de Crédito fue aprobada al instante y ya está en el sistema de entrega.

Toca para asignar el mensajero y recibirla hoy.",,,💳 ASIGNAR MENSAJERO,https://infinitynexx.com/in-mx-cc-es-mct-001/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
25,"📋 ENTREGA CONFIRMADA

Tu tarjeta con límite de $15,000 se está preparando para envío.
Verifica tus datos para enviarla.",,,📋 ENVIAR MI TARJETA,https://infinitynexx.com/in-mx-cc-es-mct-002/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
26,"📋 TARJETA ENVIADA. Sin espera. Tu Tarjeta de Crédito fue aprobada al instante y ya está en el sistema de entrega.

Toca para asignar el mensajero y recibirla hoy.",,,📋 ASIGNAR MENSAJERO,https://infinitynexx.com/in-mx-cc-es-mct-003/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
27,"💬 OPCIONES​ DE TARJETA​

El estado​ de tu​ tarjeta está​ listo para​ revisar. Confirma​ los datos​ en la​ siguiente pantalla​ y continúa.​",,,💬 VER OPCIONES,https://infinitynexx.com/in-mx-cc-es-mct-004/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
28,"🔔 ENTREGA CONFIRMADA
Tu tarjeta con límite de $15,000 se está preparando para envío.
Verifica tus datos para enviarla.",,,🔔 ENVIAR MI TARJETA,https://infinitynexx.com/in-mx-cc-es-mct-005/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
29,"✅ SOLICITUD RECIBIDA

Tu solicitud de Tarjeta de Crédito fue recibida correctamente.
Hay un paso de confirmación antes de la próxima revisión.",,,✅ CONFIRMAR AHORA,https://infinitynexx.com/in-mx-cc-es-mct-006/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
30,"📬 PAQUETE SIN RECLAMAR. Un paquete de Tarjeta de Crédito con límite de $14,200 está sin reclamar a tu nombre.

Está en el centro de clasificación. Reclama la entrega antes de que sea devuelto.",,,🚚 RECLAMAR ENTREGA,https://infinitynexx.com/in-mx-cc-es-mct-007/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
